Elapsed Time (s),Value
0.000,0.09
0.003,2.09
0.008,2.09
0.014,2.09
0.019,2.09
0.024,2.09
0.029,2.09
0.034,2.09
0.038,2.09
0.043,2.09
0.048,2.09
0.053,2.09
0.058,2.09
0.063,2.09
0.068,2.08
0.073,2.09
0.078,2.09
0.083,2.09
0.088,2.09
0.094,2.09
0.098,2.09
0.103,2.09
0.108,2.09
0.114,2.09
0.119,1.87
0.124,2.09
0.129,2.09
0.134,2.09
0.139,2.09
0.144,1.13
0.149,1.13
0.153,1.13
0.159,1.13
0.164,1.13
0.168,1.13
0.173,2.09
0.179,1.13
0.184,1.13
0.189,1.13
0.193,1.13
0.198,1.13
0.203,1.13
0.209,1.51
0.213,1.13
0.218,1.13
0.223,1.13
0.229,1.13
0.233,1.13
0.238,1.13
0.243,2.09
0.248,2.09
0.253,2.09
0.258,2.09
0.263,2.09
0.268,2.09
0.273,2.09
0.278,2.09
0.283,2.09
0.288,2.09
0.293,2.09
0.298,2.09
0.303,2.09
0.308,2.09
0.314,2.09
0.319,2.09
0.324,2.09
0.329,2.09
0.333,2.09
0.338,2.09
0.343,2.09
0.348,2.09
0.353,2.09
0.358,2.09
0.363,2.09
0.368,2.09
0.373,1.13
0.378,1.13
0.383,1.13
0.388,1.13
0.394,1.13
0.399,1.13
0.404,1.23
0.409,1.21
0.414,2.09
0.419,2.09
0.423,2.09
0.429,2.09
0.434,1.89
0.439,2.09
0.443,2.09
0.448,2.09
0.453,2.09
0.458,2.09
0.463,2.09
0.468,2.09
0.473,2.09
0.478,2.09
0.483,2.09
0.489,2.09
0.493,2.09
0.498,2.09
0.503,2.09
0.508,2.09
0.513,2.09
0.518,2.09
0.523,2.09
0.528,2.09
0.533,2.09
0.539,1.79
0.543,2.09
0.548,2.09
0.553,2.05
0.558,2.09
0.563,2.09
0.568,2.09
0.573,2.09
0.578,2.09
0.583,2.09
0.589,2.09
0.593,2.09
0.598,2.09
0.604,1.13
0.609,1.13
0.613,1.13
0.618,1.13
0.623,1.13
0.628,1.13
0.633,2.09
0.638,1.13
0.643,1.13
0.648,1.13
