Elapsed Time (s),Value
0.003,1.07
0.008,2.09
0.013,1.07
0.018,1.07
0.023,1.07
0.028,1.07
0.033,1.07
0.038,1.07
0.043,2.02
0.048,1.07
0.053,1.07
0.058,1.07
0.063,1.07
0.068,1.07
0.073,1.07
0.078,1.07
0.083,2.09
0.088,2.09
0.093,2.09
0.098,2.09
0.104,2.09
0.108,2.09
0.113,2.09
0.118,2.09
0.123,2.09
0.128,2.09
0.133,2.08
0.138,2.09
0.143,2.09
0.148,2.09
0.153,2.09
0.159,2.09
0.163,2.09
0.168,2.09
0.173,2.09
0.178,2.09
0.183,2.09
0.188,2.09
0.193,2.09
0.198,2.09
0.203,1.16
0.207,1.07
0.212,1.07
0.218,1.39
0.222,1.07
0.228,1.07
0.233,1.12
0.238,1.07
0.243,2.09
0.248,2.09
0.253,2.09
0.258,2.09
0.263,2.09
0.268,2.09
0.273,2.07
0.278,2.09
0.283,2.09
0.288,2.07
0.293,2.09
0.298,2.09
0.303,2.09
0.308,2.09
0.313,2.09
0.318,2.09
0.323,2.09
0.328,2.09
0.333,2.09
0.338,2.09
0.343,2.09
0.348,2.09
0.353,2.09
0.358,2.09
0.363,2.09
0.368,2.09
0.373,2.09
0.378,2.06
0.383,2.09
0.388,2.09
0.393,2.09
0.398,2.09
0.403,2.09
0.408,2.09
0.413,2.09
0.418,2.09
0.423,2.09
0.428,2.09
0.432,2.09
0.438,1.08
0.443,1.07
0.448,1.09
0.453,1.07
0.457,1.08
0.462,1.08
0.468,1.38
0.472,2.09
0.478,2.09
0.483,2.04
0.488,2.09
0.493,2.09
0.498,2.09
0.503,2.09
0.508,2.09
0.513,2.09
0.518,2.09
0.523,2.09
0.528,2.09
0.533,2.09
0.538,2.09
0.543,2.09
0.548,2.09
0.553,2.09
0.558,2.09
0.563,2.09
0.568,2.09
0.572,2.09
0.578,2.09
0.583,1.89
0.588,2.09
0.593,2.09
0.598,2.09
0.603,2.09
0.608,2.09
0.613,2.09
0.618,2.08
0.623,2.09
0.628,2.09
0.633,2.08
0.638,2.09
0.643,2.09
0.648,2.09
0.653,2.09
0.658,2.09
0.663,2.09
0.668,1.07
0.673,1.07
0.678,1.07
0.683,1.07
0.689,1.07
0.693,1.07
0.698,2.07
0.703,1.07
0.708,1.07
0.713,1.07
0.717,1.07
0.723,1.07
0.728,1.07
0.733,1.07
0.738,1.12
0.742,1.07
0.748,1.07
0.753,1.07
0.758,1.07
0.762,1.07
0.768,1.07
0.773,2.08
0.778,2.09
0.783,2.09
0.788,2.09
0.792,2.09
0.798,2.09
0.803,2.09
0.808,2.09
0.813,2.09
0.818,2.09
0.823,2.09
0.828,2.09
0.833,2.09
0.838,2.09
0.843,2.09
0.848,2.09
0.853,2.09
0.858,2.09
0.863,2.09
0.868,2.09
0.873,2.09
0.877,2.09
0.882,2.09
0.888,2.09
0.893,2.09
0.898,1.09
0.903,2.09
0.908,2.09
0.912,2.09
0.918,2.09
0.923,2.09
0.928,2.05
0.932,2.09
0.938,2.09
0.942,2.09
0.948,2.09
0.953,2.09
0.958,2.09
0.963,2.09
0.968,2.09
0.973,2.09
0.978,2.09
0.983,2.09
0.988,2.09
0.993,2.09
0.998,2.09
1.003,2.09
1.008,2.09
1.013,2.09
1.018,2.09
1.023,2.09
1.028,2.09
1.033,2.09
1.038,2.09
1.043,2.09
1.047,2.09
1.053,2.09
1.058,2.09
1.063,2.09
1.068,2.09
1.073,2.09
1.078,2.09
1.083,2.07
1.088,2.08
1.093,2.09
1.098,2.09
1.103,2.09
1.107,2.09
1.112,2.09
1.117,2.09
1.123,2.09
1.127,1.08
1.132,1.07
1.137,1.07
1.142,1.07
1.147,1.07
1.152,1.07
1.158,1.07
1.162,1.78
1.167,1.07
1.173,1.07
1.178,1.07
1.182,1.07
1.188,1.07
1.192,1.07
1.197,2.09
1.202,1.07
1.207,1.07
1.212,1.07
1.217,1.07
1.223,1.07
1.227,1.07
1.232,2.09
1.238,2.09
1.242,2.09
1.247,2.09
1.252,2.09
1.257,2.08
1.262,2.09
1.267,2.09
1.273,2.09
1.277,2.09
1.282,2.09
1.288,2.09
1.292,2.09
1.297,2.09
1.302,2.09
1.307,2.09
1.312,2.09
1.317,2.09
1.323,2.09
1.327,2.09
1.332,2.09
1.338,2.09
1.342,2.09
1.347,2.09
1.352,2.09
1.357,1.12
1.362,1.07
1.367,1.07
1.373,1.07
1.377,1.07
1.382,1.08
1.388,2.09
1.392,2.09
1.397,2.09
1.402,2.09
1.407,2.09
1.412,2.07
1.417,2.09
1.423,2.09
1.427,2.09
1.432,2.09
1.437,2.09
1.442,2.09
1.447,2.09
1.452,2.09
1.458,2.09
1.462,2.09
1.467,2.09
1.473,2.09
1.477,2.09
1.482,2.09
1.488,2.09
1.492,2.09
1.497,2.09
1.502,2.09
1.507,2.09
1.512,2.09
1.517,2.09
1.523,2.09
1.527,2.09
1.532,2.09
1.538,2.09
1.542,2.09
1.547,2.09
1.552,2.09
1.557,2.09
1.562,2.09
1.567,2.05
1.572,2.09
1.577,2.09
1.582,2.09
1.587,2.09
1.592,1.08
1.597,1.08
1.603,1.08
1.608,1.07
1.613,1.08
1.618,1.08
1.622,2.09
1.627,1.07
1.633,1.08
1.637,1.08
1.642,1.08
1.647,1.08
1.652,1.08
1.657,1.71
1.662,1.08
1.666,1.08
1.672,1.08
1.677,1.08
1.683,1.08
1.687,1.08
1.692,1.22
