Elapsed Time (s),Value
0.000,2.09
0.004,2.09
0.009,2.09
0.014,2.09
0.019,2.09
0.024,2.09
0.029,2.09
0.034,2.09
0.039,2.09
0.044,2.09
0.049,2.09
0.054,2.09
0.059,2.09
0.064,2.09
0.069,2.09
0.074,2.09
0.080,2.09
0.084,1.21
0.089,1.15
0.094,1.15
0.099,1.15
0.104,1.15
0.109,1.15
0.114,1.99
0.119,2.09
0.124,1.15
0.130,1.15
0.134,1.15
0.139,1.15
0.144,1.15
0.149,2.03
0.154,2.09
0.159,2.09
0.164,2.09
0.169,2.09
0.174,2.09
0.179,2.09
0.184,2.09
0.189,2.09
0.194,2.08
0.199,2.09
0.204,2.09
0.209,2.09
0.214,2.09
0.219,2.09
0.224,2.09
0.230,2.09
0.235,2.09
0.240,2.09
0.245,2.09
0.249,2.09
0.254,2.09
0.259,2.09
0.264,2.09
0.269,2.09
0.274,2.09
0.279,2.09
0.284,2.09
0.289,2.09
0.294,2.09
0.299,2.09
0.304,2.09
0.309,2.09
0.314,2.09
0.319,1.15
0.324,1.15
0.329,1.15
0.334,1.15
0.339,1.15
0.344,1.15
0.349,2.06
0.354,1.15
0.359,1.15
0.364,1.15
0.369,1.15
0.374,1.16
0.379,1.15
0.384,2.07
0.389,2.09
0.394,2.09
0.399,2.09
0.404,2.09
0.409,2.09
0.414,2.09
0.419,2.09
0.424,2.09
0.430,2.09
0.434,2.09
0.439,2.09
0.445,2.09
0.449,2.09
0.454,2.09
0.459,2.09
0.464,2.09
0.469,2.09
0.474,2.09
0.479,2.09
0.484,2.09
0.489,2.08
0.494,2.09
0.499,2.09
0.504,2.09
0.510,2.09
0.514,2.09
0.519,2.09
0.524,2.09
0.530,2.09
0.535,2.09
0.539,2.09
0.544,2.09
0.549,1.15
0.554,1.15
0.559,1.15
0.564,1.15
0.569,1.15
0.574,1.15
0.579,2.07
0.584,2.09
0.589,2.04
0.595,2.09
0.599,2.09
0.604,2.09
0.609,2.09
0.614,2.09
0.619,2.09
0.624,2.09
0.629,2.09
0.634,2.09
0.640,2.09
0.644,2.09
0.649,2.09
0.654,2.09
0.659,2.09
0.664,2.09
0.669,2.09
0.674,2.09
0.679,2.08
0.684,2.09
0.689,2.09
0.694,2.09
0.699,2.09
0.704,2.09
0.709,2.09
0.714,2.09
0.719,2.09
0.724,2.09
0.729,2.09
0.734,2.09
0.739,2.09
0.745,2.09
0.749,2.09
0.754,2.09
0.759,2.09
0.764,2.09
0.769,2.09
0.774,2.09
0.779,1.15
0.784,1.15
0.789,1.15
0.794,1.15
0.799,1.15
0.804,1.15
0.809,2.09
0.814,1.15
0.819,1.15
0.824,1.15
0.829,1.15
0.834,1.15
0.839,1.15
0.844,1.15
0.849,1.18
0.853,1.15
0.859,1.15
0.863,1.15
0.868,1.15
0.874,1.15
0.879,1.15
0.884,2.09
0.889,2.09
0.894,2.09
0.899,2.09
0.904,2.09
0.909,2.09
0.914,2.09
0.919,2.09
0.924,2.09
0.929,2.09
0.933,2.09
0.938,2.09
0.944,2.09
0.949,2.09
0.954,2.09
0.959,2.09
0.964,2.09
0.969,2.09
0.974,2.09
0.979,2.09
0.984,2.09
0.989,2.06
0.994,2.09
0.999,2.09
1.003,2.09
1.009,1.15
1.013,1.15
1.019,1.16
1.024,1.15
1.029,1.15
1.034,1.16
1.039,2.09
1.044,1.16
1.048,1.16
1.053,1.16
1.059,1.16
1.064,1.16
1.069,1.4
1.074,2.09
1.079,2.09
1.084,2.09
1.088,2.09
1.094,2.09
1.098,2.09
1.103,2.09
1.108,2.09
1.113,2.09
1.119,2.09
1.124,2.09
1.129,2.09
1.133,2.09
1.138,2.09
1.144,2.09
1.148,2.09
1.153,2.09
1.158,2.09
1.164,2.08
1.168,2.09
1.174,2.09
1.179,2.09
1.184,2.09
1.188,2.09
1.194,2.09
1.198,2.09
1.203,2.09
1.208,2.09
1.214,2.09
1.218,2.09
1.223,1.95
1.229,2.09
1.233,2.09
1.238,1.91
1.247,2.09
1.250,2.09
1.253,2.09
1.258,2.09
1.264,2.09
1.268,2.09
1.273,2.09
1.279,2.09
1.283,2.09
1.288,2.09
1.294,2.09
1.298,2.09
1.303,2.09
1.308,2.09
1.313,2.09
1.318,2.08
1.323,2.09
1.328,1.94
1.333,2.09
1.338,2.09
1.344,2.09
1.348,2.09
1.353,2.07
1.358,2.09
1.364,2.09
1.368,2.09
1.373,2.09
1.378,2.09
1.383,2.09
1.388,2.09
1.393,2.09
1.398,2.09
1.403,2.09
1.408,2.09
1.414,2.09
1.418,2.09
1.423,2.09
1.428,2.09
1.433,2.09
1.438,2.09
1.443,2.09
1.448,2.09
1.453,2.09
1.458,2.09
1.464,2.09
1.468,1.48
1.473,1.15
1.478,1.15
1.483,1.15
1.488,1.15
1.493,1.15
1.498,1.15
1.503,2.09
1.508,1.15
1.513,1.15
1.518,1.16
1.523,1.15
1.528,1.15
1.533,1.16
1.538,1.95
1.543,2.09
1.548,2.09
1.553,2.09
1.558,2.09
1.563,2.09
1.568,2.09
1.573,2.09
1.578,2.09
1.583,2.09
1.588,2.09
1.593,2.09
1.598,2.09
1.603,2.09
1.608,2.09
1.614,2.09
1.618,2.09
1.623,2.09
1.628,2.06
1.633,2.09
1.638,2.09
1.643,2.09
1.648,2.08
1.653,2.09
1.658,2.09
1.664,2.09
1.668,2.09
1.673,2.09
1.678,2.09
1.683,2.09
1.688,2.09
1.693,2.09
1.698,2.09
1.703,1.15
1.708,1.15
1.713,1.15
1.718,1.15
1.722,1.15
1.727,1.15
1.733,2.09
1.738,1.15
1.742,1.15
1.747,1.15
1.752,1.15
1.757,1.15
1.763,1.15
1.767,1.15
1.773,1.15
1.777,1.15
1.783,1.15
1.788,1.15
1.792,1.18
1.798,1.15
1.803,2.09
1.808,2.09
1.814,2.09
1.818,2.09
1.822,2.09
1.827,2.09
1.833,2.09
1.838,2.09
1.842,2.09
1.848,2.09
1.853,2.09
1.858,2.09
1.863,2.09
1.868,2.09
1.873,2.09
1.880,2.09
1.883,2.09
1.888,2.09
1.892,2.09
1.898,2.09
1.903,2.09
1.908,2.09
1.913,2.09
1.918,2.09
1.923,2.09
1.928,2.09
1.933,1.15
1.938,1.15
1.942,1.15
1.948,1.15
1.953,1.15
1.958,1.15
1.963,2.08
1.968,2.09
1.973,2.09
1.978,2.09
1.983,2.09
1.987,2.09
1.993,2.09
1.998,2.09
2.003,2.09
2.008,2.09
2.013,2.09
2.017,2.09
2.022,2.09
2.028,2.09
2.033,2.09
2.038,2.09
2.042,2.09
2.048,2.09
2.053,2.09
2.058,2.09
2.063,2.09
2.068,2.09
2.073,2.09
2.078,2.09
2.083,2.09
2.088,2.09
2.092,2.09
2.098,2.09
2.102,2.09
2.108,2.09
2.113,2.08
2.118,2.09
2.122,2.09
2.127,2.09
