Elapsed Time (s),Value
0.000,1.07
0.001,1.07
0.001,1.07
0.002,1.07
0.003,1.07
0.003,1.07
0.004,1.07
0.004,1.07
0.004,1.07
0.005,1.07
0.005,1.07
0.006,1.07
0.006,1.07
0.007,1.07
0.007,1.07
0.008,1.07
0.008,1.07
0.009,1.07
0.009,1.07
0.009,1.07
0.010,1.07
0.016,1.07
0.021,1.07
0.026,1.07
0.031,1.07
0.035,1.07
0.040,1.07
0.045,1.07
0.050,1.07
0.055,1.07
0.060,1.07
0.066,1.07
0.070,1.07
0.075,1.07
0.080,1.07
0.085,1.07
0.090,1.07
0.095,1.07
0.100,1.07
0.105,1.07
0.110,1.07
0.115,1.07
0.120,1.07
0.125,1.07
0.130,1.07
0.135,1.07
0.140,1.07
0.145,1.07
0.150,1.07
0.155,1.07
0.160,1.07
0.165,1.07
0.170,1.07
0.175,1.07
0.180,1.07
0.185,1.07
0.190,1.07
0.195,1.07
0.200,1.07
0.205,1.07
0.210,1.07
0.215,1.07
0.220,1.07
0.225,1.07
0.230,1.07
0.235,1.07
0.240,1.07
0.245,1.07
0.250,1.07
0.255,1.07
0.260,1.07
0.265,1.07
0.270,1.07
0.275,1.07
0.280,1.07
0.286,1.07
0.291,1.07
0.295,1.07
0.300,1.07
0.305,1.07
0.311,1.07
0.316,1.07
0.321,1.07
0.326,1.07
0.331,1.07
0.335,1.07
0.340,1.07
0.345,1.07
0.350,1.07
0.355,1.07
0.360,1.07
0.365,1.07
0.370,1.07
0.375,1.07
0.380,1.07
0.385,1.07
0.391,1.07
0.395,1.07
0.400,1.07
0.406,1.07
0.411,1.07
0.415,1.07
0.420,1.07
0.425,1.07
0.430,1.07
0.435,1.07
0.440,1.07
0.445,1.07
0.451,1.07
0.455,1.07
0.460,1.07
0.465,1.07
0.471,1.07
0.475,1.07
0.480,1.07
0.485,1.07
0.490,1.07
0.495,1.07
0.500,1.07
0.505,1.07
0.510,1.07
0.515,1.07
0.521,1.07
0.525,1.07
0.531,1.07
0.535,1.07
0.540,1.07
0.545,1.07
0.550,1.07
0.555,1.07
0.560,1.07
0.566,1.07
0.570,1.07
0.575,1.07
0.580,1.07
0.585,1.07
0.590,1.07
0.595,1.07
0.600,1.07
0.605,1.07
0.610,1.07
0.615,1.07
0.620,1.07
0.625,1.07
0.630,1.07
0.635,1.07
0.640,1.07
0.645,1.07
0.650,1.07
0.655,1.07
0.660,1.07
0.665,1.07
0.670,1.07
0.675,1.07
0.680,1.07
0.685,1.07
0.690,1.07
0.695,1.07
0.700,1.07
0.705,1.07
0.710,1.07
0.715,1.07
0.720,1.07
0.725,1.07
0.730,1.07
0.735,1.07
0.740,1.07
0.745,1.07
0.750,1.07
0.755,1.07
0.760,1.07
0.765,1.07
0.770,1.07
0.775,1.07
0.780,1.07
0.785,1.07
0.790,1.07
0.795,1.07
0.800,1.07
0.805,1.07
0.810,1.07
0.815,1.07
0.820,1.07
0.825,1.07
0.830,1.07
0.835,1.07
0.840,1.07
0.845,1.07
0.850,1.07
0.855,1.07
0.860,1.07
0.865,1.07
0.870,1.07
0.875,1.07
0.880,1.07
0.885,1.07
0.890,1.07
0.894,1.07
0.899,1.07
0.905,1.07
0.910,1.07
0.915,1.07
0.920,1.07
0.925,1.07
0.929,1.07
0.935,1.07
0.940,1.07
0.945,1.07
0.950,1.07
0.955,1.07
0.960,1.07
0.965,1.07
0.970,1.07
0.974,1.07
0.980,1.07
0.985,1.07
0.989,1.07
0.995,1.07
0.999,1.07
1.004,1.07
1.009,1.07
1.015,1.07
1.020,1.07
1.024,1.07
1.030,1.07
1.035,1.07
1.039,1.07
1.045,1.07
1.050,1.07
1.055,1.07
1.060,1.07
1.065,1.07
1.070,1.07
1.075,1.07
1.080,1.06
1.085,1.07
1.090,1.07
1.095,1.07
1.100,1.07
1.105,1.07
1.110,1.06
1.115,1.06
1.120,1.07
1.126,1.07
1.130,1.07
1.135,1.07
1.140,1.07
1.145,1.07
1.150,1.07
1.155,1.06
1.161,1.07
1.165,1.06
1.170,1.06
1.175,1.06
1.180,1.07
1.185,1.07
1.190,1.07
1.195,1.07
1.200,1.07
1.205,1.07
1.210,1.07
1.215,1.06
1.220,1.07
1.225,1.06
1.230,1.06
1.235,1.07
1.240,1.06
1.245,1.07
1.250,1.07
1.255,1.07
1.260,1.07
1.265,1.07
1.270,1.06
1.275,1.06
1.280,1.07
1.285,1.06
1.290,1.07
1.295,1.07
1.300,1.07
1.305,1.07
1.310,1.07
1.315,1.06
1.320,1.06
1.325,1.06
1.330,1.07
1.335,1.07
1.340,1.07
1.345,1.07
1.350,1.07
1.354,1.07
1.360,1.07
1.365,1.06
1.369,1.06
1.375,1.07
1.379,1.07
1.384,1.07
1.390,1.07
1.395,1.07
1.399,1.07
1.405,1.07
1.409,1.07
1.414,1.06
1.419,1.07
1.424,1.06
1.430,1.07
1.434,1.07
1.439,1.07
1.445,1.07
1.449,1.07
1.455,1.07
1.460,1.07
1.464,1.07
1.469,1.07
1.475,1.07
1.479,1.07
1.485,1.07
1.489,1.07
1.495,1.07
1.500,1.07
1.505,1.06
1.510,1.06
1.515,1.06
1.520,1.07
1.526,1.07
1.530,1.07
1.535,1.07
1.540,1.07
1.545,1.07
1.550,1.06
1.555,1.06
1.560,1.06
1.565,1.06
1.570,1.06
1.575,1.06
1.580,1.06
1.585,1.06
1.590,1.07
1.594,1.06
1.600,1.06
1.605,1.06
1.610,1.06
1.614,1.06
1.619,1.06
1.624,1.06
1.629,1.06
1.634,1.06
1.639,1.06
1.644,1.06
1.649,1.06
1.655,1.06
1.660,1.06
1.665,1.06
1.670,1.06
1.674,1.06
1.679,1.06
1.685,1.06
1.689,1.06
1.694,1.06
1.699,1.06
1.704,1.06
1.710,1.06
1.714,1.07
1.720,1.07
1.724,1.06
1.730,1.06
1.734,1.06
1.739,1.06
1.745,1.06
1.749,1.06
1.754,1.07
1.760,1.07
1.764,1.07
1.769,1.07
1.774,1.07
1.779,1.07
1.785,1.07
1.789,1.07
1.794,1.06
1.800,1.06
1.805,1.07
1.810,1.07
1.814,1.07
1.819,1.07
1.824,1.07
1.829,1.07
1.834,1.07
1.839,1.07
1.844,1.07
1.849,1.07
1.855,1.07
1.860,1.07
1.864,1.07
1.869,1.07
1.874,1.07
1.879,1.06
1.884,1.07
1.889,1.07
