Elapsed Time (s),Value
0.001,2.09
0.001,2.09
0.001,2.05
0.004,2.09
0.011,2.09
0.016,2.09
0.021,2.07
0.026,1.18
0.031,1.9
0.036,2.09
0.041,2.09
0.046,2.09
0.051,2.09
0.056,2.09
0.061,2.09
0.063,2.09
0.072,2.09
0.076,2.09
0.081,2.09
0.086,2.09
0.091,2.09
0.095,2.09
0.099,2.09
0.106,2.08
0.111,2.08
0.112,2.09
0.121,2.09
0.126,2.09
0.129,2.09
0.135,2.09
0.141,2.09
0.144,2.09
0.151,2.09
0.153,2.07
0.158,2.09
0.166,2.09
0.171,2.09
0.175,2.05
0.181,2.09
0.185,2.09
0.190,2.09
0.196,2.09
0.200,2.09
0.206,2.09
0.210,2.09
0.215,2.09
0.220,2.09
0.225,2.09
0.231,2.09
0.235,2.09
0.241,2.09
0.246,2.09
0.250,2.09
0.256,0.85
0.261,0.86
0.265,2.09
0.269,2.09
0.276,2.09
0.281,2.09
0.286,2.09
0.291,2.09
0.296,2.09
0.300,2.09
0.306,2.09
0.311,2.09
0.315,2.09
0.320,2.09
0.325,2.09
0.330,2.09
0.336,2.09
0.341,2.09
0.345,2.09
0.350,1.85
0.356,2.09
0.360,2.09
0.365,2.09
0.370,2.08
0.376,2.09
0.381,2.09
0.385,2.09
0.391,2.09
0.395,2.09
0.400,2.09
0.405,2.09
0.410,2.09
0.410,2.09
0.410,2.09
0.422,2.09
0.427,2.08
0.427,2.09
0.439,2.09
0.445,2.09
0.450,2.09
0.456,1.98
0.458,2.08
0.458,2.09
0.458,2.09
0.475,2.09
0.475,2.09
0.475,0.87
0.489,1.87
0.496,2.09
0.499,2.09
0.505,2.05
0.510,2.08
0.515,2.09
0.519,2.09
0.525,2.09
0.529,2.09
0.529,2.09
0.537,2.09
0.545,2.09
0.550,2.09
0.555,2.09
0.560,2.09
0.563,2.09
0.570,2.09
0.575,2.09
0.580,2.09
0.585,2.09
0.591,2.08
0.595,2.09
0.600,2.09
0.605,2.09
0.610,2.09
0.615,2.09
0.620,2.09
0.625,2.08
0.630,2.09
