Elapsed Time (s),Value
0.001,2.09
0.006,2.09
0.010,2.09
0.014,2.09
0.018,2.09
0.025,2.09
0.031,2.09
0.034,2.09
0.040,2.09
0.046,2.0
0.051,2.05
0.056,2.09
0.060,2.09
0.065,2.09
0.070,2.09
0.076,2.09
0.080,2.09
0.085,2.08
0.091,2.08
0.095,2.09
0.100,2.09
0.105,2.09
0.111,2.09
0.115,2.09
0.120,2.09
0.126,2.08
0.130,2.09
0.135,2.09
0.140,2.09
0.145,2.09
0.151,2.03
0.156,2.08
0.160,2.09
0.165,2.09
0.170,2.09
0.175,2.09
0.179,2.09
0.185,2.09
0.190,2.09
0.195,2.09
0.200,2.09
0.205,2.09
0.211,2.09
0.215,2.09
0.221,2.09
0.226,2.09
0.230,2.09
0.235,2.09
0.241,2.09
0.245,2.09
0.250,2.02
0.255,2.09
0.261,2.09
0.265,2.09
0.270,2.09
0.275,2.09
0.280,2.09
0.285,2.08
0.290,2.09
0.295,2.09
0.300,2.09
0.303,2.08
0.309,2.09
0.315,2.09
0.318,2.09
0.325,2.09
0.330,2.09
0.334,2.09
0.340,2.09
0.345,2.09
0.349,2.09
0.354,2.09
0.360,2.03
0.364,2.09
0.368,2.09
0.375,2.09
0.380,2.08
0.382,1.09
0.390,1.09
0.395,2.08
0.399,2.09
0.405,2.09
0.410,2.09
0.413,2.09
0.419,2.09
0.425,2.09
0.428,2.09
0.434,2.09
0.440,2.09
0.445,2.01
0.448,2.09
0.454,2.09
0.459,2.08
0.463,2.09
0.469,2.09
0.475,2.09
0.477,2.09
0.477,2.09
0.490,2.09
0.495,2.09
0.497,2.09
0.497,2.09
0.509,2.08
0.509,2.09
0.518,2.09
0.525,2.09
0.525,2.08
0.534,2.06
0.540,2.09
0.544,2.09
0.550,2.07
0.553,2.09
0.559,2.09
0.564,2.09
0.565,2.09
0.573,2.09
0.579,2.09
0.582,2.09
0.590,2.08
0.594,2.09
0.600,2.09
0.604,2.09
0.610,2.09
0.615,1.09
0.619,2.09
0.624,2.09
0.630,2.08
0.635,2.09
0.640,2.09
0.642,2.09
0.650,2.09
0.655,2.09
0.661,2.09
0.665,2.09
0.669,2.09
0.674,2.09
0.680,2.06
0.683,2.09
0.687,2.08
0.695,2.09
0.699,2.09
0.702,2.09
0.709,2.08
0.714,2.09
0.719,2.09
0.725,2.08
0.729,2.09
0.734,2.09
0.736,2.09
0.744,2.08
0.749,2.08
0.752,2.09
0.760,2.09
0.763,2.09
0.769,2.09
0.775,2.09
0.779,2.09
0.781,2.09
0.790,2.08
0.794,2.09
0.797,2.08
0.803,2.09
0.809,2.09
0.814,2.09
0.818,2.09
0.824,2.09
0.829,2.07
0.835,2.09
0.840,2.09
0.845,1.4
0.847,1.08
0.854,2.09
0.859,2.09
0.861,2.08
0.869,2.08
0.875,2.09
