Elapsed Time (s),Value
0.000,2.07
0.000,2.08
0.000,2.08
0.000,1.92
0.000,2.04
0.000,2.09
0.000,1.9
0.000,2.07
0.000,2.04
0.000,2.08
0.000,2.05
0.008,2.04
0.009,2.07
0.009,2.07
0.010,2.07
0.010,2.08
0.011,2.05
0.011,2.07
0.012,2.07
0.012,2.08
0.013,2.06
0.014,2.07
0.015,2.07
0.016,1.99
0.020,1.97
0.025,2.0
0.025,1.97
0.035,2.07
0.040,2.08
0.041,2.06
0.050,2.01
0.055,2.06
0.060,2.08
0.063,2.08
0.070,2.07
0.074,2.07
0.081,2.05
0.082,2.09
0.090,2.08
0.092,1.91
0.100,2.08
0.105,2.07
0.110,1.9
0.113,2.06
0.121,2.01
0.124,2.07
0.130,1.99
0.132,2.08
0.140,2.06
0.142,2.07
0.150,2.0
0.155,1.87
0.160,1.98
0.163,2.01
0.170,2.07
0.174,2.07
0.180,1.99
0.183,2.08
0.190,2.04
0.192,2.06
0.200,2.06
0.205,2.08
0.210,2.08
0.215,2.0
0.220,1.92
0.225,2.08
0.230,2.08
0.235,2.06
0.239,2.02
0.241,2.07
0.241,2.04
0.255,2.07
0.273,2.06
0.273,2.07
0.273,1.97
0.273,2.06
0.273,2.08
0.273,2.06
0.289,1.98
0.290,2.07
0.290,2.06
0.305,2.07
0.307,1.92
0.307,2.06
0.307,1.94
0.324,2.07
0.324,2.08
0.324,2.08
0.339,1.88
0.344,2.08
0.350,1.99
0.350,2.07
0.357,2.07
0.357,2.08
0.370,1.98
0.374,2.06
0.380,1.97
0.382,2.07
0.389,2.08
0.392,2.07
0.399,2.0
0.405,2.08
0.409,1.98
0.412,2.07
0.419,2.08
0.423,2.08
0.430,1.97
0.431,2.07
0.439,1.97
0.441,2.08
0.450,1.98
0.455,2.08
0.459,2.08
0.463,2.08
0.470,1.98
0.474,2.03
0.480,1.96
0.482,2.04
0.490,2.08
0.491,2.07
0.500,2.08
0.505,1.97
0.510,2.07
0.514,2.04
0.519,2.08
0.524,2.08
0.530,2.08
0.531,2.08
0.539,2.07
0.542,2.01
0.550,2.08
0.555,2.08
0.560,2.08
0.563,2.07
0.570,2.08
0.575,1.9
0.580,1.98
0.582,2.08
0.589,1.98
0.591,1.92
0.596,2.08
0.600,1.95
0.610,1.99
0.615,2.05
0.619,1.99
0.624,2.08
0.629,1.97
0.634,2.07
0.640,2.08
0.644,2.0
0.649,1.95
0.654,2.08
0.658,2.08
0.658,2.08
0.670,2.06
0.672,2.06
0.672,2.07
0.672,2.08
0.690,2.01
0.690,2.07
0.699,1.98
0.705,1.98
0.707,2.07
0.707,2.02
0.719,2.08
0.723,2.02
0.723,2.08
0.723,2.08
0.740,1.97
0.740,2.08
0.740,2.06
0.754,2.08
0.756,1.9
0.756,2.08
0.769,1.93
0.772,2.07
0.772,2.08
0.772,1.69
0.789,1.95
0.789,2.07
0.799,1.98
0.801,1.94
0.809,1.3
0.814,1.91
0.819,1.82
0.823,2.06
0.829,1.4
0.832,1.78
0.839,1.98
0.841,1.46
0.849,1.94
0.851,1.84
0.859,1.54
0.863,1.64
0.869,1.84
0.872,2.04
0.879,1.36
0.882,1.88
0.889,1.66
0.890,1.25
0.899,1.98
0.901,1.89
0.909,1.63
0.913,1.21
0.918,1.89
0.922,2.03
0.929,1.31
0.931,1.98
0.939,1.88
0.941,1.27
0.949,1.81
0.951,1.78
0.959,1.86
0.963,1.42
0.969,1.84
0.972,1.95
0.979,1.4
0.981,2.05
0.989,1.84
0.989,1.51
