Elapsed Time (s),Value
0.016,2.08
0.022,1.95
0.027,2.08
0.029,2.08
0.037,2.08
0.039,1.94
0.046,2.08
0.051,1.95
0.057,2.08
0.061,1.93
0.066,2.09
0.071,2.08
0.076,2.08
0.079,1.99
0.087,2.08
0.090,2.07
0.097,2.08
0.102,2.08
0.106,2.03
0.110,2.08
0.110,2.08
0.121,1.93
0.124,2.08
0.132,2.08
0.136,2.07
0.141,2.08
0.144,2.03
0.151,2.08
0.156,2.08
0.161,2.08
0.167,2.06
0.171,1.99
0.176,2.04
0.182,1.96
0.187,2.08
0.191,2.08
0.196,2.08
0.201,1.99
0.206,2.08
0.211,1.96
0.217,2.08
0.222,1.95
0.226,2.09
0.231,2.08
0.236,2.08
0.241,1.96
0.246,2.08
0.252,1.97
0.256,2.07
0.261,2.09
0.267,2.02
0.271,1.97
0.276,2.08
0.281,2.01
0.285,2.08
0.291,2.09
0.293,2.09
0.301,1.97
0.304,2.08
0.311,1.96
0.313,2.08
0.321,2.08
0.324,2.09
0.331,1.95
0.335,2.08
0.341,1.97
0.343,2.08
0.350,2.02
0.352,1.97
0.361,2.07
0.367,2.02
0.371,1.94
0.375,1.96
0.381,2.08
0.386,1.98
0.392,2.02
0.394,2.08
0.401,1.92
0.403,2.08
0.411,1.91
0.417,2.08
0.421,2.08
0.426,2.08
0.431,1.95
0.436,2.08
0.441,2.08
0.446,2.06
0.451,2.08
0.456,2.08
0.459,1.93
0.466,2.08
0.470,1.93
0.476,2.02
0.478,2.08
0.486,2.08
0.488,1.93
0.496,2.08
0.501,2.08
0.506,2.08
0.509,2.08
0.516,2.08
0.519,2.08
0.523,2.08
0.531,2.08
0.536,2.06
0.541,1.95
0.543,2.08
0.551,2.08
0.553,2.06
0.561,2.01
0.563,2.08
0.571,2.08
0.575,2.08
0.581,2.08
0.586,2.08
0.591,2.08
0.596,2.08
0.601,1.95
0.606,2.09
0.607,2.08
0.607,2.08
0.619,2.02
0.623,2.06
0.623,1.97
0.635,2.08
0.641,2.08
0.645,2.08
0.650,1.95
0.658,2.08
0.658,2.01
0.658,2.08
0.670,1.96
0.675,2.08
0.680,2.08
0.686,2.08
0.686,1.96
0.686,2.08
0.700,1.97
0.700,2.08
0.700,2.01
0.700,2.03
0.717,2.08
0.723,2.08
0.723,2.07
0.734,2.08
0.734,2.08
0.734,2.08
0.751,1.98
0.751,2.08
0.751,1.97
0.751,2.08
0.767,2.08
0.767,2.08
0.767,2.0
0.784,2.04
0.784,2.03
0.784,2.06
0.801,1.96
0.801,2.08
0.810,2.08
0.815,2.08
0.821,2.08
0.825,2.05
0.826,1.91
0.835,2.06
0.840,2.07
0.843,1.68
0.850,2.07
0.856,1.96
0.857,1.76
0.857,2.05
0.870,1.41
0.873,1.74
0.880,1.82
0.884,1.4
0.890,1.93
0.892,1.74
0.901,1.5
0.901,1.69
