Elapsed Time (s),Value
0.000,1.66
0.000,2.08
0.000,1.28
0.000,1.65
0.000,1.93
0.000,2.08
0.000,2.08
0.000,1.69
0.000,2.08
0.000,2.08
0.000,1.68
0.000,2.05
0.000,2.05
0.000,1.95
0.009,1.99
0.010,2.08
0.010,2.08
0.010,2.07
0.011,2.07
0.011,2.08
0.012,1.84
0.012,2.01
0.012,2.08
0.013,1.94
0.013,1.85
0.014,1.24
0.014,2.08
0.014,1.99
0.022,2.06
0.026,2.08
0.032,1.67
0.038,1.94
0.043,2.08
0.045,2.08
0.052,1.91
0.057,2.08
0.062,2.08
0.067,1.96
0.072,2.07
0.077,2.08
0.082,2.0
0.087,1.83
0.092,2.07
0.097,2.08
0.102,1.72
0.107,2.08
0.113,2.08
0.117,1.93
0.122,2.03
0.127,2.08
0.132,1.99
0.137,1.67
0.142,1.44
0.148,2.08
0.152,1.76
0.157,2.07
0.162,2.08
0.167,1.78
0.172,1.94
0.177,2.08
0.182,2.08
0.187,1.64
0.189,2.08
0.196,2.08
0.200,1.67
0.207,2.07
0.211,2.08
0.217,1.71
0.219,1.92
0.227,2.09
0.229,2.08
0.237,1.65
0.239,1.7
0.246,2.07
0.249,1.63
0.257,2.07
0.262,2.08
0.267,1.85
0.270,1.92
0.277,2.08
0.279,2.08
0.287,1.87
0.289,2.07
0.297,2.08
0.300,1.8
0.307,2.03
0.312,2.08
0.316,2.02
0.319,2.0
0.327,2.08
0.329,2.08
0.337,1.9
0.338,2.07
0.347,2.07
0.349,1.96
0.357,2.02
0.359,2.08
0.367,2.06
0.370,2.07
0.377,2.08
0.379,2.08
0.379,1.92
0.391,2.06
0.396,2.08
0.402,1.93
0.407,1.82
0.412,2.08
0.417,2.08
0.420,1.91
0.427,2.08
0.429,1.22
0.437,1.87
0.438,2.04
0.447,2.08
0.449,2.08
0.456,2.04
0.461,2.08
0.466,2.08
0.469,1.86
0.477,2.08
0.479,2.08
0.487,1.84
0.489,1.94
0.496,2.08
0.500,2.08
0.507,1.72
0.511,2.08
0.517,2.08
0.522,1.8
0.527,2.08
0.529,2.08
0.537,1.78
0.538,1.75
0.546,1.29
0.549,2.08
0.557,1.67
0.562,2.08
0.567,2.09
0.570,2.08
0.576,2.03
0.579,2.08
0.587,1.96
0.588,1.77
0.596,2.08
0.601,2.08
0.601,2.08
0.611,2.08
0.612,2.08
0.612,1.78
0.612,2.02
0.631,2.08
0.636,2.08
0.638,1.92
0.647,2.08
0.652,2.09
0.657,1.72
0.662,2.06
0.662,2.08
0.662,1.91
0.676,1.8
0.679,2.03
0.686,2.08
0.691,1.96
0.695,2.08
0.700,2.08
0.706,1.95
0.711,2.03
0.713,2.08
0.721,1.93
0.726,1.92
0.729,2.07
0.736,2.08
0.740,1.87
0.746,2.07
0.746,2.08
0.756,1.81
0.761,2.01
0.763,2.08
0.771,2.04
0.775,1.83
0.779,2.06
0.784,2.08
0.784,2.01
0.795,2.07
0.800,2.08
0.806,1.77
0.811,2.03
0.816,2.08
0.821,2.08
0.826,1.87
0.829,2.08
0.836,1.59
0.838,1.9
0.846,2.05
0.848,2.05
0.856,1.9
0.858,1.73
0.866,1.92
0.869,1.92
0.876,1.81
0.879,1.9
0.886,2.07
0.888,1.79
0.896,2.03
0.901,2.08
0.904,2.03
0.911,1.99
0.912,2.08
0.921,2.08
0.923,1.98
0.929,2.07
0.933,2.08
0.941,1.76
0.946,1.89
0.951,1.28
0.953,2.08
0.961,1.86
0.962,2.08
0.962,2.08
0.976,1.83
0.979,2.06
0.986,2.08
0.989,1.95
0.996,1.81
1.000,2.08
1.004,2.08
1.011,1.91
1.012,2.08
1.012,2.07
1.026,2.02
1.029,2.02
1.036,1.99
1.038,1.96
1.046,2.0
1.048,2.08
1.056,2.08
1.058,2.03
1.066,1.87
1.070,2.08
1.075,1.93
1.079,1.94
1.085,2.08
1.088,2.08
1.095,1.75
1.100,2.08
1.106,2.08
1.111,2.05
1.116,2.06
1.119,2.08
1.126,1.96
1.129,1.9
1.136,2.08
1.137,1.93
1.145,1.81
1.145,1.48
1.156,2.08
1.157,1.82
1.165,2.05
1.171,2.08
1.175,1.94
1.179,1.78
1.186,1.68
1.188,2.08
1.195,1.84
1.200,2.01
1.205,2.08
1.211,1.84
1.216,2.05
1.221,2.08
1.225,2.08
1.229,1.91
1.236,2.08
1.239,2.08
1.245,1.83
1.245,2.08
1.255,2.08
1.257,1.95
1.266,1.9
1.270,2.08
1.275,2.08
1.279,1.86
1.285,2.08
1.289,2.08
1.296,1.79
1.296,2.06
1.301,2.08
1.310,1.88
1.312,1.84
1.320,2.08
1.323,2.0
1.328,1.78
1.328,2.08
1.340,2.08
1.346,1.98
1.350,2.07
1.355,2.08
1.361,2.03
1.362,1.97
1.370,1.92
1.373,2.08
1.380,2.06
1.382,2.06
1.390,2.08
1.396,1.77
1.400,1.92
1.405,2.08
1.410,2.08
1.412,1.79
1.420,2.08
1.422,2.08
1.430,1.9
1.435,2.06
1.438,2.08
1.446,1.96
1.446,2.0
1.446,2.08
1.460,2.01
1.462,1.73
1.470,2.08
1.473,2.08
1.480,1.71
1.485,2.04
1.490,2.08
1.495,2.06
1.495,1.75
1.501,1.75
1.510,2.08
1.512,1.76
1.520,2.07
1.525,2.07
1.529,2.07
1.532,2.02
1.532,2.08
1.545,2.08
1.545,1.97
1.555,2.08
1.560,2.08
1.565,1.73
1.569,2.08
1.572,1.28
1.578,1.9
1.578,1.95
1.590,2.09
1.594,2.08
1.599,2.02
1.602,2.08
1.610,2.08
1.612,2.0
1.612,2.06
1.612,2.03
1.629,1.95
1.629,1.92
1.629,2.08
1.644,2.07
1.662,1.82
1.662,2.08
1.662,2.08
1.662,1.91
1.662,2.03
1.662,2.08
1.680,2.04
1.681,1.79
1.681,1.32
1.694,2.08
1.698,1.73
1.701,2.07
1.701,1.9
1.714,2.01
1.717,1.96
1.717,2.08
1.730,2.08
1.731,2.0
1.731,2.08
1.744,2.08
1.748,1.8
1.748,2.07
1.748,2.04
1.764,1.99
1.767,1.82
1.767,2.08
1.780,2.08
1.782,1.81
1.790,2.08
1.794,2.08
1.800,1.98
1.802,2.08
1.809,2.08
1.813,1.8
1.819,1.92
1.822,2.08
1.829,2.05
1.831,1.84
1.839,2.07
1.844,2.08
1.849,2.04
1.854,1.99
1.854,2.08
1.865,2.03
1.866,1.9
1.875,2.08
1.880,2.08
1.885,2.06
1.887,2.06
1.887,2.08
1.899,2.06
1.904,1.97
1.910,2.08
1.914,2.08
1.919,1.98
1.921,2.08
1.929,2.08
1.934,1.97
1.940,2.03
1.942,1.28
1.949,2.06
1.953,2.05
1.953,2.02
1.965,2.08
1.966,2.05
1.974,2.08
1.980,2.08
1.984,1.89
1.989,2.05
1.994,2.08
1.999,2.08
2.004,2.07
2.009,2.07
2.014,2.08
2.019,1.77
2.020,2.08
2.029,2.08
2.034,1.84
2.037,2.01
2.044,2.08
2.047,2.08
2.054,1.89
2.056,1.5
2.064,2.08
2.066,2.07
2.074,2.06
2.079,2.08
2.083,2.04
2.088,2.08
2.094,2.08
2.097,2.08
2.101,1.94
2.109,2.08
2.113,2.08
2.119,1.97
2.121,2.07
2.128,1.76
2.130,2.08
2.139,1.97
2.142,2.08
2.149,1.99
2.151,2.07
2.159,2.07
2.163,2.06
2.169,1.96
2.171,2.07
2.179,2.08
2.180,2.08
