Elapsed Time (s),Value
0.000,2.09
0.001,2.0
0.001,2.09
0.002,2.09
0.003,2.09
0.003,2.08
0.004,2.09
0.004,2.09
0.005,2.09
0.006,2.09
0.006,2.06
0.007,2.09
0.007,2.05
0.008,2.09
0.008,2.08
0.009,2.08
0.010,2.08
0.010,2.03
0.011,2.08
0.011,2.08
0.012,2.09
0.013,2.08
0.015,2.08
0.021,2.08
0.025,2.01
0.029,2.08
0.035,2.09
0.040,2.08
0.045,2.08
0.050,2.03
0.055,2.08
0.060,2.08
0.065,2.08
0.070,2.08
0.076,2.08
0.080,2.08
0.085,2.08
0.090,2.08
0.095,2.08
0.100,2.08
0.106,2.08
0.110,2.08
0.115,2.08
0.120,2.08
0.125,2.07
0.130,2.08
0.135,2.09
0.140,1.32
0.145,2.07
0.150,2.08
0.155,2.09
0.160,2.09
0.165,2.08
0.170,2.09
0.175,2.09
0.179,2.09
0.184,2.09
0.190,2.07
0.195,2.08
0.200,2.08
0.205,2.06
0.210,2.09
0.216,2.02
0.220,2.09
0.225,2.09
0.229,2.09
0.234,2.09
0.239,2.09
0.244,2.08
0.249,2.08
0.254,1.39
0.259,2.04
0.264,2.08
0.270,2.09
0.274,2.09
0.280,2.09
0.284,2.09
0.290,2.09
0.295,2.05
0.300,2.08
0.305,2.09
0.310,2.09
0.315,2.08
0.320,2.09
0.325,2.09
0.330,2.09
0.335,2.08
0.340,2.09
0.345,2.09
0.350,2.09
0.355,2.04
0.360,2.06
0.365,2.08
0.371,2.08
0.375,2.06
0.380,2.09
0.385,2.08
0.389,2.09
0.394,2.09
0.399,2.08
0.404,2.08
0.409,2.09
0.414,2.08
0.419,2.05
0.424,2.08
0.429,2.02
0.434,2.08
0.440,2.07
0.444,2.06
0.449,2.08
0.454,2.06
0.459,2.08
0.465,2.08
0.469,2.08
0.474,2.05
0.479,2.06
0.484,2.07
0.489,2.08
0.494,2.07
0.499,2.08
0.504,2.08
0.509,2.09
0.514,2.03
0.519,2.08
0.525,2.08
0.529,2.09
0.534,2.08
0.539,2.07
0.545,1.23
0.549,2.08
0.554,2.08
0.559,2.09
0.564,2.08
0.570,2.08
0.574,2.08
0.579,2.08
0.585,2.08
0.589,2.08
0.594,2.08
0.599,2.08
0.604,2.07
0.609,2.09
0.614,2.08
0.619,1.97
0.624,2.06
0.629,2.08
0.634,2.05
0.639,2.04
0.644,2.08
0.650,2.08
0.654,2.08
0.659,1.44
0.664,2.09
0.669,2.08
0.674,2.09
0.679,2.08
0.684,2.08
0.689,2.08
0.694,2.09
0.700,2.08
0.704,2.08
0.709,2.09
0.714,2.09
0.720,2.08
0.724,2.08
0.729,2.09
0.734,2.08
0.739,2.08
0.744,2.05
0.750,2.08
0.754,2.08
0.759,2.09
0.764,2.09
0.770,2.08
0.774,2.06
0.779,2.09
0.784,2.08
0.788,2.08
0.793,2.09
0.799,2.08
0.803,2.08
0.808,2.09
0.813,2.08
0.819,2.08
0.824,2.09
0.829,1.99
0.833,2.05
0.838,2.08
0.843,2.08
0.848,2.09
0.853,2.08
0.858,2.08
0.863,2.08
0.868,2.09
0.873,2.08
0.878,2.08
0.884,2.08
0.888,2.08
0.893,2.08
0.899,2.08
0.904,2.08
0.909,2.08
0.913,1.23
0.918,2.08
0.923,2.08
0.929,2.08
0.934,2.08
0.938,2.08
0.943,2.08
0.949,2.09
0.953,2.08
0.959,2.08
0.964,2.09
0.968,2.09
0.973,2.08
0.979,2.04
0.984,2.08
0.988,2.08
0.993,2.09
0.998,2.09
1.003,2.08
1.008,2.08
1.013,2.09
1.018,2.09
1.023,2.03
1.028,1.59
1.034,2.08
1.038,2.08
1.043,2.07
1.048,2.08
1.053,2.02
1.058,2.08
1.063,2.09
1.068,2.09
1.073,2.08
1.078,2.08
1.083,2.08
1.088,2.08
1.093,2.09
1.098,2.03
1.103,2.08
1.109,2.06
1.113,2.08
1.118,2.09
1.124,2.08
1.128,2.09
1.133,2.09
1.138,2.08
1.143,2.08
1.148,2.09
1.153,2.06
1.158,2.04
1.163,2.04
1.168,2.06
1.173,2.08
1.178,2.06
1.183,2.07
1.188,2.08
1.193,2.09
1.199,2.09
1.203,1.95
1.208,2.08
1.213,2.09
1.219,2.08
1.223,2.08
1.228,2.08
1.233,2.08
1.238,2.08
1.243,2.08
1.248,2.08
1.253,2.09
1.258,2.08
1.263,2.05
1.269,2.09
1.273,2.08
1.278,2.08
1.283,2.08
1.288,2.08
1.293,2.08
1.298,2.08
1.303,2.09
1.308,2.09
1.313,2.02
1.319,1.2
1.323,2.08
1.328,2.08
1.333,2.08
1.338,2.08
1.343,2.08
1.348,2.07
1.352,2.08
1.357,2.08
1.362,2.01
1.368,2.08
1.372,2.03
1.377,2.08
1.382,2.08
1.387,2.09
1.392,2.08
1.399,2.07
1.402,2.09
1.407,2.08
1.412,2.08
1.418,2.08
1.422,2.09
1.427,2.08
1.433,1.51
1.438,2.08
1.443,2.08
1.448,2.08
1.452,2.08
1.457,2.08
1.462,2.08
1.468,2.08
1.472,2.08
1.477,2.07
1.482,2.08
1.487,2.09
1.492,2.08
1.498,2.08
1.502,2.08
1.507,2.08
1.513,2.08
1.518,2.08
1.523,2.09
1.528,2.08
1.532,2.08
1.538,2.08
1.543,2.08
1.547,2.09
1.552,2.08
1.557,2.09
1.562,2.09
1.568,1.42
1.572,2.09
1.577,2.08
1.582,2.08
1.587,2.09
1.592,2.07
1.597,2.08
1.602,2.08
1.607,2.09
1.612,2.08
1.618,2.09
1.622,2.08
1.627,2.08
1.632,2.09
1.637,2.09
1.642,2.08
1.647,2.07
1.653,2.09
1.657,2.09
1.662,2.08
1.668,2.09
1.672,2.09
1.677,2.06
1.682,2.08
1.687,2.09
1.692,2.06
1.697,2.08
1.702,2.06
1.707,2.06
1.712,2.05
1.718,2.09
1.722,2.08
1.727,2.08
1.732,2.08
1.737,2.09
1.742,1.99
1.747,2.05
1.752,2.08
1.757,2.09
1.762,2.08
1.768,2.08
1.772,2.08
1.777,2.08
1.782,2.05
1.787,2.09
1.792,2.09
1.797,2.08
1.802,2.09
1.807,2.09
1.812,2.08
1.818,2.07
1.822,2.08
1.827,2.08
1.832,2.08
1.837,2.09
1.842,2.08
1.847,2.08
1.852,2.01
1.857,1.27
1.862,2.09
1.867,2.08
1.872,2.09
1.876,2.09
1.882,2.08
1.887,2.09
1.892,2.09
1.897,2.08
1.902,2.07
1.907,2.08
1.912,2.08
1.917,2.08
1.922,2.07
1.927,2.09
1.932,2.06
1.937,2.09
1.942,2.09
1.947,2.08
1.952,2.08
1.956,2.09
1.961,2.08
1.967,2.08
1.972,1.48
1.976,2.06
1.982,2.08
1.987,2.06
1.991,2.09
1.997,2.08
2.001,2.08
2.006,2.09
2.011,2.06
2.016,2.08
2.021,2.08
2.026,2.08
2.033,2.07
2.037,2.08
2.042,2.04
2.047,2.03
2.051,2.08
2.057,2.09
2.061,2.04
2.066,2.08
2.071,2.09
2.076,2.07
2.082,2.08
2.086,2.08
2.092,2.06
2.096,2.08
2.102,2.08
2.106,2.09
2.111,2.08
2.116,2.08
2.122,2.09
2.127,2.09
2.132,2.06
2.136,2.08
2.141,2.09
2.146,2.01
2.151,2.08
2.156,2.08
2.161,2.09
2.166,2.08
2.171,2.07
2.176,2.09
2.181,2.08
2.186,2.08
2.191,2.06
2.196,2.08
2.201,2.06
2.206,2.09
2.211,2.08
2.216,2.07
2.221,2.02
2.226,2.05
2.232,2.08
2.236,2.08
2.241,2.05
2.246,2.08
2.251,2.05
2.256,2.06
2.261,1.36
2.266,2.08
2.271,2.08
2.276,2.08
2.281,2.08
2.286,2.08
2.291,2.08
2.296,2.08
2.301,2.07
2.306,2.08
2.311,2.08
2.316,2.08
2.321,2.08
2.326,2.08
2.331,2.07
2.336,2.08
2.341,2.09
2.346,2.09
2.351,2.08
2.356,2.09
2.361,2.09
2.366,2.08
2.371,2.08
2.376,1.44
2.381,2.08
2.386,2.08
2.391,2.07
2.396,2.08
2.401,2.08
2.406,2.0
2.411,2.08
2.416,2.09
2.421,2.08
2.426,2.09
2.431,2.09
2.436,2.08
2.441,2.09
2.445,2.09
2.451,2.08
2.456,2.08
2.460,2.08
2.466,2.08
2.470,2.08
2.475,2.05
2.481,2.09
2.485,2.08
2.490,2.08
2.495,2.09
2.501,2.05
2.505,2.08
2.510,1.51
2.516,2.08
2.520,2.08
2.525,2.09
2.530,2.08
2.536,2.08
2.541,2.09
2.546,2.06
2.551,2.09
2.556,2.09
2.561,2.05
2.565,2.09
2.570,2.08
2.575,2.07
2.580,2.08
2.585,2.08
2.590,2.09
2.595,2.07
2.600,2.08
2.605,2.08
2.610,2.09
2.615,2.09
2.620,2.09
2.626,2.09
2.631,2.08
2.636,2.09
2.640,2.08
2.645,2.08
2.650,2.08
2.655,2.04
2.661,2.08
2.666,2.08
2.671,2.09
2.676,2.09
2.681,2.09
2.686,2.04
2.690,2.08
2.695,2.09
2.700,2.08
2.706,2.08
2.710,2.08
2.715,2.08
2.720,2.08
2.725,2.08
2.731,2.07
2.735,2.08
2.740,2.08
2.746,2.06
2.750,2.01
2.756,2.08
