Elapsed Time (s),Value
0.001,2.08
0.004,2.09
0.009,1.91
0.014,1.99
0.019,2.08
0.024,2.08
0.029,1.87
0.035,2.08
0.039,1.86
0.045,2.03
0.049,2.06
0.054,2.09
0.059,1.94
0.064,1.9
0.069,2.08
0.075,2.04
0.080,1.76
0.085,2.09
0.090,2.08
0.095,1.9
0.100,1.97
0.104,2.09
0.110,2.0
0.115,1.74
0.120,1.1
0.125,2.09
0.129,1.68
0.135,2.08
0.139,2.08
0.145,1.85
0.150,1.99
0.155,1.32
0.160,2.03
0.165,1.76
0.170,2.08
0.175,2.08
0.180,1.69
0.185,2.06
0.190,2.09
0.195,1.83
0.200,2.08
0.205,2.08
0.210,2.09
0.215,1.66
0.220,2.03
0.225,2.09
0.230,1.79
0.236,2.07
0.240,2.08
0.245,2.0
0.250,1.99
0.255,2.08
0.260,2.08
0.265,2.01
0.270,1.64
0.275,2.09
0.280,1.67
0.285,2.08
0.290,2.09
0.295,1.98
0.300,2.05
0.305,2.08
0.310,2.06
0.315,2.0
0.320,2.08
0.325,2.07
0.329,2.02
0.335,2.06
0.339,2.07
0.345,2.09
0.350,1.1
0.355,1.28
0.360,1.1
0.365,1.97
0.370,2.06
0.375,2.09
0.380,2.03
0.385,1.79
0.390,2.08
0.394,2.09
0.399,1.94
0.404,2.05
0.409,2.08
0.414,1.98
0.419,2.02
0.424,2.08
0.429,1.98
0.434,1.75
0.439,2.08
0.444,1.93
0.449,1.8
0.454,2.08
0.459,2.08
0.464,1.96
0.469,1.99
0.474,2.06
0.479,2.08
0.484,1.7
0.489,2.08
0.494,2.08
0.499,1.7
0.504,2.07
0.509,2.09
0.514,1.81
0.519,1.79
0.524,2.09
0.529,2.09
0.534,1.7
0.539,2.09
0.544,2.09
0.549,1.61
0.554,2.06
0.559,1.37
0.564,1.92
0.569,2.06
0.574,2.09
0.579,1.45
0.584,1.7
0.590,2.08
0.595,2.09
0.600,1.86
0.604,2.06
0.609,2.09
0.614,2.09
0.619,1.98
0.624,2.08
0.629,2.09
0.634,1.99
0.639,2.04
0.644,2.08
0.649,1.73
0.655,2.04
0.659,2.09
0.664,2.07
0.668,1.96
0.674,1.61
0.679,2.06
0.684,1.94
0.689,2.03
0.693,2.08
0.699,2.01
0.704,1.94
0.709,2.09
0.714,2.09
0.720,1.93
0.724,2.08
0.729,2.08
0.734,1.96
0.740,1.95
0.744,2.09
0.749,2.09
0.753,1.91
0.758,2.09
0.764,2.09
0.769,1.88
0.774,2.04
0.778,2.09
0.784,2.05
0.789,2.06
0.794,2.08
0.799,2.06
0.803,1.97
0.809,2.06
0.814,2.08
0.818,1.98
0.824,2.07
0.829,2.08
0.834,2.0
0.838,2.06
0.843,2.08
0.848,2.0
0.853,1.81
0.859,2.08
0.864,2.08
0.869,1.82
0.874,2.04
0.878,2.09
0.883,2.08
0.888,1.78
0.893,2.09
0.898,2.08
0.903,1.78
0.908,2.06
0.914,2.09
0.919,1.72
0.924,2.0
0.929,2.07
0.934,2.09
0.939,2.0
0.944,2.08
0.949,2.0
0.954,1.76
0.959,2.07
0.964,1.26
0.968,1.97
0.974,1.87
0.979,2.09
0.984,2.08
0.988,1.86
0.993,2.08
0.998,2.09
1.003,1.89
1.008,2.02
1.013,2.09
1.018,2.04
1.023,1.92
1.028,2.08
1.034,2.06
1.039,1.99
1.044,1.93
1.049,2.09
1.054,1.96
1.059,1.94
1.063,2.08
1.069,2.09
1.074,1.95
1.078,1.46
1.083,2.06
1.088,1.98
1.093,2.07
1.098,2.09
1.103,2.02
1.108,1.9
1.113,2.05
1.118,2.08
1.123,2.01
1.128,2.08
1.133,2.09
1.139,1.9
1.143,1.97
1.148,2.07
1.153,2.08
1.158,1.98
1.163,2.08
1.168,2.07
1.173,1.98
1.178,2.08
1.183,2.08
1.189,2.0
1.193,2.04
1.198,2.09
1.203,2.05
1.208,2.05
1.213,2.08
1.218,2.02
1.223,1.9
1.228,2.08
1.233,2.09
1.238,1.93
1.243,1.97
1.248,2.04
1.253,2.01
1.258,1.85
1.263,2.08
1.268,2.08
1.273,1.09
1.278,2.08
1.283,2.09
1.288,1.97
1.292,2.0
1.297,2.06
1.303,2.08
1.307,1.98
1.312,2.08
1.317,2.09
1.322,1.81
1.327,2.03
1.332,2.08
1.338,2.08
1.342,1.91
1.347,2.08
1.352,2.08
1.357,1.9
1.362,2.04
1.367,1.21
1.373,1.97
1.378,1.9
1.383,2.06
1.388,2.06
1.393,1.95
1.398,2.05
1.403,2.08
1.408,2.02
1.413,2.01
1.417,2.05
1.423,2.03
1.428,1.86
1.433,2.04
1.439,2.06
1.443,2.0
1.448,2.05
1.453,2.06
1.458,2.01
1.462,2.0
1.468,2.06
1.472,2.08
1.478,1.9
1.483,1.48
1.488,2.06
1.493,1.9
1.498,2.06
1.503,1.11
1.507,1.47
1.513,1.1
1.518,2.06
1.523,2.07
1.527,1.92
1.532,2.07
1.538,2.05
1.542,1.9
1.547,2.03
1.553,2.08
1.558,1.99
1.563,1.99
1.568,2.08
1.573,2.07
1.578,1.95
1.583,2.06
1.588,2.06
1.593,1.93
1.598,2.03
1.603,2.04
1.608,2.03
1.613,1.98
1.618,2.05
1.623,2.08
1.628,1.94
1.633,2.08
1.638,2.07
1.643,1.93
1.647,2.07
1.652,2.08
1.657,2.0
1.662,1.98
1.667,2.02
1.672,2.06
1.677,2.04
1.683,2.04
1.688,2.06
1.692,1.95
1.697,1.97
1.702,2.04
1.707,2.09
1.712,1.98
1.717,2.08
1.722,2.06
1.727,1.94
1.732,1.87
1.737,2.06
1.743,2.06
1.747,1.83
1.752,2.07
1.757,2.09
1.762,2.02
1.767,2.07
1.773,1.36
1.777,2.04
1.782,1.77
1.787,2.07
1.792,2.09
1.797,1.88
1.803,2.08
1.807,2.09
1.813,2.01
1.817,2.04
1.822,2.05
1.827,2.04
1.832,1.84
1.837,2.06
1.842,2.09
1.847,1.87
1.852,2.08
1.857,2.06
1.862,1.89
1.867,2.02
1.872,2.08
1.877,2.08
1.882,1.64
1.887,1.45
1.892,2.08
1.897,1.9
1.902,2.06
1.907,2.08
1.912,1.94
1.917,1.98
1.922,2.08
1.927,2.05
1.932,1.98
1.937,2.07
1.942,2.08
1.947,1.96
1.952,2.07
1.957,2.08
1.962,1.98
1.967,1.1
1.971,2.05
1.976,2.08
1.981,1.97
1.987,2.06
1.992,2.01
1.997,1.92
2.001,2.03
2.007,2.09
2.012,2.05
2.017,2.04
2.022,2.08
2.027,2.08
2.032,1.98
2.037,2.07
2.042,2.07
2.047,2.04
2.052,1.99
2.057,2.07
2.062,2.04
2.067,1.96
2.072,2.06
2.077,2.08
2.082,1.95
2.087,2.06
2.092,2.06
2.096,1.99
2.101,1.8
2.106,2.05
2.112,2.09
2.117,1.81
2.121,2.07
2.126,2.07
2.131,1.98
2.136,2.02
2.142,2.08
2.147,2.0
2.152,1.63
2.157,2.08
2.162,2.06
2.166,1.85
2.171,2.06
2.176,1.37
2.181,2.01
2.186,1.88
2.192,2.09
2.196,2.07
2.201,1.84
2.206,2.08
2.211,2.06
2.217,1.85
2.221,2.04
2.227,2.08
2.231,1.97
2.237,1.94
2.241,2.08
2.246,2.08
2.252,1.64
2.257,2.05
2.261,2.06
2.266,1.89
2.271,2.07
2.276,2.05
2.282,2.06
2.287,1.93
2.292,1.29
2.297,2.08
2.302,1.99
2.307,2.05
2.311,2.09
2.316,1.95
2.321,2.03
2.327,2.05
2.331,2.06
2.336,1.96
2.341,2.08
2.346,2.09
2.351,1.98
2.356,2.06
2.361,2.07
2.366,1.96
2.371,1.89
2.376,2.08
2.381,2.09
2.386,2.05
2.391,2.08
2.396,2.08
2.401,1.98
2.406,1.98
2.411,2.07
2.415,2.08
2.421,1.92
2.426,1.09
2.431,1.09
2.436,1.95
2.441,2.05
2.446,2.06
2.451,1.97
2.456,1.98
