Elapsed Time (s),Value
0.000,2.08
0.000,2.08
0.016,2.08
0.024,1.05
0.027,0.99
0.034,0.99
0.039,0.99
0.044,0.99
0.047,0.99
0.054,0.99
0.059,2.03
0.064,0.99
0.070,0.99
0.075,0.99
0.078,0.99
0.084,0.99
0.088,0.99
0.094,2.02
0.096,0.99
0.105,0.99
0.106,0.99
0.114,0.99
0.120,0.99
0.125,0.99
0.127,2.08
0.127,2.08
0.140,2.08
0.143,2.09
0.150,2.01
0.154,1.94
0.159,1.94
0.164,1.94
0.170,1.96
0.175,1.96
0.178,1.94
0.184,1.94
0.187,1.79
0.195,2.08
0.196,2.08
0.204,2.08
0.206,2.08
0.214,2.08
0.220,2.08
0.224,2.08
0.228,2.08
0.235,2.08
0.238,2.08
0.245,2.08
0.246,2.08
0.255,0.99
0.259,0.99
0.265,0.99
0.269,1.0
0.274,2.08
0.279,2.08
0.285,2.08
0.290,2.08
0.294,2.08
0.300,1.66
0.304,2.08
0.310,2.08
0.314,1.91
0.320,2.08
0.324,2.08
0.329,2.08
0.334,2.08
0.339,2.08
0.344,2.08
0.349,2.08
0.354,2.08
0.360,2.08
0.364,2.08
0.369,2.08
0.375,2.02
0.380,2.08
0.384,2.08
0.389,2.08
0.393,2.08
0.400,2.09
0.404,1.99
0.409,2.08
0.412,1.85
0.419,2.08
0.424,2.08
0.426,2.08
0.434,2.09
0.437,2.08
0.444,2.09
0.445,2.08
0.454,2.08
0.456,2.08
0.464,2.08
0.469,2.08
0.473,2.08
0.478,2.07
0.484,2.08
0.488,0.99
0.494,0.99
0.497,0.99
0.504,0.99
0.507,0.99
0.514,0.99
0.519,0.99
0.524,0.99
0.527,0.99
0.527,0.99
0.539,0.99
0.541,0.99
0.549,0.99
0.554,0.99
0.559,0.99
0.564,0.99
0.569,0.99
0.574,0.99
0.577,0.99
0.584,0.99
0.588,0.99
0.594,2.08
0.596,2.08
0.603,2.08
0.606,2.08
0.613,2.08
0.619,2.08
0.624,2.08
0.629,2.08
0.634,2.08
0.639,2.08
0.644,2.08
0.648,2.08
0.653,2.08
0.657,2.08
0.657,2.08
0.669,2.08
0.669,2.08
0.669,2.08
0.669,2.08
0.687,1.99
0.687,2.08
0.687,2.08
0.703,2.08
0.703,2.08
0.703,2.08
0.719,0.99
0.720,0.99
0.720,0.99
0.720,0.99
0.736,0.99
0.736,2.08
0.736,2.08
0.753,2.08
0.753,2.08
0.753,2.08
0.769,2.08
0.769,2.08
0.769,2.08
0.783,2.08
0.786,2.08
0.794,2.08
0.797,2.08
0.803,2.08
0.803,2.08
0.803,2.08
0.819,2.08
0.820,2.08
0.820,2.08
0.833,2.08
0.836,2.08
0.844,2.08
0.846,2.03
0.852,2.04
0.856,2.08
0.863,2.08
0.869,2.08
0.873,2.08
0.876,2.08
0.883,2.06
0.886,2.07
0.894,2.08
0.895,2.08
0.903,2.07
0.905,2.08
0.913,2.08
0.915,2.08
0.923,2.08
0.926,2.09
0.934,1.97
0.937,2.08
0.943,2.08
0.946,0.99
0.953,0.99
0.953,0.99
0.963,0.99
0.969,0.99
0.973,0.99
0.976,0.99
0.983,1.02
0.987,0.99
0.993,0.99
0.996,0.99
1.003,0.99
1.006,0.99
1.013,0.99
1.019,2.09
1.023,0.99
1.027,0.99
1.033,0.99
1.036,0.99
1.043,0.99
1.045,0.99
1.053,2.08
1.055,2.08
1.063,2.08
1.069,2.08
1.073,2.08
1.076,2.08
1.083,2.08
1.086,2.08
1.093,2.08
1.095,2.08
1.102,2.08
1.105,2.09
1.113,2.08
1.115,2.08
1.123,2.08
1.126,2.08
1.133,2.08
1.136,2.08
1.142,2.0
1.145,1.99
1.152,2.07
1.152,2.08
1.152,2.08
1.168,2.08
1.169,2.08
1.169,1.02
1.182,0.99
1.187,0.99
1.192,0.99
1.196,0.99
1.202,0.99
1.207,1.61
1.212,0.99
1.218,2.08
1.219,2.08
1.228,2.08
1.230,2.08
1.238,2.08
1.240,2.08
1.247,2.08
1.253,2.08
1.258,2.07
1.262,2.08
1.268,2.08
1.269,2.08
1.277,2.08
1.280,2.07
1.287,2.03
1.290,2.08
1.298,2.07
1.303,2.08
1.303,2.08
1.312,1.91
1.317,2.05
1.319,2.08
1.327,2.08
1.329,2.08
1.336,2.08
1.336,2.07
1.347,2.08
1.353,1.86
1.357,2.06
1.360,2.02
1.367,2.08
1.369,2.04
1.377,2.09
1.379,2.08
1.387,1.92
1.389,2.08
1.397,2.08
1.403,2.08
1.407,1.01
1.411,0.99
1.417,0.99
1.419,1.0
1.427,2.08
1.429,2.08
1.437,2.08
1.437,2.08
1.447,2.08
1.452,2.08
1.453,1.85
1.453,2.08
1.467,2.07
1.470,2.08
1.477,2.08
1.480,2.08
1.486,2.08
1.489,2.08
1.497,2.08
1.500,2.08
1.504,2.08
1.512,2.08
1.517,2.08
1.520,2.06
1.527,2.08
1.530,2.08
1.536,2.08
1.540,2.08
1.547,2.08
1.552,2.08
1.557,2.08
1.560,1.97
1.567,2.08
1.570,2.08
1.577,2.09
1.580,2.08
1.586,2.08
1.589,2.08
1.597,2.08
1.599,2.08
1.607,2.08
1.610,2.08
1.617,2.08
1.619,2.08
1.627,2.06
1.630,2.09
1.637,2.08
1.639,0.99
1.647,0.99
1.652,0.99
1.653,0.99
1.662,0.99
1.667,0.99
1.670,2.08
1.677,0.99
1.679,0.99
1.687,0.99
1.687,0.99
1.697,0.99
1.702,0.99
1.707,0.99
1.710,0.99
1.717,0.99
1.720,0.99
1.727,0.99
1.730,0.99
1.737,0.99
1.737,1.0
1.747,2.08
1.750,2.08
1.757,2.08
1.760,2.08
1.767,2.08
1.769,2.07
1.777,2.09
1.780,2.08
1.786,2.08
1.789,2.08
1.797,2.08
1.802,2.08
1.803,2.08
1.811,2.08
1.815,2.08
1.819,2.08
1.827,2.08
1.830,2.08
1.837,2.0
1.839,2.08
1.847,2.09
1.852,2.08
1.856,2.08
1.861,1.94
1.867,2.08
1.870,0.99
1.877,0.99
1.879,0.99
1.887,0.99
1.889,0.99
1.897,0.99
1.902,1.92
1.906,2.08
1.910,2.08
1.916,2.09
1.920,2.08
1.927,2.09
1.929,2.08
1.936,2.08
1.939,2.08
1.947,2.08
1.952,2.08
1.956,2.08
1.960,2.08
1.966,2.08
1.969,2.08
1.976,2.08
1.978,1.73
1.986,2.08
1.986,2.08
1.996,2.01
2.002,2.08
2.006,2.08
2.011,2.08
2.016,2.08
2.020,2.08
2.026,2.08
2.029,2.07
2.036,2.08
2.038,2.08
2.046,2.08
2.052,2.08
2.056,2.08
2.059,2.0
2.066,2.08
2.070,2.08
2.076,2.08
2.078,2.08
2.086,2.08
2.090,2.07
2.096,2.08
2.098,0.99
2.106,0.99
2.109,0.99
2.116,0.99
2.119,0.99
2.126,0.99
2.129,0.99
2.136,1.32
2.138,0.99
2.145,0.99
2.147,0.99
2.156,0.99
2.160,0.99
2.166,1.38
2.169,2.08
2.176,0.99
2.178,0.99
2.185,0.99
2.186,0.99
2.195,0.99
2.198,0.99
2.206,2.07
2.209,2.08
2.216,2.08
2.219,2.08
2.225,2.08
2.228,2.08
2.236,2.08
2.238,2.08
2.246,2.08
2.247,2.09
2.255,2.08
2.259,2.08
2.266,2.09
2.269,2.08
2.276,2.08
2.277,2.09
2.286,2.08
2.288,2.08
2.296,2.09
2.297,1.68
2.302,2.08
2.310,2.08
2.316,2.08
2.319,2.08
2.326,2.08
2.330,1.03
2.336,0.99
2.341,0.99
2.345,0.99
2.351,0.99
2.352,0.99
2.352,1.01
2.366,2.09
2.369,2.08
2.369,2.08
2.369,2.08
2.385,2.08
2.385,2.08
2.385,2.08
2.385,2.08
2.402,1.83
2.402,2.08
2.402,2.08
2.419,2.08
2.419,2.03
2.419,2.08
2.435,2.08
2.435,2.08
2.435,2.08
2.435,2.08
2.452,2.08
2.452,2.08
2.452,2.08
2.469,2.08
2.469,2.08
2.469,2.08
2.485,2.08
2.490,2.08
2.495,2.08
2.497,2.07
2.505,2.08
2.509,2.08
2.514,2.07
2.519,2.08
2.524,2.08
2.527,2.07
2.535,2.08
2.536,2.01
2.544,2.08
2.547,2.02
2.555,2.08
2.560,2.06
2.565,0.99
2.570,0.99
2.575,0.99
2.580,0.99
2.585,0.99
2.590,0.99
2.595,2.02
2.600,0.99
2.605,0.99
2.610,0.99
2.615,0.99
2.620,0.99
2.625,0.99
2.630,0.99
2.635,0.99
2.640,0.99
2.645,0.99
2.650,0.99
2.655,0.99
2.660,0.99
2.665,0.99
2.670,2.06
2.675,2.08
2.680,2.06
2.685,2.08
2.688,2.08
2.694,2.08
2.696,2.08
2.705,2.08
2.706,2.08
2.715,2.04
2.719,2.08
2.725,2.09
2.728,2.09
2.734,2.08
2.736,2.09
2.745,2.08
2.747,2.0
2.755,2.09
2.757,2.08
2.764,2.08
2.769,1.94
2.775,2.08
2.778,1.95
2.784,2.08
2.786,1.92
2.795,0.99
2.796,0.99
2.802,0.99
2.802,0.99
2.815,2.08
2.819,1.86
2.825,2.05
2.828,2.08
2.835,2.08
2.836,2.08
2.845,2.08
2.847,1.97
2.854,2.08
2.857,1.97
2.864,1.96
2.869,2.08
2.875,2.08
2.877,2.08
2.884,2.08
2.886,1.99
2.886,2.08
2.900,2.07
2.903,2.08
2.909,2.05
2.911,2.07
2.919,2.08
2.922,2.08
2.930,2.07
2.935,2.08
2.940,2.08
2.944,2.08
2.950,2.01
2.952,2.08
2.960,2.08
2.962,1.91
2.969,2.08
2.972,2.08
2.979,2.08
2.985,2.06
2.990,2.08
2.993,2.08
