Elapsed Time (s),Value
0.000,2.08
0.000,2.08
0.016,2.08
0.018,2.08
0.026,2.09
0.029,2.09
0.035,2.08
0.042,0.86
0.046,0.87
0.051,0.86
0.052,0.87
0.062,0.86
0.064,2.08
0.072,2.08
0.076,2.08
0.082,2.08
0.085,2.08
0.092,2.08
0.097,2.09
0.102,2.07
0.103,2.08
0.112,2.09
0.113,2.08
0.121,2.08
0.125,2.09
0.131,2.08
0.135,2.08
0.142,2.06
0.144,2.08
0.152,2.08
0.154,2.08
0.162,2.08
0.164,2.09
0.171,2.08
0.175,2.08
0.182,2.09
0.185,2.08
0.192,2.08
0.195,2.08
0.202,2.08
0.202,2.08
0.212,1.97
0.214,2.09
0.222,2.09
0.225,2.09
0.231,2.09
0.235,2.08
0.242,2.09
0.244,2.08
0.251,2.08
0.254,2.07
0.262,2.09
0.263,2.09
0.272,0.86
0.275,0.86
0.282,0.86
0.285,0.86
0.292,1.98
0.294,0.86
0.301,0.86
0.302,0.86
0.312,0.87
0.313,0.86
0.322,0.86
0.326,0.89
0.332,0.86
0.335,0.87
0.342,0.9
0.344,0.86
0.352,0.87
0.354,0.86
0.362,1.6
0.363,0.86
0.371,0.87
0.375,2.08
0.382,1.81
0.385,2.08
0.392,2.08
0.393,2.08
0.401,2.08
0.403,2.08
0.412,2.08
0.413,2.09
0.421,2.08
0.425,1.97
0.431,2.08
0.435,2.08
0.441,2.08
0.444,2.08
0.451,2.08
0.452,2.08
0.461,2.08
0.464,2.07
0.471,2.09
0.475,2.08
0.481,2.09
0.485,1.85
0.491,2.09
0.494,2.08
0.501,0.87
0.502,0.87
0.511,0.86
0.513,0.87
0.521,0.87
0.525,0.87
0.531,1.02
0.535,0.87
0.540,0.89
0.543,1.98
0.550,2.08
0.551,2.08
0.560,2.08
0.562,2.08
0.571,2.08
0.573,2.09
0.581,2.09
0.585,2.07
0.591,1.82
0.596,2.08
0.601,2.08
0.602,2.07
0.602,2.07
0.602,2.08
0.618,2.08
0.618,2.08
0.631,2.08
0.636,2.08
0.641,1.98
0.646,2.08
0.651,2.08
0.656,2.08
0.661,2.08
0.664,2.08
0.671,2.08
0.676,2.09
0.681,2.09
0.686,2.08
0.691,1.77
0.695,2.08
0.701,2.08
0.702,2.08
0.711,2.08
0.716,2.08
0.721,2.08
0.726,2.08
0.730,0.87
0.736,0.86
0.741,0.86
0.746,0.87
0.751,2.08
0.756,2.08
0.760,2.08
0.766,2.08
0.771,2.08
0.776,2.08
0.779,2.08
0.785,2.08
0.788,2.08
0.796,2.08
0.798,2.08
0.806,2.08
0.810,2.08
0.816,2.08
0.818,2.08
0.826,2.09
0.827,2.09
0.835,2.08
0.840,2.09
0.843,2.08
0.850,1.94
0.851,2.08
0.860,2.08
0.865,2.09
0.871,2.08
0.872,2.08
0.881,2.08
0.885,2.08
0.890,2.08
0.892,2.08
0.900,2.07
0.902,2.09
0.910,2.08
0.912,2.08
0.920,2.07
0.922,2.08
0.922,2.05
0.935,2.08
0.938,2.09
0.946,2.08
0.951,2.09
0.955,2.07
0.958,2.09
0.965,0.87
0.968,0.87
0.975,0.87
0.978,0.87
0.985,0.87
0.988,0.87
0.996,1.88
1.001,0.87
1.005,0.87
1.008,0.87
1.015,0.87
1.018,0.87
1.026,0.87
1.028,0.87
1.035,0.87
1.037,0.87
1.045,0.87
1.047,0.87
1.055,0.87
1.058,0.87
1.065,0.87
1.068,2.07
1.075,2.08
1.077,2.07
1.085,2.08
1.085,2.08
1.095,2.08
1.098,2.08
1.105,2.08
1.109,2.07
1.115,2.08
1.118,2.08
1.118,2.08
1.118,1.98
1.135,2.08
1.135,2.08
1.135,2.08
1.135,2.08
1.151,2.08
1.151,2.08
1.151,2.08
1.168,2.02
1.168,2.08
1.168,2.08
1.185,2.08
1.185,2.08
1.185,0.86
1.185,0.87
1.201,0.86
1.201,0.87
1.201,0.86
1.218,0.86
1.218,2.05
1.218,2.08
1.235,2.08
1.235,2.08
1.235,2.08
1.235,2.08
1.251,2.08
1.259,2.08
1.263,2.08
1.269,2.08
1.273,1.97
1.280,2.03
1.285,2.07
1.290,2.08
1.295,2.08
1.299,2.04
1.301,2.08
1.301,2.02
1.314,2.08
1.319,2.08
1.325,2.05
1.327,2.08
1.335,2.08
1.337,2.08
1.337,2.08
1.350,2.08
1.351,2.08
1.360,2.08
1.362,2.08
1.369,2.08
1.372,2.08
1.379,2.08
1.385,2.06
1.385,2.08
1.395,2.08
1.395,2.08
1.404,2.08
1.409,2.08
1.414,2.08
1.418,2.08
1.418,0.86
1.429,0.86
1.435,0.86
1.439,0.86
1.439,0.86
1.449,0.86
1.451,0.87
1.459,0.87
1.461,0.86
1.469,0.86
1.471,0.86
1.479,0.86
1.485,0.87
1.489,1.19
1.494,1.72
1.499,0.86
1.501,0.87
1.509,0.86
1.511,0.87
1.518,0.86
1.518,0.87
1.530,1.75
1.534,2.08
1.540,2.08
1.544,2.08
1.549,2.08
1.551,2.07
1.559,2.08
1.561,2.08
1.568,2.05
1.568,2.08
1.568,2.08
1.584,1.96
1.585,2.08
1.594,2.08
1.599,2.08
1.602,2.08
1.602,2.08
1.614,2.08
1.618,2.07
1.618,2.08
1.629,2.04
1.634,1.91
1.636,2.08
1.644,2.08
1.649,2.08
1.651,0.86
1.651,0.87
1.663,0.87
1.668,0.87
1.673,0.86
1.678,0.87
1.683,0.87
1.685,1.81
1.685,2.08
1.699,2.09
1.701,2.08
1.708,2.06
1.712,2.08
1.718,2.08
1.718,2.08
1.729,2.08
1.734,2.08
1.735,2.08
1.744,2.09
1.747,2.08
1.752,2.08
1.752,2.08
1.752,2.08
1.768,2.08
1.768,2.08
1.779,2.08
1.784,2.09
1.785,2.08
1.793,2.07
1.798,1.93
1.801,2.08
1.801,2.07
1.813,2.08
1.818,2.08
1.824,2.08
1.829,2.08
1.833,2.08
1.835,2.08
1.835,1.88
1.848,2.08
1.851,2.08
1.851,2.08
1.863,2.05
1.868,2.08
1.868,2.08
1.878,2.02
1.884,2.04
1.885,0.86
1.893,0.86
1.899,0.86
1.901,0.86
1.909,0.86
1.912,0.86
1.919,2.08
1.919,0.86
1.919,0.86
1.934,0.86
1.935,0.86
1.935,0.86
1.949,0.86
1.952,2.08
1.958,2.08
1.960,1.97
1.968,2.08
1.971,2.09
1.979,2.08
1.984,2.08
1.985,2.08
1.994,2.09
1.996,2.09
2.003,2.08
2.009,2.09
2.013,2.08
2.018,2.07
2.023,2.08
2.026,2.08
2.033,2.08
2.035,2.08
2.043,2.08
2.045,2.09
2.053,1.73
2.056,2.09
2.064,2.08
2.068,2.08
2.073,2.08
2.077,2.09
2.084,2.08
2.084,2.08
2.093,2.09
2.096,2.08
2.101,2.08
2.108,2.08
2.111,2.08
2.118,0.87
2.119,0.87
2.119,0.87
2.134,0.87
2.135,0.87
2.135,0.87
2.148,1.98
2.151,0.87
2.158,0.87
2.161,0.87
2.168,1.72
2.170,0.87
2.178,0.87
2.180,2.06
2.188,2.08
2.191,2.04
2.197,2.08
2.202,2.08
2.208,2.09
2.210,2.08
2.218,2.08
2.222,2.08
2.228,2.08
2.230,2.09
2.238,2.08
2.241,2.08
2.248,2.09
2.251,2.08
2.258,2.03
2.260,1.88
2.268,2.08
2.269,2.08
2.277,2.09
2.280,2.08
2.287,2.08
2.292,2.08
2.293,2.08
2.301,2.08
2.301,2.08
2.312,2.08
2.318,2.08
2.323,2.08
2.328,2.08
2.332,2.08
2.335,2.08
2.342,2.08
2.345,0.86
2.351,0.86
2.358,0.87
2.360,0.86
2.368,0.86
2.368,0.87
2.377,1.83
2.379,0.86
2.388,0.87
2.392,0.87
2.393,0.86
2.401,0.87
2.405,0.86
2.413,0.87
2.418,2.08
2.418,2.08
2.418,2.08
2.418,2.08
2.434,2.08
2.434,2.06
2.434,2.08
2.451,2.08
2.451,2.08
2.451,2.08
2.468,2.05
2.468,2.08
2.468,2.08
2.468,2.08
2.484,2.08
2.484,2.08
2.484,2.08
2.501,2.08
2.501,2.08
2.501,2.08
2.518,2.08
2.518,2.06
2.518,2.07
2.518,2.08
2.534,2.08
2.534,2.08
2.547,2.07
2.551,2.07
2.557,2.08
2.561,2.08
2.567,2.07
2.568,2.08
2.577,0.86
2.579,0.86
2.585,0.86
2.585,0.86
2.598,0.86
2.601,0.86
2.607,0.87
2.610,0.87
2.617,0.86
2.618,0.87
2.618,0.87
2.632,1.95
2.634,2.08
2.642,2.08
2.647,2.09
2.651,2.08
2.657,2.04
2.660,2.08
2.667,2.08
2.668,2.08
2.678,2.08
2.679,2.09
2.684,2.08
2.689,2.08
2.697,2.08
2.702,2.08
2.707,2.08
2.711,2.08
2.718,2.08
2.718,2.08
2.727,2.09
2.729,2.07
2.734,1.82
2.742,2.08
2.745,2.08
2.751,2.08
2.751,2.08
2.762,2.07
2.767,2.08
2.771,2.08
2.776,2.09
2.782,2.08
2.784,2.08
2.791,2.08
2.793,2.09
2.801,2.08
2.801,1.49
2.812,0.86
2.814,0.87
2.822,0.86
2.826,0.87
2.831,0.87
2.834,0.86
2.842,2.05
2.844,0.86
2.851,0.87
2.851,0.86
2.861,0.87
2.864,0.87
2.868,0.86
2.877,2.06
2.882,0.87
2.884,0.87
2.892,0.86
2.895,0.87
2.901,0.87
2.907,0.87
2.910,2.08
2.917,2.09
2.922,2.07
2.927,2.08
2.932,2.08
2.937,2.08
2.942,2.08
2.947,2.08
2.952,2.08
2.956,2.09
2.960,2.08
2.967,2.08
2.968,2.08
2.976,2.08
2.981,2.08
2.987,2.08
2.992,1.99
