Elapsed Time (s),Value
0.000,2.08
0.000,1.93
0.000,2.08
0.018,2.08
0.020,2.09
0.029,2.09
0.030,2.08
0.036,2.08
0.036,2.09
0.049,2.08
0.053,2.08
0.059,2.08
0.061,2.09
0.068,2.08
0.070,2.08
0.079,2.08
0.081,2.08
0.088,2.08
0.091,2.08
0.099,2.09
0.103,2.08
0.109,2.08
0.111,0.84
0.119,0.84
0.120,0.84
0.120,0.84
0.134,0.85
0.138,0.85
0.143,0.85
0.149,0.85
0.153,0.84
0.159,0.84
0.161,0.85
0.168,0.85
0.170,0.85
0.179,0.85
0.182,0.94
0.188,0.84
0.190,0.85
0.198,0.85
0.203,0.85
0.208,0.85
0.214,0.85
0.218,1.87
0.223,1.89
0.227,2.08
0.233,1.79
0.236,2.08
0.243,2.09
0.246,2.09
0.253,2.08
0.256,2.09
0.264,2.09
0.269,2.09
0.274,2.08
0.277,2.09
0.283,2.09
0.286,2.08
0.294,2.04
0.296,2.09
0.303,2.08
0.305,2.09
0.313,2.08
0.315,2.09
0.324,2.01
0.328,2.08
0.333,2.09
0.336,2.08
0.336,0.84
0.348,0.84
0.353,0.84
0.358,0.84
0.361,0.84
0.368,2.08
0.369,2.09
0.378,2.09
0.381,2.09
0.388,2.06
0.390,2.09
0.398,2.09
0.403,2.08
0.408,2.09
0.411,2.09
0.418,2.09
0.419,2.09
0.428,2.08
0.430,2.09
0.438,2.06
0.440,2.09
0.448,2.09
0.453,2.08
0.458,2.09
0.460,2.09
0.468,2.08
0.469,2.08
0.469,2.09
0.483,2.08
0.486,2.08
0.493,2.08
0.495,2.09
0.503,2.08
0.504,2.09
0.504,2.09
0.518,2.08
0.519,2.09
0.519,2.09
0.533,2.02
0.536,2.08
0.543,2.08
0.545,2.07
0.553,2.08
0.555,2.09
0.563,2.09
0.565,2.09
0.573,0.96
0.576,0.85
0.583,0.85
0.587,0.85
0.592,0.85
0.594,0.85
0.603,0.85
0.603,2.09
0.603,0.85
0.603,0.85
0.623,0.85
0.627,0.85
0.632,0.85
0.638,0.85
0.638,2.08
0.638,0.85
0.652,0.85
0.657,0.85
0.662,0.85
0.668,0.85
0.669,0.85
0.677,2.09
0.682,2.08
0.687,2.08
0.693,2.08
0.697,2.08
0.703,2.08
0.703,2.08
0.713,2.09
0.717,2.08
0.720,2.08
0.720,2.08
0.732,2.08
0.738,2.02
0.738,2.08
0.748,2.09
0.753,2.08
0.754,2.08
0.762,2.09
0.767,2.09
0.772,2.08
0.776,2.07
0.783,2.09
0.786,2.08
0.793,2.09
0.796,2.08
0.802,0.94
0.803,0.84
0.813,0.84
0.815,0.84
0.822,0.85
0.828,0.86
0.832,2.09
0.836,2.08
0.843,2.09
0.845,2.08
0.852,2.08
0.855,2.07
0.862,2.08
0.864,2.08
0.872,2.09
0.877,2.09
0.881,2.08
0.887,2.08
0.889,2.09
0.897,2.09
0.900,2.08
0.907,2.08
0.910,2.09
0.917,2.08
0.919,2.08
0.919,2.08
0.919,2.08
0.936,2.08
0.936,2.08
0.936,2.08
0.952,2.05
0.953,2.02
0.953,2.08
0.953,2.08
0.969,2.08
0.969,2.08
0.969,2.08
0.986,2.07
0.986,2.08
0.986,2.08
1.002,2.08
1.002,2.08
1.002,2.08
1.002,2.08
1.019,2.08
1.019,2.08
1.019,2.08
1.036,0.84
1.042,0.84
1.047,0.84
1.051,0.87
1.052,0.84
1.052,0.84
1.067,2.08
1.069,0.84
1.076,0.84
1.078,2.08
1.087,0.84
1.089,0.84
1.097,2.01
1.102,0.84
1.107,0.85
1.110,0.84
1.116,0.85
1.119,2.07
1.126,0.84
1.129,0.84
1.136,0.84
1.136,2.08
1.147,2.08
1.149,2.08
1.153,2.08
1.161,2.07
1.167,2.08
1.169,2.08
1.176,2.08
1.181,2.08
1.186,2.08
1.189,2.08
1.197,2.08
1.199,2.08
1.202,2.08
1.211,2.08
1.215,2.08
1.222,2.08
1.224,2.08
1.232,2.01
1.236,2.05
1.241,2.08
1.246,2.08
1.252,2.08
1.256,2.08
1.261,2.06
1.266,0.84
1.269,0.85
1.276,0.84
1.279,0.84
1.286,0.84
1.292,0.84
1.296,2.08
1.301,0.85
1.306,0.86
1.311,2.08
1.316,2.08
1.319,2.08
1.326,2.08
1.328,2.08
1.336,2.08
1.336,2.08
1.346,2.03
1.352,2.09
1.353,2.08
1.353,2.08
1.353,2.08
1.370,2.04
1.376,2.08
1.381,2.08
1.386,2.08
1.391,2.08
1.394,2.08
1.400,2.08
1.402,2.08
1.411,2.08
1.416,2.08
1.420,2.08
1.420,2.08
1.431,2.08
1.436,2.08
1.442,2.08
1.446,2.08
1.451,2.08
1.456,2.08
1.461,2.08
1.466,2.08
1.472,2.08
1.476,2.08
1.481,1.97
1.486,2.08
1.491,2.08
1.496,0.84
1.501,0.84
1.506,0.84
1.511,2.08
1.513,2.09
1.519,2.08
1.519,2.08
1.531,2.08
1.536,2.08
1.541,2.08
1.546,2.09
1.551,2.08
1.556,2.08
1.561,2.08
1.566,2.09
1.571,2.08
1.573,2.08
1.580,2.08
1.586,2.01
1.591,2.08
1.594,2.09
1.601,2.08
1.602,2.08
1.611,2.09
1.612,2.09
1.620,2.08
1.622,2.08
1.630,2.09
1.636,2.08
1.640,2.08
1.643,2.09
1.650,2.08
1.652,2.08
1.660,2.09
1.662,2.08
1.671,2.08
1.676,2.02
1.679,2.08
1.686,2.08
1.687,2.08
1.687,2.08
1.701,2.09
1.703,2.08
1.703,2.08
1.716,2.09
1.720,2.08
1.720,0.98
1.730,0.85
1.736,0.85
1.741,0.85
1.744,0.85
1.750,0.85
1.753,0.85
1.761,2.08
1.763,0.85
1.769,0.85
1.772,0.85
1.781,0.85
1.785,0.85
1.790,0.85
1.794,2.08
1.801,0.85
1.802,0.85
1.811,0.85
1.812,0.85
1.820,0.85
1.822,0.85
1.830,2.05
1.832,2.08
1.841,2.09
1.843,2.08
1.850,2.08
1.853,2.08
1.861,2.09
1.863,2.09
1.871,2.08
1.873,2.09
1.880,2.09
1.886,1.96
1.891,2.08
1.894,2.08
1.901,2.05
1.903,2.06
1.911,2.09
1.913,2.09
1.920,1.99
1.920,2.08
1.931,2.09
1.933,2.08
1.941,2.09
1.944,2.09
1.950,2.08
1.953,2.02
1.961,0.84
1.962,0.84
1.969,0.84
1.969,0.85
1.980,0.85
1.985,2.04
1.990,2.03
1.993,2.09
2.000,2.08
2.002,2.08
2.010,2.06
2.013,2.09
2.019,2.08
2.022,2.09
2.030,2.08
2.035,2.08
2.040,2.09
2.044,2.08
2.050,2.08
2.052,2.08
2.060,2.09
2.062,2.09
2.070,2.07
2.072,2.08
2.080,2.09
2.085,2.08
2.090,2.09
2.093,1.97
2.100,2.09
2.102,1.79
2.110,2.09
2.112,2.05
2.120,2.08
2.123,2.08
2.129,2.08
2.133,2.08
2.140,2.09
2.144,2.08
2.150,2.09
2.152,2.08
2.160,2.08
2.162,2.09
2.170,2.08
2.172,2.08
2.180,2.09
2.182,2.08
2.189,0.84
2.193,0.84
2.200,0.84
2.202,0.84
2.210,0.84
2.213,0.84
2.220,2.08
2.222,0.85
2.230,0.84
2.235,0.84
2.240,0.84
2.243,0.84
2.250,0.84
2.252,0.84
2.260,0.84
2.261,0.84
2.269,0.85
2.272,0.85
2.280,0.85
2.285,0.85
2.290,0.86
2.293,2.08
2.299,2.08
2.302,2.08
2.309,2.08
2.311,2.08
2.320,2.08
2.322,1.72
2.330,2.09
2.335,2.09
2.340,2.09
2.343,2.09
2.349,2.08
2.352,2.08
2.359,2.08
2.361,2.09
2.369,2.08
2.371,2.08
2.379,2.09
2.385,2.07
2.390,2.08
2.394,2.08
2.399,2.09
2.402,2.08
2.410,2.08
2.411,2.03
2.419,0.84
2.422,0.85
2.430,0.84
2.435,0.85
2.440,1.32
2.443,0.85
2.449,2.07
2.452,2.08
2.460,2.09
2.462,2.09
2.469,2.08
2.471,2.08
2.479,2.09
2.485,2.09
2.490,2.08
2.492,2.09
2.499,2.09
2.502,2.08
2.510,2.09
2.511,2.09
2.519,2.08
2.521,2.09
2.530,2.09
2.531,2.09
2.539,2.04
2.542,2.09
2.549,2.09
2.552,2.08
2.559,2.08
2.561,2.08
2.569,2.08
2.571,2.08
2.578,2.08
2.580,2.08
2.589,2.07
2.593,2.08
2.599,2.08
2.602,2.08
2.608,2.08
2.611,2.08
2.619,2.08
2.623,2.03
2.629,2.09
2.631,2.09
2.639,2.08
2.642,2.09
2.649,0.85
2.652,0.84
2.659,0.84
2.661,0.84
2.669,0.84
2.671,0.84
2.679,0.84
2.681,1.03
2.689,0.84
2.692,0.84
2.699,0.84
2.702,0.84
2.709,0.84
2.713,1.67
2.718,2.08
2.721,0.84
2.729,0.84
2.731,0.84
2.738,0.84
2.742,0.84
2.749,0.84
2.752,2.08
2.759,2.09
2.761,2.09
2.768,2.08
2.769,2.08
2.779,2.09
2.780,2.08
2.789,2.05
2.792,2.09
2.799,2.09
2.802,2.08
2.808,2.04
2.810,2.07
2.819,2.08
2.821,2.09
2.829,2.09
2.831,2.06
2.839,2.08
2.842,2.08
2.849,2.09
2.852,2.08
2.859,2.08
2.861,2.09
2.869,2.06
2.869,2.09
2.878,0.85
2.880,0.85
2.889,0.85
2.893,0.85
2.899,1.35
2.902,2.08
2.909,2.09
2.911,2.08
2.919,2.08
2.921,2.09
2.929,2.08
2.931,2.09
2.938,2.09
2.942,2.08
2.949,2.09
2.952,2.08
2.959,2.09
2.961,2.07
2.968,2.08
2.971,2.09
2.979,2.09
2.981,2.09
2.988,2.09
2.993,2.08
2.999,2.09
3.002,2.08
3.009,2.09
3.011,2.09
3.018,2.08
3.019,2.08
3.028,2.09
3.031,2.09
3.038,2.08
3.042,2.0
3.042,2.08
3.052,2.08
3.055,2.09
3.064,2.09
3.068,2.08
3.073,2.09
3.076,2.09
3.083,2.08
3.085,2.09
3.093,2.09
3.095,2.09
3.103,2.08
3.105,2.09
3.114,0.84
3.118,0.84
3.119,0.84
3.119,0.84
3.119,0.85
3.135,0.84
3.135,2.03
3.135,0.84
3.152,0.84
3.152,0.84
3.152,0.84
3.168,0.85
3.168,0.85
3.168,0.85
3.168,0.84
3.185,0.85
3.185,0.84
3.185,0.84
3.202,0.85
3.202,0.84
3.202,1.33
3.217,2.08
3.219,2.08
3.219,2.08
3.219,2.08
3.235,2.08
3.243,2.08
3.246,2.08
3.253,2.08
3.256,2.09
3.263,2.09
3.268,2.08
3.273,2.09
3.275,2.08
3.283,2.08
3.285,2.08
3.293,2.08
3.295,2.08
3.303,2.08
3.308,2.08
3.310,2.07
3.318,2.09
3.319,2.09
3.319,2.08
3.333,2.08
3.336,2.08
3.343,0.84
3.344,0.84
3.352,0.84
3.355,0.84
3.363,0.84
3.368,2.05
3.372,1.76
3.376,2.08
3.383,2.08
3.386,2.08
3.392,2.09
3.394,2.08
3.402,2.08
3.405,2.09
3.412,2.08
3.418,2.08
3.423,2.08
3.427,2.08
3.433,2.09
3.436,2.08
3.443,2.09
3.445,2.09
3.453,2.08
3.455,2.09
3.462,2.08
3.468,2.09
3.473,2.07
3.476,2.09
3.482,2.08
3.485,2.08
3.493,2.09
3.494,2.09
3.503,2.08
3.504,2.08
3.512,2.08
3.518,2.09
3.523,2.08
3.526,2.08
3.532,2.09
3.536,2.08
3.543,2.09
3.545,2.08
3.552,2.08
3.555,2.09
3.563,2.09
3.568,2.09
3.572,0.85
3.575,0.85
3.582,0.84
3.585,0.84
3.593,0.85
3.595,0.85
3.602,0.85
3.606,0.93
3.612,0.85
3.614,0.85
3.622,0.85
3.626,0.85
3.632,0.85
3.635,0.85
3.641,2.09
3.644,0.85
3.652,0.85
3.653,0.85
3.661,0.85
3.664,0.85
3.672,0.87
3.676,2.03
3.682,1.72
3.685,2.08
3.692,2.08
3.697,2.09
3.702,2.08
3.707,2.08
3.712,2.09
3.715,2.08
3.722,2.08
3.725,2.09
3.732,2.09
3.736,2.08
3.742,2.08
3.746,2.08
3.752,2.08
3.757,2.09
3.762,2.09
3.767,2.08
3.772,2.08
3.776,2.08
3.782,1.95
3.785,2.08
3.792,2.08
3.797,2.08
3.802,0.84
3.807,0.84
3.812,0.84
3.817,0.84
3.822,0.84
3.827,1.88
3.831,2.09
3.837,2.05
3.841,2.08
3.843,2.09
3.852,2.08
3.854,2.08
3.862,2.08
3.863,2.09
3.871,2.08
3.873,2.08
3.873,2.09
3.887,1.98
3.889,2.09
3.897,2.09
3.901,2.08
3.907,2.09
3.909,2.08
