Elapsed Time (s),Value
0.000,2.09
0.000,2.09
0.000,2.08
0.000,2.08
0.000,2.08
0.000,2.08
0.000,2.03
0.000,2.08
0.000,2.08
0.000,2.09
0.000,2.08
0.009,2.08
0.010,2.09
0.010,2.09
0.011,2.09
0.011,1.13
0.012,1.13
0.012,1.13
0.013,1.13
0.013,1.13
0.014,1.13
0.015,2.05
0.020,1.13
0.025,1.13
0.026,1.13
0.035,1.13
0.037,1.13
0.045,1.13
0.048,1.13
0.054,2.08
0.059,2.08
0.065,2.09
0.068,2.08
0.075,2.08
0.076,2.09
0.085,2.08
0.087,2.09
0.095,2.08
0.099,2.08
0.105,2.08
0.109,2.08
0.115,2.07
0.117,2.08
0.124,2.08
0.127,2.09
0.135,2.08
0.140,2.09
0.145,2.08
0.150,2.08
0.155,2.08
0.159,2.08
0.165,2.08
0.170,2.08
0.175,2.08
0.179,2.08
0.184,2.09
0.189,2.08
0.194,2.08
0.198,2.09
0.205,2.08
0.209,2.08
0.214,1.13
0.219,1.13
0.225,1.13
0.229,2.07
0.235,2.08
0.240,2.08
0.245,2.09
0.250,2.08
0.255,2.08
0.260,2.08
0.264,2.08
0.270,2.06
0.275,2.08
0.277,2.08
0.284,2.08
0.286,2.08
0.294,2.08
0.299,2.08
0.303,2.08
0.309,2.08
0.312,2.09
0.320,2.09
0.325,2.08
0.329,2.07
0.334,2.08
0.339,2.08
0.344,2.08
0.350,2.08
0.354,2.08
0.359,2.08
0.365,2.07
0.367,2.09
0.375,2.08
0.378,2.08
0.384,2.08
0.387,2.04
0.394,2.08
0.399,2.08
0.404,2.01
0.409,1.98
0.414,2.08
0.417,2.09
0.424,2.08
0.428,2.08
0.434,2.09
0.437,2.08
0.444,1.2
0.449,1.13
0.454,1.13
0.459,1.13
0.464,1.13
0.469,1.13
0.474,1.13
0.478,2.08
0.484,1.13
0.486,1.13
0.494,1.13
0.498,1.13
0.503,1.13
0.509,1.13
0.514,2.08
0.518,1.13
0.524,1.13
0.527,1.13
0.533,1.13
0.536,1.13
0.544,1.13
0.546,2.08
0.553,2.09
0.559,2.08
0.564,2.09
0.565,2.05
0.574,2.08
0.578,2.08
0.581,2.09
0.589,2.09
0.593,2.08
0.597,2.08
0.601,2.09
0.609,2.08
0.614,2.08
0.619,2.08
0.624,2.08
0.629,2.08
0.634,2.08
0.639,2.08
0.644,2.08
0.649,2.08
0.654,2.09
0.659,2.08
0.664,2.08
0.669,2.08
0.674,2.08
0.675,1.13
0.683,1.13
0.687,1.13
0.691,1.13
0.691,1.13
0.704,2.04
0.708,2.08
0.708,2.08
0.718,2.09
0.720,2.08
0.725,2.08
0.733,2.09
0.737,2.09
0.742,2.08
0.742,2.08
0.742,2.07
0.758,2.08
0.758,2.08
0.768,2.08
0.773,2.08
0.775,2.08
0.784,2.06
0.788,2.09
0.792,2.08
0.798,2.08
0.800,2.05
0.807,2.08
0.807,2.08
0.807,2.08
0.823,2.08
0.825,2.08
0.825,2.08
0.825,2.08
0.841,2.08
0.841,2.08
0.841,2.08
0.857,2.08
0.857,2.08
0.857,2.08
0.873,2.08
0.874,2.08
0.874,2.08
0.874,2.08
0.891,2.08
0.891,2.08
0.891,2.08
0.908,1.13
0.908,1.13
0.908,1.13
0.923,1.13
0.924,1.13
0.924,1.13
0.924,2.08
0.941,1.13
0.941,1.13
0.953,1.13
0.958,1.13
0.958,1.13
0.968,1.13
0.973,1.13
0.975,1.13
0.975,1.13
0.975,1.13
0.993,1.13
0.996,1.13
1.004,1.13
1.008,1.12
1.008,2.08
1.018,2.08
1.023,2.08
1.025,2.08
1.033,2.08
1.037,2.08
1.042,2.08
1.042,2.08
1.053,2.09
1.058,2.08
1.058,2.08
1.068,2.07
1.073,2.09
1.075,2.08
1.083,2.08
1.086,2.09
1.091,2.08
1.098,2.09
1.102,2.09
1.108,2.08
1.108,1.98
1.118,2.07
1.122,2.07
1.124,2.08
1.132,2.08
1.134,1.13
