Elapsed Time (s),Value
0.000,1.52
0.001,1.52
0.002,1.52
0.002,1.52
0.002,1.52
0.003,1.52
0.004,1.52
0.004,1.53
0.005,1.52
0.005,1.52
0.006,1.52
0.006,1.52
0.007,1.53
0.007,1.52
0.007,1.53
0.008,1.52
0.008,1.53
0.009,1.53
0.009,1.53
0.010,1.52
0.010,1.52
0.010,1.53
0.011,1.52
0.011,1.52
0.013,1.53
0.013,1.52
0.014,1.53
0.015,1.52
0.015,1.53
0.016,1.53
0.016,1.53
0.017,1.52
0.018,1.53
0.018,1.52
0.019,1.53
0.020,1.52
0.020,1.53
0.022,1.53
0.023,1.53
0.023,1.53
0.024,1.53
0.024,1.53
0.025,1.53
0.025,1.53
0.026,1.53
0.027,1.53
0.027,1.53
0.028,1.53
0.028,1.53
0.029,1.53
0.029,1.53
0.030,1.53
0.031,1.53
0.031,1.53
0.031,1.53
0.032,1.53
0.032,1.53
0.033,1.53
0.033,1.52
0.034,1.53
0.035,1.52
0.035,1.53
0.036,1.52
0.038,1.52
0.038,1.52
0.039,1.52
0.039,1.52
0.040,1.52
0.041,1.52
0.041,1.52
0.041,1.52
0.046,1.52
0.049,1.52
0.056,1.52
0.058,1.52
0.066,1.52
0.071,1.52
0.076,1.52
0.078,1.52
0.086,1.52
0.088,1.52
0.096,1.52
0.098,1.52
0.105,1.52
0.111,1.52
0.116,1.52
0.120,1.52
0.126,1.52
0.128,1.52
0.136,1.52
0.139,1.52
0.146,1.52
0.148,1.52
0.156,1.52
0.158,1.52
0.166,1.52
0.170,1.52
0.175,1.52
0.181,1.52
0.183,1.52
0.190,1.52
0.193,1.52
0.201,1.52
0.205,1.52
0.211,1.52
0.213,1.52
0.221,1.52
0.222,1.52
0.231,1.52
0.236,1.52
0.240,1.52
0.243,1.52
0.251,1.52
0.255,1.52
0.261,1.52
0.263,1.52
0.270,1.52
0.273,1.52
0.281,1.52
0.286,1.52
0.290,1.52
0.293,1.52
0.301,1.52
0.306,1.52
0.311,1.52
0.313,1.52
0.320,1.52
0.323,1.52
0.331,1.52
0.336,1.52
0.340,1.52
0.344,1.52
0.351,1.52
0.355,1.52
0.361,1.53
0.363,1.52
0.370,1.52
0.373,1.53
0.381,1.52
0.386,1.53
0.391,1.52
0.394,1.53
0.401,1.52
0.405,1.53
0.411,1.52
0.413,1.53
0.420,1.52
0.422,1.53
0.431,1.53
0.436,1.53
0.441,1.53
0.443,1.53
0.451,1.53
0.455,1.53
0.460,1.53
0.464,1.53
0.470,1.53
0.473,1.53
0.481,1.53
0.482,1.53
0.490,1.53
0.494,1.53
0.500,1.53
0.505,1.53
0.511,1.53
0.513,1.53
0.520,1.53
0.522,1.53
0.531,1.53
0.536,1.53
0.540,1.53
0.543,1.53
0.550,1.53
0.555,1.53
0.560,1.53
0.564,1.53
0.570,1.53
0.572,1.53
0.580,1.53
0.586,1.53
0.590,1.53
0.594,1.53
0.599,1.53
0.605,1.53
0.609,1.53
0.609,1.53
0.620,1.53
0.625,1.53
0.630,1.53
0.635,1.53
0.640,1.53
0.642,1.53
0.642,1.53
0.655,1.53
0.659,1.53
0.662,1.53
0.670,1.53
0.671,1.53
0.680,1.53
0.683,1.53
0.686,1.53
0.695,1.53
0.698,1.53
0.704,1.53
0.704,1.53
0.714,1.53
0.720,1.53
0.720,1.53
0.730,1.53
0.735,1.53
0.737,1.53
0.745,1.53
0.749,1.53
0.754,1.53
0.754,1.53
0.765,1.53
0.771,1.53
0.776,1.53
0.778,1.53
0.778,1.53
0.790,1.53
0.794,1.53
0.799,1.53
0.803,1.53
0.810,1.53
0.812,1.53
0.820,1.53
0.820,1.53
0.830,1.53
0.832,1.53
0.840,1.53
0.844,1.53
0.849,1.53
0.853,1.53
0.860,1.53
0.862,1.53
0.869,1.53
0.872,1.53
0.880,1.53
0.881,1.53
0.890,1.53
0.894,1.53
0.900,1.53
0.903,1.53
0.909,1.53
0.911,1.53
0.920,1.53
0.924,1.53
0.928,1.53
0.935,1.53
0.937,1.53
0.945,1.53
0.947,1.53
0.954,1.53
0.957,1.53
0.965,1.53
0.970,1.53
0.974,1.53
0.977,1.53
0.984,1.53
0.986,1.53
0.995,1.53
0.996,1.53
1.003,1.53
1.006,1.53
1.015,1.53
1.019,1.53
1.025,1.53
1.027,1.53
1.027,1.53
1.040,1.53
1.043,1.53
1.049,1.53
1.053,1.53
1.060,1.53
1.062,1.53
1.069,1.53
1.072,1.53
1.080,1.53
1.081,1.53
1.089,1.53
1.093,1.53
1.099,1.52
1.103,1.53
1.109,1.52
1.114,1.53
1.119,1.52
1.120,1.52
1.120,1.52
1.134,1.52
1.136,1.52
1.143,1.52
1.146,1.52
1.153,1.52
1.159,1.52
1.164,1.52
1.169,1.52
1.170,1.52
1.170,1.52
1.183,1.52
1.186,1.52
1.194,1.52
1.197,1.52
1.203,1.52
1.209,1.52
1.213,1.52
1.219,1.52
1.220,1.52
1.228,1.52
1.231,1.52
1.236,1.52
1.244,1.52
1.249,1.52
1.253,1.52
1.258,1.53
1.262,1.52
1.269,1.53
1.270,1.52
1.278,1.53
1.281,1.52
1.289,1.53
1.292,1.52
1.299,1.53
1.303,1.52
1.309,1.53
1.313,1.53
1.319,1.53
1.320,1.53
1.329,1.53
1.330,1.52
1.336,1.53
1.336,1.52
1.348,1.53
1.353,1.53
1.358,1.53
1.361,1.53
1.369,1.53
1.370,1.53
1.370,1.53
1.384,1.53
1.386,1.53
1.393,1.53
1.395,1.53
1.403,1.53
1.403,1.53
1.414,1.53
1.419,1.53
1.420,1.53
1.429,1.53
1.432,1.53
1.439,1.53
1.440,1.53
1.440,1.53
1.453,1.53
1.453,1.53
1.453,1.53
1.466,1.53
1.474,1.53
1.479,1.53
1.483,1.53
1.486,1.53
1.486,1.53
1.498,1.53
1.503,1.53
1.508,1.53
1.510,1.53
1.510,1.53
1.523,1.53
1.527,1.53
1.533,1.53
1.536,1.53
1.543,1.53
1.546,1.53
1.553,1.53
1.559,1.53
1.564,1.53
1.568,1.53
1.569,1.53
1.569,1.53
1.583,1.53
1.586,1.53
1.593,1.53
1.596,1.53
1.603,1.53
1.603,1.53
1.614,1.53
1.619,1.53
1.624,1.53
1.629,1.53
1.633,1.53
1.637,1.53
1.644,1.53
1.646,1.53
1.654,1.53
1.658,1.53
1.662,1.53
1.668,1.53
1.671,1.53
1.671,1.53
1.683,1.53
1.686,1.53
1.693,1.53
1.696,1.53
1.703,1.53
1.706,1.53
1.713,1.53
1.719,1.53
1.720,1.53
1.728,1.53
1.733,1.53
1.737,1.53
1.741,1.53
1.748,1.53
1.753,1.53
1.758,1.53
1.761,1.53
1.768,1.53
1.769,1.53
1.778,1.53
1.780,1.53
1.788,1.53
1.793,1.53
1.796,1.53
1.803,1.53
1.803,1.53
1.813,1.53
1.816,1.53
1.823,1.53
1.827,1.53
1.833,1.53
1.836,1.53
1.843,1.53
1.846,1.53
1.854,1.53
1.854,1.53
1.863,1.53
1.865,1.53
1.870,1.53
1.878,1.53
1.883,1.53
1.886,1.53
1.893,1.53
1.895,1.53
1.903,1.53
1.904,1.53
1.913,1.53
1.915,1.53
1.923,1.53
1.927,1.53
1.933,1.53
1.936,1.53
