Elapsed Time (s),Value
0.000,5.0
0.000,2.05
0.000,1.25
0.016,1.25
0.020,2.04
0.025,1.25
0.033,1.25
0.034,1.25
0.041,2.05
0.049,1.25
0.050,1.25
0.055,1.25
0.063,2.05
0.068,2.05
0.070,2.04
0.078,2.05
0.082,2.05
0.082,2.05
0.092,2.05
0.098,1.64
0.098,2.05
0.106,2.05
0.112,2.05
0.114,2.05
0.120,2.05
0.128,2.05
0.132,2.05
0.132,2.05
0.141,2.05
0.148,2.05
0.148,2.06
0.156,2.06
0.164,2.05
0.165,2.06
0.174,2.05
0.176,2.05
0.181,2.06
0.185,1.25
0.193,1.26
0.198,1.25
0.198,1.25
0.206,1.25
0.214,1.26
0.215,1.25
0.224,1.25
0.225,1.25
0.231,1.25
0.235,2.03
0.243,2.06
0.248,2.05
0.248,2.05
0.256,2.05
0.256,2.05
0.265,2.06
0.271,2.05
0.271,2.06
0.284,2.05
0.285,2.05
0.294,2.06
0.298,2.05
0.298,2.05
0.306,2.05
0.314,2.05
0.315,2.06
0.324,2.05
0.326,2.06
0.332,2.01
0.335,2.05
0.344,2.06
0.348,2.06
0.348,2.05
0.356,2.05
0.364,2.05
0.365,2.05
0.371,2.05
0.371,2.05
0.382,2.05
0.385,2.05
0.394,2.05
0.398,2.05
0.398,2.06
0.409,2.04
0.409,2.05
0.416,1.25
0.416,1.25
0.425,1.25
0.433,2.05
0.435,2.05
0.441,2.05
0.448,2.05
0.454,2.05
0.457,2.05
0.461,2.05
0.468,2.05
0.470,2.05
0.478,2.05
0.483,2.05
0.484,2.05
0.491,2.05
0.491,2.05
0.500,2.05
0.509,2.02
0.509,2.05
0.516,2.05
0.516,2.05
0.526,2.05
0.532,2.05
0.536,2.06
0.536,2.05
0.549,2.03
0.550,2.06
0.556,2.05
0.556,2.05
0.569,1.78
0.569,2.05
0.576,2.05
0.582,2.05
0.586,2.01
0.586,2.05
0.595,2.06
0.603,2.05
0.603,2.05
0.611,2.05
0.611,2.06
0.619,2.04
0.627,2.05
0.627,2.06
0.635,2.04
0.644,2.05
0.644,1.26
0.652,1.26
0.652,1.26
0.664,1.26
0.664,1.26
0.678,1.26
0.678,1.26
0.678,1.29
0.678,1.26
0.694,1.26
0.695,1.26
0.695,1.26
0.695,1.26
0.712,1.26
0.712,2.05
0.712,1.26
0.728,1.26
0.728,1.26
0.728,1.26
0.728,1.26
0.745,1.26
0.745,1.88
0.745,2.05
0.762,2.04
0.762,2.05
0.773,2.05
0.778,2.05
0.778,2.0
0.795,2.05
0.795,2.04
0.795,2.05
0.795,2.04
0.795,2.05
0.813,2.05
0.813,2.05
0.820,2.05
0.828,2.05
0.831,2.05
0.831,2.05
0.840,2.05
0.845,2.05
0.849,2.05
0.857,2.05
0.862,2.05
0.862,1.67
0.870,2.05
0.879,1.26
0.879,1.24
0.879,1.24
0.890,1.23
0.895,1.23
0.900,1.23
0.908,1.24
0.912,1.24
0.914,1.22
0.920,2.05
0.928,2.04
0.932,2.06
0.932,2.05
0.941,2.05
0.945,2.05
0.950,2.05
0.958,2.04
0.963,2.05
0.963,2.05
0.973,2.05
0.973,2.05
0.982,1.74
0.982,2.06
0.991,2.04
0.995,2.01
0.999,2.06
1.008,2.05
1.013,2.05
1.013,1.93
1.020,2.05
1.020,2.05
1.032,2.06
1.032,2.05
1.040,2.05
1.045,2.05
1.050,2.05
1.058,2.04
1.063,2.05
1.066,2.06
1.066,2.06
1.075,2.05
1.079,2.05
1.079,2.06
1.090,2.05
1.098,2.05
1.100,2.06
1.105,1.85
1.111,1.25
1.118,1.25
1.118,1.25
1.128,1.25
1.128,1.25
1.128,1.26
1.140,2.05
1.145,1.25
1.152,1.25
1.152,1.25
1.169,1.25
1.169,1.25
1.169,1.25
1.178,2.05
1.179,1.25
1.184,1.25
1.190,1.25
1.195,1.25
1.195,1.25
1.206,1.25
1.212,2.05
1.217,2.06
1.217,2.06
1.229,2.05
1.233,1.99
1.233,2.06
1.240,2.05
1.245,2.05
1.250,2.05
1.258,2.05
1.261,2.05
1.265,2.05
1.265,1.86
1.274,2.05
1.278,2.05
1.278,2.05
1.289,2.05
1.295,2.05
1.295,2.06
1.307,2.06
1.311,2.05
1.311,2.06
1.311,2.06
1.328,2.04
1.331,2.05
1.331,2.06
1.339,1.25
1.347,1.25
1.347,1.25
1.355,1.25
1.361,1.25
1.366,1.25
1.366,2.06
1.374,1.25
1.383,1.92
1.384,1.54
1.390,2.05
1.395,2.05
1.400,2.06
1.400,2.05
1.412,2.05
1.412,2.06
1.421,2.06
1.428,2.04
1.429,2.05
1.434,2.06
1.440,2.05
1.445,2.05
1.451,2.06
1.451,2.06
1.462,2.04
1.464,2.01
1.472,2.05
1.474,2.05
1.479,2.05
1.484,2.05
1.490,2.05
1.495,2.05
1.500,2.05
1.508,2.06
1.512,2.05
1.514,2.06
1.520,1.51
1.528,2.05
1.532,2.05
1.532,2.06
1.541,2.05
1.545,2.05
1.550,2.06
1.558,2.05
1.562,2.05
1.564,2.06
1.564,1.25
1.575,1.25
1.583,1.25
1.584,1.25
1.590,1.25
1.598,1.25
1.598,1.85
1.606,1.25
1.606,1.25
1.614,1.25
1.622,1.25
1.622,1.25
1.630,1.25
1.635,2.02
1.640,1.25
1.645,1.25
1.652,1.25
1.652,1.25
1.662,1.25
1.667,1.25
1.667,1.82
1.675,2.05
1.679,1.98
1.685,2.06
1.693,2.05
1.697,2.04
1.697,2.05
1.705,2.05
1.712,2.05
1.712,2.05
1.720,2.05
1.724,2.05
1.728,2.04
1.728,2.05
1.740,2.05
1.745,2.04
1.751,2.05
1.751,2.06
1.762,2.04
1.764,2.05
1.770,2.05
1.774,2.04
1.778,2.05
1.778,2.05
1.789,2.06
1.795,2.04
1.800,1.26
1.808,1.26
1.812,1.26
1.816,1.26
