Elapsed Time (s),Value
0.000,1.67
0.016,2.05
0.020,2.05
0.025,1.68
0.030,2.04
0.038,2.02
0.039,1.76
0.047,1.92
0.053,2.05
0.057,2.05
0.057,1.64
0.065,2.05
0.073,2.05
0.075,1.76
0.083,2.03
0.083,2.05
0.090,1.95
0.096,1.88
0.101,2.05
0.101,2.05
0.112,1.72
0.112,2.05
0.120,2.05
0.128,1.71
0.130,2.03
0.134,2.05
0.142,1.81
0.145,1.75
0.150,2.05
0.158,2.05
0.162,1.63
0.168,2.05
0.169,2.05
0.177,1.82
0.183,2.01
0.183,2.05
0.190,1.85
0.196,1.66
0.199,2.05
0.207,2.05
0.212,1.63
0.212,2.05
0.220,2.05
0.226,1.69
0.233,1.99
0.234,2.05
0.242,1.93
0.246,2.02
0.249,2.05
0.255,1.97
0.262,1.83
0.265,2.04
0.273,2.05
0.274,1.7
0.283,2.03
0.286,2.05
0.286,2.05
0.296,2.03
0.296,2.05
0.305,2.05
0.313,2.03
0.317,2.04
0.317,2.05
0.325,1.75
0.331,2.05
0.331,2.05
0.339,2.05
0.346,1.68
0.350,2.05
0.350,2.05
0.359,1.82
0.364,2.01
0.369,1.58
0.377,1.83
0.383,1.79
0.383,2.05
0.389,2.05
0.397,1.68
0.397,2.05
0.406,2.05
0.412,1.74
0.415,2.01
0.423,2.05
0.424,1.82
0.431,1.65
0.434,2.05
0.442,2.05
0.446,1.76
0.449,2.05
0.454,2.06
0.463,1.93
0.463,2.0
0.469,2.05
0.477,1.92
0.480,1.73
0.480,1.77
0.489,2.05
0.495,1.71
0.499,2.05
0.507,2.05
0.513,1.75
0.515,1.95
0.520,2.05
0.528,2.05
0.530,1.63
0.538,2.05
0.539,2.05
0.545,1.81
0.545,2.04
0.554,2.04
0.562,1.74
0.562,1.89
0.570,2.06
0.578,2.05
0.579,1.63
0.584,2.05
0.592,2.05
0.596,1.68
0.596,2.03
0.608,2.05
0.611,1.74
0.617,2.04
0.617,2.05
0.625,2.05
0.625,1.83
0.633,2.04
0.642,2.05
0.642,1.67
0.649,2.05
0.649,2.05
0.659,1.8
0.667,2.04
0.671,2.05
0.676,2.05
0.676,2.04
0.676,2.05
0.693,2.05
0.693,1.7
0.700,2.05
0.700,2.05
0.709,1.91
0.716,1.69
0.716,2.05
0.726,2.05
0.726,1.82
0.734,2.04
0.742,2.05
0.744,1.8
0.750,1.97
0.754,2.05
0.759,2.0
0.766,1.69
0.766,2.05
0.776,1.99
0.776,1.73
0.785,2.04
0.785,2.05
0.797,1.73
0.797,1.9
0.805,2.05
0.809,2.05
0.815,1.76
0.823,2.05
0.827,2.05
0.828,1.96
0.835,2.03
0.835,2.05
0.847,1.8
0.847,1.87
0.854,2.05
0.859,2.05
0.865,1.7
0.873,2.05
0.878,2.05
0.878,1.73
0.885,2.02
0.885,1.63
0.896,2.03
0.896,1.7
0.904,2.06
0.910,2.05
0.914,1.81
0.922,2.05
0.927,2.05
0.927,1.7
0.935,2.0
0.943,2.05
0.945,2.04
0.945,1.63
0.954,2.05
0.959,2.05
0.964,1.67
0.972,2.05
0.976,2.05
0.978,1.67
0.985,2.05
0.985,2.06
0.996,1.95
0.996,1.84
1.005,1.57
1.009,2.05
1.014,1.67
1.022,2.05
1.026,2.03
1.026,1.71
1.026,2.05
1.043,2.05
1.059,2.05
1.059,2.03
1.059,2.05
1.059,2.06
1.059,1.69
1.059,2.05
1.076,2.05
1.076,1.8
1.076,1.88
1.092,2.05
1.092,2.05
1.092,1.81
1.092,2.05
1.109,2.05
1.109,1.78
1.109,2.02
1.126,2.05
1.143,1.79
1.143,1.78
1.143,2.05
1.143,2.05
1.152,1.71
1.153,2.05
1.159,2.05
1.165,1.68
1.165,2.01
1.177,2.05
1.177,1.82
1.187,1.76
1.192,2.05
1.194,2.05
1.198,1.92
1.206,2.05
1.211,2.05
1.211,1.73
1.220,2.0
1.226,2.05
1.231,2.02
1.233,1.72
1.242,2.05
1.242,2.05
1.242,1.72
1.253,2.04
1.260,2.05
1.264,1.9
1.272,1.93
1.276,2.05
1.276,2.05
1.283,1.84
1.289,2.05
1.296,1.93
1.296,1.68
1.303,2.03
1.309,2.05
1.316,1.92
1.316,1.87
1.327,2.05
1.332,2.05
1.332,1.7
1.342,2.05
1.342,2.06
1.349,1.67
1.353,2.04
1.359,2.06
1.364,1.79
1.372,1.98
1.376,2.05
1.381,2.05
1.381,1.68
1.392,2.05
1.392,2.05
1.392,1.7
1.403,2.05
1.409,1.49
1.417,1.81
1.422,2.0
1.426,2.05
1.426,2.06
1.426,1.72
1.440,2.05
1.443,2.05
1.452,1.74
1.453,2.0
1.462,2.05
1.462,1.92
1.471,1.78
1.476,2.05
1.480,2.06
1.480,1.78
1.492,2.04
1.492,2.06
1.492,1.71
1.504,1.97
1.509,2.01
1.514,2.0
1.514,1.7
1.526,1.67
1.527,2.05
1.534,1.69
1.539,2.04
1.543,2.05
1.543,1.74
1.554,1.94
1.559,2.05
1.567,2.05
1.572,1.94
1.577,2.05
1.582,2.06
1.587,1.72
1.592,2.04
1.597,2.06
1.602,1.95
1.607,1.87
1.613,2.05
1.617,2.05
1.622,1.7
1.627,2.05
1.632,2.06
1.637,1.97
1.642,2.02
1.647,2.05
1.652,2.04
1.657,1.87
1.661,2.05
1.666,2.05
1.671,1.73
1.677,2.05
1.682,2.04
1.687,2.02
1.692,2.0
1.697,2.05
1.702,1.87
1.707,1.68
1.709,2.05
1.715,2.06
1.715,1.68
1.727,2.05
1.727,2.06
1.736,1.71
1.736,2.01
1.742,2.06
1.749,1.96
1.753,1.68
1.762,2.05
1.762,2.06
1.771,1.68
1.776,2.05
1.776,2.06
1.784,1.7
1.789,2.04
1.793,2.05
1.793,2.05
1.804,1.68
1.809,2.05
1.815,1.94
1.815,1.74
1.826,2.03
1.828,2.06
1.835,1.79
1.842,1.93
1.843,2.06
1.849,2.05
1.857,1.78
1.861,2.05
1.865,2.05
1.865,1.67
1.876,2.03
1.881,2.05
1.881,1.74
1.890,1.81
1.893,2.05
1.893,2.06
1.904,1.7
1.909,2.05
1.915,2.05
1.915,1.67
1.926,2.02
1.928,1.54
1.936,1.8
1.938,1.96
1.947,2.05
1.948,2.06
1.954,1.74
1.959,2.04
1.965,2.06
1.965,1.97
1.976,2.0
1.981,2.06
1.981,1.99
1.989,1.73
1.993,2.01
2.000,2.05
2.004,2.01
2.009,2.04
2.014,2.05
2.014,1.98
2.026,2.01
2.026,2.05
2.026,2.05
2.039,1.69
2.046,1.6
2.046,2.05
2.054,1.93
2.059,2.03
2.063,2.05
2.072,1.74
2.076,1.91
2.077,2.06
2.087,2.06
2.087,1.66
2.096,2.06
2.096,2.06
2.104,1.68
2.109,2.05
2.117,2.06
2.122,1.76
2.127,1.83
2.127,2.06
2.134,2.06
2.134,1.65
2.146,2.05
2.146,2.06
2.154,1.66
2.159,2.04
2.163,2.06
2.171,1.86
2.176,1.76
2.177,2.05
2.184,2.06
2.184,1.75
2.195,2.05
2.195,2.06
2.204,1.74
2.209,2.02
2.213,2.05
2.221,1.88
2.226,1.73
2.230,2.06
2.230,2.06
2.239,1.66
2.245,2.05
2.245,2.06
2.254,1.66
2.259,1.98
2.263,2.05
2.271,2.02
2.276,1.67
2.282,2.05
2.282,2.06
2.289,1.67
2.293,2.04
2.298,2.06
2.307,1.68
2.310,2.01
2.310,2.05
2.319,2.06
2.326,1.7
2.329,2.05
2.337,1.88
2.338,2.01
2.345,2.04
2.345,2.06
2.354,1.88
2.362,1.88
2.363,2.05
2.369,2.05
2.376,2.01
2.379,2.05
2.379,2.06
2.388,2.02
2.392,2.03
2.398,2.06
2.407,2.03
2.410,1.78
2.410,2.05
2.419,2.06
2.426,1.99
2.429,2.05
2.437,2.06
2.438,1.71
2.446,2.01
2.446,1.64
2.454,1.96
2.459,1.67
2.463,2.06
2.471,2.05
2.476,1.71
2.478,2.05
2.484,2.05
2.492,1.73
2.495,1.98
2.495,2.05
2.504,1.98
2.509,1.68
2.513,2.05
2.521,2.05
2.526,1.68
2.527,2.05
2.534,2.05
2.534,1.82
2.545,1.94
2.545,2.05
2.554,2.05
2.559,1.75
2.563,1.69
2.571,2.05
2.576,1.77
2.578,2.04
2.586,2.05
2.587,1.77
2.596,1.88
2.596,2.06
2.604,2.05
2.609,1.67
2.613,2.05
2.622,2.06
2.626,1.66
2.626,2.02
2.626,2.05
2.642,1.93
2.659,1.76
2.659,2.05
2.659,2.03
2.659,1.69
2.659,2.05
2.659,2.05
2.675,1.67
2.692,2.03
2.692,2.05
2.692,1.87
2.692,1.74
2.692,2.05
2.692,2.05
2.709,1.98
2.709,2.05
2.718,2.05
2.727,1.93
2.727,1.99
2.735,2.05
2.737,1.95
2.745,1.97
2.745,2.05
2.754,2.06
2.761,2.02
2.761,2.05
2.768,2.06
2.773,2.01
2.780,1.94
2.786,2.06
2.790,2.06
2.795,1.96
2.795,2.06
2.803,2.04
2.811,1.69
2.813,2.04
2.821,2.06
2.823,1.86
2.828,1.87
2.833,2.06
2.842,2.05
2.845,1.65
2.845,2.05
2.854,1.95
2.861,1.65
2.863,2.03
2.871,2.05
2.873,1.83
2.878,1.78
2.883,2.06
2.891,2.06
2.895,1.67
2.895,2.05
2.904,2.05
2.911,1.79
2.911,2.02
2.918,2.06
2.926,1.97
2.929,1.75
2.937,2.06
2.938,2.06
2.945,1.73
2.948,2.05
2.956,2.06
2.961,1.72
2.961,2.01
2.969,1.55
2.969,1.95
2.978,1.66
2.986,2.03
2.988,2.06
2.995,1.65
2.998,2.05
3.006,2.05
3.011,1.9
3.011,1.95
3.019,2.06
3.027,2.05
3.028,1.67
3.033,2.05
3.042,2.06
3.045,1.66
3.045,2.05
3.054,2.06
3.061,1.76
3.064,1.89
3.072,2.06
3.075,2.05
3.078,1.84
3.083,1.64
3.091,2.06
3.095,1.94
3.095,2.03
3.103,2.06
3.110,1.78
3.110,1.94
3.118,2.05
3.126,2.05
3.129,1.87
3.137,2.05
3.138,2.06
3.145,1.87
3.148,2.02
3.156,2.05
3.161,1.85
3.162,1.83
3.168,2.05
3.176,2.05
3.178,1.66
3.186,2.05
3.188,2.06
3.194,1.87
3.198,1.99
3.206,2.06
3.211,1.95
3.211,1.67
3.220,2.06
3.220,2.05
3.228,1.67
3.236,2.04
3.238,2.06
3.245,1.78
3.248,1.95
3.256,2.06
3.261,2.04
3.262,1.67
3.269,2.06
3.277,2.05
3.281,1.83
3.281,2.04
3.288,2.06
3.295,1.91
3.298,1.92
3.306,2.06
3.307,2.06
3.312,1.74
3.319,2.05
3.325,2.05
3.328,1.72
3.333,2.03
3.341,2.05
3.345,1.86
3.345,1.8
3.354,2.06
3.361,2.06
3.361,1.63
3.368,2.05
3.376,1.77
3.378,1.87
3.386,2.01
3.387,2.05
3.394,1.83
3.398,1.64
3.406,2.06
3.411,2.05
3.411,1.62
3.418,2.05
3.426,2.05
3.428,1.74
3.433,2.0
3.441,2.05
3.445,1.89
3.445,1.92
3.453,2.05
3.461,2.05
3.463,1.92
3.471,2.05
3.472,2.05
3.479,1.71
3.479,2.02
3.488,1.64
3.495,2.04
3.495,1.93
3.503,2.05
3.511,2.05
3.511,1.93
3.518,2.04
3.526,2.05
3.528,1.78
3.533,2.02
3.541,2.05
3.544,2.05
3.544,1.71
3.554,2.05
3.561,2.05
3.563,1.87
3.571,2.03
3.573,2.05
3.578,1.87
3.583,1.82
3.591,2.05
3.595,2.05
3.595,1.69
3.604,1.77
3.611,2.05
3.612,1.77
3.618,2.01
3.618,2.05
3.629,1.82
3.629,1.65
3.638,2.05
3.644,2.05
3.644,1.82
3.653,2.05
3.661,2.05
3.661,1.86
3.668,2.01
3.676,2.05
3.678,1.93
3.678,1.75
3.688,2.05
3.695,2.05
3.698,1.71
3.706,2.05
3.711,2.05
3.714,1.8
3.714,1.95
3.723,2.05
3.728,2.05
3.733,1.62
3.741,2.05
3.744,2.05
3.744,1.9
3.752,2.04
3.760,2.05
3.760,1.73
3.767,1.84
3.775,2.05
3.780,2.04
3.780,1.62
3.788,2.05
3.794,2.05
3.798,1.73
3.806,2.03
3.811,2.05
3.811,1.74
3.821,2.02
3.826,2.05
3.831,2.06
3.836,1.96
3.840,2.05
3.844,2.05
3.849,1.68
3.853,2.05
3.860,2.05
3.863,1.82
3.871,1.92
3.876,2.05
3.881,2.05
3.886,1.9
3.890,2.05
3.896,1.55
3.901,1.76
3.904,2.02
3.910,2.05
3.913,1.97
3.921,1.66
3.926,2.05
3.931,2.05
3.936,1.87
3.941,2.04
3.944,2.05
3.950,1.76
3.952,1.94
3.961,2.05
3.962,2.05
3.970,1.67
3.972,2.0
3.977,2.05
3.982,1.76
3.990,2.03
3.994,2.05
3.994,1.74
4.003,1.87
4.010,1.56
4.010,2.05
4.020,1.79
4.025,2.05
4.028,2.05
4.028,1.93
4.037,2.03
4.044,2.05
4.047,1.82
4.055,1.84
4.061,2.05
4.061,2.05
4.068,1.71
4.076,2.04
4.078,2.06
4.086,1.77
4.087,2.01
4.094,2.05
4.094,2.02
4.103,1.61
4.111,2.05
4.112,2.05
4.117,1.88
4.125,1.75
4.128,2.05
4.128,1.69
4.137,1.97
4.145,2.05
4.145,2.02
4.152,1.61
4.161,2.05
4.162,2.06
4.167,1.75
4.175,2.04
4.178,2.06
4.178,1.66
4.187,2.03
4.195,2.05
4.195,2.05
4.202,1.98
4.211,2.05
4.212,2.06
4.220,1.67
4.222,2.05
4.227,2.05
4.232,1.71
4.240,2.04
4.244,2.05
4.244,2.05
4.253,2.0
4.260,2.05
4.263,2.06
4.271,1.77
4.272,2.05
4.280,2.05
4.283,1.84
4.283,1.81
4.295,2.05
4.295,2.02
4.303,1.8
4.311,2.05
4.312,2.06
4.317,1.78
4.324,2.01
4.327,2.05
4.374,1.82
4.391,1.69
4.391,2.05
4.391,2.05
4.391,1.74
4.391,2.04
4.391,2.05
4.391,1.71
4.391,1.98
4.391,2.05
4.391,1.91
4.391,1.78
4.391,2.05
4.399,2.05
4.399,1.91
4.409,2.04
4.409,1.63
4.409,1.76
4.422,1.96
4.427,2.06
4.432,2.05
4.440,1.69
4.444,2.05
4.444,2.05
4.452,1.74
4.460,2.03
4.460,2.05
4.467,2.02
4.475,1.86
4.477,2.05
4.486,2.05
4.487,1.84
4.494,2.05
4.497,2.05
4.505,1.69
4.510,2.02
4.513,2.05
4.513,1.99
4.522,1.76
4.527,1.69
4.532,2.06
4.540,1.73
4.545,2.05
4.548,2.05
4.548,1.66
4.557,2.04
4.561,2.06
4.568,1.85
4.572,1.88
4.577,2.05
4.582,2.05
4.590,1.67
4.594,2.05
4.597,2.05
4.606,1.69
4.610,2.05
4.613,2.05
4.613,1.91
4.622,2.03
4.628,2.05
4.628,2.02
4.637,1.76
4.643,1.89
4.647,2.05
4.652,1.77
4.661,1.95
4.662,2.05
4.670,2.05
4.671,1.83
4.677,2.05
4.685,2.05
4.685,1.8
4.694,2.03
4.694,2.05
4.702,1.72
4.710,1.9
4.711,2.05
4.717,2.05
4.725,1.74
4.728,2.05
4.732,2.06
4.740,1.72
4.744,2.02
4.748,2.05
4.748,1.75
4.756,1.88
4.763,2.05
4.763,2.05
4.771,1.93
4.780,2.05
4.780,2.05
4.789,1.77
4.794,2.01
4.798,2.05
4.798,1.97
4.807,1.69
4.811,2.05
4.820,2.0
4.820,1.76
4.828,2.04
4.836,2.05
4.836,1.99
4.845,1.98
4.845,2.06
4.852,2.04
4.860,1.83
4.861,2.05
4.867,2.06
4.875,1.7
4.877,2.04
4.883,2.06
4.883,1.99
4.894,1.94
4.897,2.06
4.905,2.05
4.910,1.73
4.912,2.06
4.920,2.05
4.921,1.65
4.927,2.05
4.927,1.56
4.936,1.79
4.944,1.99
4.944,2.06
4.952,2.06
4.960,1.67
4.961,2.04
4.966,2.06
4.974,1.68
4.978,2.05
4.978,2.05
4.987,1.74
4.995,1.99
4.995,2.05
5.002,2.06
5.010,1.73
5.011,2.06
5.019,2.06
5.020,1.79
5.027,2.02
5.035,2.06
5.036,1.87
5.044,1.89
5.044,1.58
5.052,2.05
5.060,1.82
5.061,2.05
5.067,2.06
5.067,1.69
5.078,2.0
5.078,2.06
5.087,1.9
5.094,1.77
5.094,2.06
5.102,2.06
5.110,1.72
5.111,2.05
5.116,2.05
5.124,1.7
5.127,2.0
5.127,2.06
5.136,2.03
5.145,1.91
5.146,2.05
5.152,2.06
5.160,1.79
5.161,2.03
5.167,2.06
5.167,1.94
5.177,1.92
5.177,2.06
5.186,2.05
5.194,1.77
5.196,2.05
5.205,2.06
5.210,2.01
5.211,2.03
5.217,2.06
5.225,1.99
5.228,1.95
5.228,2.06
5.236,2.05
5.244,1.73
5.244,2.05
5.252,2.06
5.256,1.93
5.260,2.01
5.266,2.06
5.274,1.86
5.280,1.74
5.281,2.05
5.287,2.06
5.295,1.65
5.295,2.05
5.304,2.06
5.310,1.76
5.313,2.03
5.313,2.06
5.322,1.92
5.327,1.69
5.327,2.05
5.336,1.99
5.344,1.68
5.346,2.06
5.355,2.05
5.360,1.69
5.361,2.04
5.367,2.05
5.367,2.04
5.377,1.71
5.377,2.06
5.386,2.06
5.394,1.76
5.394,2.04
5.402,2.06
5.410,1.79
5.411,1.99
5.416,2.06
5.424,2.06
5.428,1.79
5.428,2.05
5.436,2.06
5.444,1.67
5.444,2.0
5.452,1.69
5.460,1.72
5.461,1.89
5.466,2.06
5.474,2.05
5.478,1.69
5.478,2.05
5.487,2.06
5.494,1.65
5.494,2.04
5.502,2.06
5.510,1.78
5.515,1.86
5.517,2.06
5.517,2.06
5.527,1.71
5.527,2.05
5.537,2.06
5.544,1.84
5.546,2.01
5.555,2.06
5.560,1.96
5.561,1.79
5.567,1.74
5.575,2.05
5.577,1.89
5.577,2.05
5.587,2.06
5.593,1.89
5.593,2.01
5.601,2.06
5.610,2.03
5.611,1.7
5.616,2.05
5.624,2.05
5.627,1.84
5.627,2.04
5.641,2.05
5.641,1.74
5.649,1.93
5.649,2.05
5.674,2.05
5.674,1.67
5.674,2.05
5.674,2.05
5.677,1.75
5.677,2.04
5.677,2.05
5.693,1.79
5.693,1.86
5.693,2.05
5.708,2.06
5.715,1.7
5.716,2.05
5.724,2.05
5.726,1.67
5.735,2.04
5.736,2.06
5.744,1.9
5.747,1.76
5.755,2.05
5.756,2.05
5.760,1.75
5.767,2.05
5.775,2.05
5.780,1.77
5.782,2.03
5.782,2.06
5.794,1.89
5.797,1.79
5.805,2.05
5.806,2.05
5.812,1.68
5.812,2.05
5.821,2.05
5.827,1.69
5.827,2.0
5.836,2.06
5.843,2.01
5.843,1.71
5.851,2.05
5.859,1.99
5.861,1.66
5.866,2.05
5.874,2.05
5.878,1.7
5.878,1.96
5.887,2.05
5.893,2.05
5.896,1.75
5.904,2.05
5.906,2.05
5.911,1.84
5.916,2.04
5.924,2.05
5.928,1.93
5.928,1.91
5.936,2.05
5.943,2.05
5.946,1.89
5.954,2.05
5.956,2.05
5.961,1.87
5.967,2.04
5.971,1.56
5.976,1.92
5.976,1.78
5.985,2.05
5.993,2.05
5.995,1.83
6.003,2.05
6.010,2.05
6.010,1.71
6.019,2.01
6.019,2.05
6.027,1.96
6.027,1.66
6.036,2.05
6.043,2.04
6.049,1.69
6.054,2.05
6.060,2.05
6.064,1.71
6.069,1.98
6.075,2.05
6.080,1.97
6.084,1.69
6.089,1.58
6.095,2.05
6.099,1.67
6.105,2.05
6.109,2.04
6.114,1.85
6.119,1.96
6.124,2.05
6.129,2.05
6.134,1.75
6.137,2.05
6.143,2.05
6.146,1.75
6.155,2.05
6.159,2.05
6.165,1.78
6.169,1.92
6.174,2.05
6.180,2.05
6.184,1.68
6.187,2.05
6.193,2.05
6.193,1.66
6.202,2.03
6.202,2.05
6.211,1.89
6.219,1.79
6.220,2.05
6.226,2.05
6.231,1.66
6.239,2.05
6.244,2.04
