Elapsed Time (s),Value
0.000,1.28
0.000,1.28
0.001,1.28
0.001,1.28
0.003,1.28
0.009,1.28
0.012,2.08
0.020,2.09
0.025,2.09
0.029,2.09
0.033,2.09
0.038,2.09
0.041,2.09
0.050,2.09
0.055,2.09
0.059,2.09
0.065,2.09
0.069,2.09
0.073,2.09
0.078,2.09
0.085,2.09
0.088,2.09
0.092,2.09
0.099,2.09
0.104,1.95
0.110,2.09
0.112,2.09
0.120,2.09
0.124,2.09
0.129,2.09
0.135,2.09
0.140,2.09
0.143,1.28
0.150,1.28
0.154,1.28
0.160,1.28
0.162,1.28
0.170,1.41
0.175,2.09
0.180,2.09
0.185,2.09
0.189,2.09
0.194,2.09
0.199,2.09
0.205,2.09
0.209,2.09
0.214,2.09
0.219,2.09
0.224,2.09
0.229,2.09
0.235,2.09
0.240,2.09
0.245,2.09
0.249,2.09
0.255,2.09
0.260,2.09
0.265,2.09
0.269,2.09
0.274,2.09
0.279,2.09
0.285,2.09
0.289,2.08
0.293,2.09
0.299,2.09
0.304,2.09
0.310,2.09
0.314,2.08
0.318,2.08
0.324,2.09
0.330,2.09
0.335,2.09
0.340,2.09
0.344,2.09
0.348,2.09
0.354,2.09
0.359,2.09
0.364,2.09
0.370,2.09
0.374,1.27
0.378,1.27
0.385,1.27
0.390,1.27
0.394,1.27
0.399,1.27
0.404,2.08
0.410,1.27
0.415,1.27
0.419,1.27
0.425,1.27
0.429,1.27
0.433,1.27
0.440,1.27
0.444,1.27
0.447,1.27
0.454,1.27
0.460,1.27
0.462,1.27
0.469,1.27
0.475,1.27
0.478,2.08
0.482,2.09
0.489,2.08
0.494,2.08
0.496,2.09
0.504,2.08
0.510,2.08
0.515,2.08
0.519,2.08
0.525,2.09
0.528,2.08
0.535,2.09
0.540,2.09
0.543,2.09
0.547,2.09
0.554,2.09
0.556,2.09
0.556,2.08
0.568,2.09
0.591,2.08
0.592,2.09
0.594,2.09
0.594,2.09
0.602,2.09
0.602,2.08
0.602,1.28
0.609,1.28
0.613,1.28
0.618,1.28
0.624,1.28
0.635,1.28
0.643,2.08
0.644,1.28
0.644,1.28
0.644,1.28
0.652,1.28
0.660,1.28
0.663,1.28
0.668,1.28
0.674,1.28
0.679,1.28
0.685,1.28
0.697,1.28
0.697,1.28
0.699,1.28
0.703,1.28
0.704,2.09
0.713,2.09
0.719,2.09
0.723,2.09
0.724,2.09
0.731,2.09
0.738,2.07
0.743,2.09
0.746,2.09
0.755,2.09
0.759,2.09
0.760,2.07
0.769,2.09
0.774,2.09
0.779,2.09
0.784,2.09
0.789,2.09
0.794,2.09
0.799,2.09
0.804,2.09
0.809,2.09
0.814,2.09
0.819,2.09
0.824,2.09
0.829,2.09
0.834,1.26
0.839,1.27
0.844,1.27
0.849,1.3
0.854,1.8
0.857,2.09
0.861,2.09
0.869,2.09
0.874,2.09
0.878,2.09
0.884,2.09
0.888,2.09
0.893,2.09
0.899,2.09
0.904,2.09
0.909,2.09
0.914,2.09
0.919,2.09
0.923,2.09
0.929,2.09
0.934,2.09
0.939,2.09
0.943,2.09
0.949,2.09
0.954,2.09
0.959,2.09
0.964,2.09
0.970,2.01
0.974,2.09
0.979,2.09
0.984,2.09
0.989,2.09
0.994,2.09
0.999,2.08
1.005,2.08
1.008,2.09
1.014,2.09
1.019,2.09
1.024,2.09
1.029,2.09
1.034,2.09
1.039,2.09
1.043,2.09
1.049,2.07
1.054,2.09
1.059,2.09
1.064,1.27
1.069,1.27
1.074,1.27
1.079,1.27
1.084,1.27
1.089,1.27
1.094,1.28
1.099,2.09
1.104,2.09
1.109,2.09
1.110,2.09
1.119,2.08
1.123,2.09
1.125,2.09
1.131,2.09
1.138,2.09
1.142,2.09
1.146,2.09
1.153,1.91
1.157,2.09
1.164,2.09
1.169,2.09
1.173,2.09
1.179,2.09
1.184,2.09
1.188,2.09
1.194,2.09
1.199,2.09
1.204,2.09
1.207,2.08
1.211,2.09
1.218,2.09
1.223,2.09
1.226,2.09
1.233,2.09
1.239,2.09
1.241,2.09
1.247,2.09
1.254,2.09
1.257,2.09
1.261,2.06
1.268,2.09
1.274,2.09
1.276,2.09
1.282,2.09
1.289,2.01
1.292,1.51
1.295,1.27
1.304,1.27
1.307,1.27
1.311,1.27
1.318,1.27
1.321,1.27
1.326,2.09
1.331,1.27
1.338,1.27
1.340,1.27
1.347,1.27
1.353,1.27
1.357,1.27
1.364,2.09
1.368,1.27
1.374,1.27
1.379,1.27
1.380,1.27
1.389,1.27
1.391,1.27
1.396,1.71
1.404,2.09
1.409,2.09
1.410,2.09
1.418,2.09
1.424,2.09
1.426,2.09
1.434,2.09
1.439,2.08
1.440,2.09
1.446,2.09
1.453,2.09
1.458,2.09
1.461,2.09
1.468,2.09
1.474,2.09
1.479,2.09
1.484,2.09
1.488,2.09
1.490,2.09
1.499,2.09
1.503,2.09
1.507,2.09
1.511,2.09
1.518,2.09
1.524,2.09
1.526,1.27
1.532,1.27
1.538,1.27
1.540,1.27
1.549,1.27
1.553,1.27
1.559,2.09
1.561,1.27
1.568,1.27
1.573,1.27
1.575,1.27
1.584,1.27
1.588,1.27
1.594,1.27
1.595,1.27
1.604,1.27
1.609,1.27
1.611,1.27
1.618,1.27
1.623,1.27
1.627,1.27
1.630,2.09
1.638,2.08
1.640,2.09
1.647,2.09
1.653,2.08
1.656,2.09
1.662,2.09
1.668,2.09
1.673,2.08
1.675,2.09
1.682,2.08
1.689,2.08
1.691,2.09
1.699,2.08
1.703,2.08
1.708,2.08
1.710,2.08
1.718,2.08
1.723,2.08
1.725,2.04
1.731,2.08
1.738,2.08
1.741,2.08
1.747,2.09
1.753,2.08
1.757,1.28
1.760,1.28
1.768,1.28
1.773,1.28
1.775,1.28
1.781,1.28
1.788,2.03
1.790,2.08
1.795,2.09
1.803,2.08
1.806,2.09
1.811,2.08
1.818,2.08
1.823,2.08
1.826,2.09
1.831,2.07
1.838,2.08
1.840,2.09
1.845,2.08
1.852,2.08
1.856,2.08
1.861,2.09
1.868,2.09
1.873,2.09
1.876,2.09
1.881,2.09
1.888,2.06
1.890,2.08
1.896,2.09
1.902,2.08
1.908,2.08
1.910,2.08
1.918,2.09
1.923,2.09
1.925,2.09
1.931,2.09
1.938,2.05
1.941,2.09
1.946,2.09
1.953,2.08
1.956,2.09
1.961,2.09
1.968,2.09
1.973,2.09
1.976,2.09
1.981,2.08
1.988,1.27
1.991,1.27
1.995,1.27
2.003,1.26
2.007,1.27
2.011,1.26
2.018,2.01
2.023,1.27
2.025,1.27
2.030,1.26
2.038,1.27
