Elapsed Time (s),Value
0.000,1.42
0.001,2.09
0.001,1.42
0.003,1.42
0.004,1.42
0.005,1.42
0.006,1.42
0.006,1.42
0.007,1.42
0.012,1.42
0.017,1.42
0.022,1.42
0.027,1.42
0.032,1.42
0.038,1.42
0.042,1.42
0.044,2.09
0.052,2.09
0.058,2.09
0.062,2.09
0.067,2.09
0.072,2.08
0.078,2.09
0.080,2.09
0.087,2.09
0.092,2.08
0.096,2.09
0.101,2.09
0.108,2.09
0.112,2.09
0.115,2.09
0.122,2.08
0.127,2.08
0.129,2.09
0.138,2.09
0.142,2.08
0.145,2.09
0.151,2.09
0.157,2.08
0.162,2.09
0.165,2.09
0.172,1.44
0.177,1.44
0.180,1.44
0.188,2.08
0.192,1.44
0.194,1.44
0.201,1.44
0.207,1.44
0.211,1.44
0.214,1.44
0.222,1.44
0.227,1.44
0.229,1.44
0.236,2.08
0.242,2.08
0.247,2.09
0.249,2.09
0.258,2.09
0.261,2.09
0.264,2.09
0.272,2.08
0.275,2.08
0.282,2.08
0.284,2.08
0.292,2.08
0.295,2.09
0.300,2.09
0.307,2.08
0.311,2.09
0.315,2.08
0.322,2.08
0.326,2.08
0.331,2.06
0.334,2.08
0.342,2.08
0.344,2.08
0.350,2.08
0.356,2.08
0.362,2.09
0.366,2.09
0.371,2.08
0.376,2.09
0.382,2.09
0.384,2.09
0.391,2.08
0.394,2.09
0.402,1.44
0.407,1.44
0.411,1.44
0.416,1.44
0.422,1.44
0.427,1.44
0.431,1.38
0.433,2.07
0.441,2.08
0.446,2.09
0.451,2.09
0.457,2.09
0.461,2.09
0.466,2.09
0.472,2.08
0.477,2.09
0.482,2.09
0.487,2.09
0.491,2.08
0.496,2.09
0.501,2.09
0.506,2.08
0.511,2.01
0.516,2.09
0.521,2.09
0.526,2.09
0.531,2.09
0.536,2.09
0.541,2.08
0.546,2.09
0.552,2.09
0.556,2.08
0.561,2.08
0.566,2.08
0.571,2.08
0.576,2.08
0.581,2.09
0.587,2.09
0.590,2.09
0.596,2.07
0.601,2.08
0.606,2.08
0.611,2.08
0.616,2.03
0.620,2.08
0.625,2.09
0.631,1.44
0.636,1.43
0.641,1.43
0.646,1.43
0.651,1.43
0.656,1.44
0.661,1.77
0.666,2.08
0.672,1.43
0.676,1.43
0.681,1.43
0.683,1.43
0.691,1.44
0.696,1.43
0.701,2.08
0.739,1.43
0.740,1.44
0.795,1.43
0.830,1.44
0.832,1.44
0.833,1.44
0.833,2.08
0.834,2.08
0.834,2.08
0.835,2.08
0.835,2.08
0.837,2.08
0.839,2.08
0.839,2.08
0.840,2.08
0.841,2.08
0.842,2.08
0.842,2.08
0.842,2.08
0.867,2.08
0.867,2.08
0.868,2.08
0.869,2.08
0.869,2.08
0.870,2.04
0.871,2.08
0.872,2.08
0.873,2.08
0.874,2.08
0.875,2.08
0.875,2.08
0.876,2.08
0.877,1.45
0.877,1.45
0.877,1.45
0.881,1.45
0.886,1.45
0.891,1.45
0.896,2.09
0.901,1.45
0.906,1.45
0.911,1.45
0.916,1.45
0.921,1.45
0.926,1.45
0.931,2.08
0.936,2.09
0.941,2.08
0.946,2.09
0.950,2.09
0.955,2.09
0.960,2.09
0.963,2.09
0.971,2.09
0.976,2.09
0.981,2.09
0.986,2.09
0.991,2.09
0.996,2.09
1.001,2.09
1.005,2.08
1.008,2.09
1.016,2.09
1.021,2.09
1.026,2.08
1.028,2.09
1.034,2.09
1.041,2.09
1.043,2.09
1.050,2.09
1.056,2.09
1.061,2.09
1.063,2.09
1.071,2.09
1.075,2.09
1.078,2.09
1.084,2.09
1.091,1.5
1.096,1.42
1.098,1.42
1.106,1.37
1.109,1.98
1.113,2.09
1.121,2.08
1.125,2.09
1.128,2.09
1.133,2.09
1.141,2.09
1.144,2.09
1.149,2.09
1.156,2.09
1.160,2.09
1.164,2.09
1.171,2.08
1.174,2.09
1.179,2.09
1.184,2.09
1.191,2.09
1.195,2.09
1.199,2.09
1.206,2.09
1.210,2.09
1.214,2.09
1.220,2.08
1.226,2.09
1.228,2.09
1.235,2.09
1.240,2.08
1.245,2.09
1.251,2.09
1.255,2.09
1.260,2.09
1.264,2.09
1.270,2.08
1.275,2.09
1.280,2.09
1.283,2.09
1.291,2.09
1.293,2.09
1.298,2.09
1.305,2.09
1.309,2.09
1.315,2.09
1.321,2.08
1.324,1.44
1.329,1.44
1.333,1.44
1.341,1.44
1.343,1.44
1.348,1.44
1.355,2.09
1.360,1.44
1.366,1.44
1.371,1.44
1.374,1.44
1.381,1.44
1.383,1.44
1.390,1.94
1.396,1.44
1.400,1.44
1.405,1.44
1.411,1.44
1.416,1.44
1.421,1.44
1.425,1.44
1.428,2.09
1.433,2.09
1.441,2.09
1.446,2.08
1.448,2.09
1.455,2.08
1.461,2.09
1.462,2.09
1.470,2.08
1.475,2.09
1.478,2.09
1.483,2.09
1.490,2.08
1.495,2.09
1.497,2.09
1.505,2.08
1.510,2.08
1.512,2.09
1.520,2.08
1.526,2.08
1.531,2.09
1.533,2.09
1.540,2.08
1.545,2.09
1.548,2.09
1.555,1.44
1.560,1.44
1.562,1.44
1.570,1.45
1.575,1.44
1.580,1.45
1.583,2.02
1.590,2.08
1.595,2.08
1.598,2.09
1.605,2.08
1.610,2.08
1.612,2.09
1.619,2.08
1.625,2.08
1.628,2.09
1.632,2.09
1.640,2.08
1.644,2.09
1.648,2.09
1.655,2.08
1.658,2.08
1.662,2.03
1.670,2.08
1.675,2.09
1.677,2.09
1.683,2.09
1.689,2.08
1.694,2.09
1.698,2.09
1.704,2.08
1.709,2.09
1.713,2.09
1.720,2.08
1.725,2.09
1.729,2.09
1.732,2.09
1.740,2.09
1.745,2.05
1.748,2.09
1.754,2.09
1.760,2.09
1.762,2.05
1.770,2.08
1.775,2.09
1.779,2.08
1.784,1.43
1.789,1.43
1.793,1.44
1.798,1.43
1.804,1.43
1.810,1.43
1.815,1.45
1.820,2.08
1.825,2.09
1.828,2.09
1.832,2.09
1.840,2.09
1.842,2.09
1.848,2.08
1.855,2.09
1.860,2.09
1.863,2.09
1.870,2.09
1.875,2.06
1.879,2.09
1.883,2.09
1.889,2.09
1.894,2.09
1.897,2.09
1.904,2.09
1.910,2.09
1.912,2.09
1.920,2.09
1.925,2.09
1.928,2.09
1.932,2.09
1.938,2.09
1.945,2.08
1.948,2.09
1.954,2.08
1.960,2.08
1.962,2.09
1.970,2.09
1.974,2.08
1.977,2.01
1.983,2.09
1.990,2.09
1.992,2.09
1.997,2.09
2.004,2.09
2.010,2.09
2.012,1.53
2.020,1.45
2.025,1.45
2.027,1.45
2.035,1.45
2.040,1.45
2.045,1.45
2.050,2.09
2.055,1.45
2.058,1.45
2.063,1.45
2.070,1.45
2.075,1.45
2.077,1.45
2.082,2.08
2.090,1.45
2.092,1.45
2.099,1.45
2.104,1.45
2.110,1.45
2.113,1.45
2.120,2.09
2.124,2.09
2.129,2.09
2.132,2.09
2.140,2.09
2.142,2.09
2.147,2.09
2.154,2.09
2.159,2.09
2.163,2.09
2.170,2.08
2.174,2.09
2.176,2.09
2.182,2.09
2.190,2.08
2.193,2.09
2.199,2.09
2.204,2.08
2.209,2.09
2.213,2.09
2.220,2.09
2.224,2.09
2.227,2.09
2.232,2.09
2.239,2.08
2.242,2.09
2.247,1.42
2.255,1.42
2.260,1.42
2.262,1.42
2.270,1.42
2.274,1.42
2.277,2.09
2.282,1.42
2.289,1.42
2.295,1.42
2.298,1.42
2.304,1.42
2.309,1.42
2.313,2.09
2.320,1.42
2.324,1.42
2.328,1.42
2.332,1.42
2.339,1.42
2.341,1.42
2.348,1.42
2.354,2.08
2.360,2.08
2.363,2.08
2.370,2.09
2.374,2.08
2.377,2.09
2.385,2.06
2.389,2.08
2.394,2.09
2.396,2.09
2.404,2.08
2.408,2.09
2.415,2.08
2.420,2.09
2.424,2.08
2.429,2.08
2.432,2.08
2.439,2.08
2.443,2.08
2.447,2.09
2.454,2.08
2.458,2.08
2.462,2.08
2.470,2.08
2.474,2.08
2.477,1.44
2.482,1.44
2.489,1.44
2.493,1.44
2.499,1.44
2.504,1.44
2.507,2.09
2.513,2.09
2.520,2.09
2.524,2.08
2.526,2.09
2.531,2.09
2.539,2.08
2.542,2.08
2.547,2.09
2.554,2.08
2.559,2.09
2.561,2.09
2.569,2.09
2.574,2.08
2.578,2.09
2.583,2.09
2.589,2.09
2.591,2.09
2.598,2.09
2.604,2.08
2.609,2.09
2.611,2.09
2.620,2.09
2.624,2.08
2.626,2.09
2.632,2.09
2.639,2.09
2.643,2.08
2.648,2.09
2.654,2.08
2.658,2.09
2.661,2.08
2.669,2.09
2.673,2.09
2.677,2.09
2.683,2.08
2.689,2.09
2.691,2.09
2.697,2.09
2.704,2.08
2.709,1.44
2.711,1.44
2.719,1.44
2.724,1.44
2.727,1.44
2.732,1.44
2.739,2.06
2.740,1.44
2.747,1.44
2.754,1.44
2.759,1.44
2.762,1.44
2.769,1.44
2.773,1.45
2.777,1.6
2.784,1.44
2.788,1.44
2.792,1.44
2.799,1.44
2.803,1.44
2.809,1.44
2.810,2.09
2.819,2.09
2.824,2.08
2.826,2.09
2.832,2.09
2.838,2.08
2.844,2.06
2.849,2.09
2.854,2.08
2.859,2.08
2.861,2.08
2.869,2.08
2.873,2.08
2.878,2.08
2.884,2.08
2.889,2.08
2.892,2.03
2.897,2.08
2.904,2.08
2.908,2.08
2.911,2.08
2.919,2.09
2.924,2.08
2.927,2.09
2.932,2.09
2.939,1.43
2.944,1.44
2.947,1.43
2.954,1.43
2.958,1.43
2.963,1.43
2.966,1.67
2.973,2.08
2.978,2.09
2.983,2.09
2.988,2.09
2.994,2.09
2.999,2.09
3.004,2.08
3.008,2.09
3.013,2.09
3.018,2.09
3.023,2.08
3.028,2.09
3.033,2.09
3.038,2.08
3.044,2.09
3.048,2.09
3.054,2.09
3.058,2.09
3.064,2.09
3.069,2.09
3.074,2.09
3.079,2.09
3.083,2.09
3.089,2.08
3.093,2.09
3.099,2.09
3.104,2.08
3.109,2.09
3.114,2.08
3.118,2.09
3.124,1.99
3.128,2.09
3.134,2.09
3.138,2.09
3.143,2.09
3.149,2.09
3.154,2.08
3.158,2.08
3.163,2.09
3.169,1.45
3.174,1.45
3.178,1.45
3.183,2.09
3.188,1.45
3.193,1.45
3.196,1.45
3.204,1.46
3.208,1.45
3.213,1.45
3.219,1.71
3.224,1.45
3.225,1.45
3.232,1.65
3.238,2.08
3.241,2.09
3.245,2.09
3.253,2.08
3.258,2.09
3.260,2.09
3.266,2.09
3.273,2.08
3.275,2.09
3.280,2.09
3.288,2.08
3.290,2.09
3.298,2.09
3.303,2.08
3.308,2.09
3.312,2.09
3.315,2.09
3.323,1.88
3.325,2.09
3.330,2.09
3.337,2.09
3.342,2.09
3.347,2.09
3.353,2.08
3.358,2.09
3.361,2.09
3.383,2.09
3.384,2.03
3.385,2.09
3.385,2.09
3.388,2.09
3.393,2.09
3.396,2.09
3.403,1.42
3.408,1.42
3.411,1.42
3.416,1.42
3.423,1.42
3.426,2.0
3.430,2.09
3.438,2.09
3.443,2.09
3.446,2.09
3.453,2.08
3.459,2.09
3.461,2.09
3.466,2.09
3.473,2.09
3.475,2.09
3.483,2.09
3.487,2.08
3.493,2.09
3.496,2.09
3.503,2.08
3.508,2.09
3.510,2.09
3.516,2.09
3.523,2.08
3.525,2.09
3.531,2.06
3.538,2.08
3.543,2.08
3.545,2.09
3.552,2.08
3.558,2.09
3.559,2.09
3.566,2.09
3.573,2.08
3.575,2.09
3.581,2.09
3.588,2.08
3.592,2.09
3.596,2.09
3.602,2.08
3.608,2.08
3.609,2.09
3.617,2.09
3.622,2.09
3.626,2.09
3.630,1.44
3.638,1.44
3.642,1.44
3.645,1.44
3.652,1.44
3.658,1.44
3.661,1.69
3.665,1.44
3.673,1.44
3.675,1.44
3.680,1.44
3.687,1.44
3.692,2.01
3.695,2.03
3.703,1.44
3.708,1.44
3.710,1.44
3.716,1.44
3.722,1.44
3.725,1.46
