Elapsed Time (s),Value
0.000,2.08
0.001,2.09
0.001,2.09
0.015,1.59
0.019,1.57
0.025,1.57
0.029,1.56
0.034,1.57
0.040,1.57
0.045,1.56
0.050,2.08
0.055,2.08
0.060,2.09
0.065,2.08
0.070,2.08
0.075,2.09
0.078,2.09
0.085,2.09
0.089,2.09
0.094,2.08
0.099,2.08
0.104,2.08
0.108,2.09
0.114,2.09
0.118,2.08
0.124,2.09
0.126,2.09
0.135,2.08
0.137,2.09
0.145,2.09
0.149,2.08
0.154,2.08
0.159,2.09
0.164,2.09
0.168,2.08
0.174,2.09
0.176,2.09
0.185,2.08
0.186,2.09
0.195,2.09
0.199,2.08
0.204,2.09
0.207,2.08
0.214,2.09
0.218,2.09
0.218,2.09
0.229,2.08
0.234,2.08
0.240,2.09
0.242,2.09
0.249,1.57
0.251,1.57
0.259,1.57
0.261,1.57
0.269,1.57
0.274,1.57
0.279,2.08
0.284,1.56
0.289,1.57
0.292,1.57
0.299,1.57
0.301,1.57
0.310,1.57
0.311,1.92
0.319,1.57
0.323,1.57
0.329,1.56
0.334,1.57
0.340,1.57
0.344,1.57
0.349,1.7
0.354,2.07
0.356,2.08
0.365,2.08
0.369,2.08
0.372,2.09
0.379,2.08
0.384,2.08
0.389,2.09
0.392,2.08
0.399,2.08
0.405,2.08
0.410,2.09
0.415,2.09
0.419,2.09
0.423,2.08
0.423,2.06
0.434,2.07
0.437,2.08
0.444,2.08
0.449,2.08
0.454,2.08
0.459,2.08
0.465,2.08
0.469,2.08
0.473,2.08
0.479,1.55
0.484,1.56
0.489,1.55
0.492,1.56
0.499,1.56
0.501,1.56
0.509,2.09
0.511,2.08
0.519,2.08
0.524,2.08
0.529,2.09
0.534,2.08
0.539,2.08
0.542,2.08
0.550,2.08
0.551,2.08
0.559,2.08
0.561,2.08
0.569,2.08
0.573,2.08
0.573,2.08
0.584,2.08
0.585,2.08
0.594,2.08
0.599,2.08
0.603,2.08
0.603,2.08
0.603,2.08
0.619,2.08
0.620,2.08
0.620,2.08
0.633,2.08
0.638,2.08
0.644,2.08
0.649,2.08
0.649,2.08
0.649,2.08
0.663,2.08
0.665,2.08
0.665,2.08
0.679,2.09
0.683,2.08
0.683,2.08
0.693,2.08
0.699,2.08
0.699,2.08
0.699,1.58
0.699,1.58
0.719,1.59
0.724,1.58
0.729,1.58
0.734,1.59
0.739,2.06
0.742,1.58
0.749,1.58
0.752,1.58
0.752,1.58
0.764,1.58
0.765,1.58
0.765,1.58
0.778,1.59
0.780,1.58
0.780,1.58
0.794,1.57
0.797,1.59
0.797,2.01
0.797,2.09
0.813,2.09
0.815,2.08
0.824,2.09
0.828,2.09
0.831,2.09
0.831,2.08
0.844,2.04
0.848,2.08
0.848,2.08
0.848,2.09
0.864,2.09
0.865,2.08
0.873,2.08
0.876,2.08
0.881,2.08
0.881,2.09
0.894,2.08
0.895,2.08
0.903,2.08
0.908,2.09
0.914,2.09
0.914,2.08
0.923,2.09
0.925,2.09
0.931,2.08
0.938,1.54
0.942,1.54
0.948,1.54
0.948,2.01
0.948,2.08
0.964,2.08
0.968,2.08
0.973,2.08
0.976,2.08
0.982,2.08
0.982,2.09
0.993,2.09
0.995,2.08
1.004,2.08
1.009,2.08
1.013,2.08
1.015,2.08
1.023,2.08
1.026,2.08
1.032,2.08
1.032,2.09
1.032,2.09
1.048,2.08
1.048,2.08
1.048,2.08
1.063,2.09
1.064,2.08
1.073,2.09
1.075,2.09
1.081,2.08
1.088,2.08
1.092,2.09
1.098,2.08
1.098,2.08
1.098,2.08
1.113,2.08
1.115,2.08
1.123,2.08
1.126,2.08
1.126,2.08
1.142,2.08
1.173,2.08
1.173,2.08
1.173,2.08
1.257,2.08
1.269,2.08
1.269,1.62
1.313,1.56
1.325,1.55
1.327,1.56
1.342,1.56
1.346,1.56
1.359,1.56
1.361,2.08
1.374,1.56
1.374,1.56
1.386,1.56
1.387,1.55
1.388,1.56
1.388,1.56
1.389,2.08
1.389,1.56
1.389,1.56
1.390,1.56
1.390,1.56
1.390,1.55
1.391,1.54
1.392,1.84
1.392,2.08
1.392,2.08
1.393,2.08
1.393,2.08
1.394,2.08
1.394,2.08
1.395,2.08
1.395,2.08
1.395,2.08
1.396,2.08
1.396,2.08
1.397,2.08
1.397,2.08
1.398,2.08
1.400,2.08
1.401,2.08
1.402,2.08
1.402,2.06
1.403,2.08
1.403,2.08
1.404,2.08
1.405,2.08
1.406,2.08
1.407,2.08
1.407,1.69
1.408,1.56
1.408,1.57
1.413,1.57
1.418,2.06
1.422,2.08
1.426,2.09
1.433,2.08
1.438,2.08
1.443,2.09
1.448,2.08
1.453,2.08
1.457,2.09
1.463,2.09
1.468,2.08
1.473,2.09
1.477,2.08
1.482,2.08
1.487,2.08
1.493,2.02
1.498,2.08
1.503,2.08
1.507,2.08
1.512,2.08
1.518,2.08
1.523,2.08
1.528,2.04
1.533,2.08
1.538,2.08
1.542,2.08
1.548,2.02
1.555,2.08
1.557,2.08
1.562,2.08
1.568,2.08
1.573,2.08
1.573,1.41
1.583,2.08
1.588,2.08
1.593,2.08
1.597,2.08
1.603,2.08
1.603,2.04
1.603,2.08
1.622,2.08
1.623,2.02
1.627,2.08
1.633,1.56
1.636,1.56
1.636,1.56
1.648,1.56
1.652,1.56
1.657,1.56
1.662,2.07
1.671,1.56
1.672,1.56
1.676,1.56
1.686,1.56
1.687,1.56
1.694,1.56
1.695,1.56
1.704,1.56
1.707,1.55
1.709,1.56
1.718,1.56
1.719,1.56
1.727,1.56
1.733,1.56
1.737,2.09
1.742,2.09
1.747,2.09
1.752,2.03
1.752,2.09
1.762,2.09
1.767,2.08
1.772,2.09
1.775,2.09
1.783,2.08
1.785,1.99
1.792,2.08
1.794,2.09
1.801,2.09
1.806,2.09
1.811,2.08
1.817,2.08
1.822,2.08
1.826,2.09
1.831,2.08
1.834,2.09
1.834,2.09
1.847,2.09
1.851,2.09
1.857,2.09
1.859,1.58
1.867,1.57
1.868,1.58
1.877,1.58
1.883,1.58
1.887,1.58
1.891,1.58
1.897,2.09
1.901,2.09
1.906,2.09
1.909,2.09
1.917,2.09
1.919,2.09
1.919,2.09
1.932,2.08
1.937,2.09
1.942,2.09
1.944,2.06
1.952,2.08
1.957,2.09
1.962,2.09
1.968,2.08
1.972,2.09
1.977,2.09
1.982,2.08
1.987,2.08
1.991,2.09
1.992,2.09
2.002,2.08
2.006,2.09
2.010,2.05
2.017,2.08
2.022,2.09
