Elapsed Time (s),Value
0.000,2.08
0.000,2.05
0.000,2.09
0.020,2.09
0.025,2.08
0.029,2.09
0.034,2.08
0.035,2.08
0.045,2.09
0.048,2.09
0.052,2.08
0.052,1.41
0.064,1.39
0.069,1.38
0.074,1.39
0.077,1.39
0.085,1.39
0.085,1.39
0.095,2.09
0.096,2.09
0.104,2.08
0.106,2.09
0.115,2.08
0.119,2.08
0.124,2.09
0.127,2.09
0.135,2.09
0.136,2.09
0.145,2.09
0.146,2.09
0.155,2.09
0.157,2.09
0.164,2.09
0.169,2.05
0.175,2.09
0.177,2.09
0.185,2.09
0.186,2.09
0.186,2.08
0.199,2.09
0.202,2.08
0.209,2.09
0.211,2.09
0.219,2.08
0.221,2.09
0.229,2.09
0.235,2.09
0.239,2.08
0.243,2.09
0.249,2.09
0.254,2.08
0.260,2.09
0.264,2.09
0.269,2.08
0.275,2.08
0.280,2.09
0.285,2.09
0.290,2.09
0.292,1.39
0.300,1.39
0.302,1.39
0.309,1.39
0.312,1.39
0.319,1.39
0.319,2.09
0.319,1.39
0.335,1.39
0.336,1.39
0.336,1.39
0.349,1.39
0.352,1.39
0.352,2.09
0.364,1.39
0.369,1.39
0.369,1.39
0.379,1.39
0.383,1.39
0.386,1.39
0.394,1.83
0.399,2.09
0.402,2.09
0.402,2.08
0.414,2.09
0.419,2.08
0.419,2.08
0.429,2.09
0.435,2.09
0.436,2.08
0.444,2.09
0.447,2.09
0.452,2.08
0.452,2.09
0.452,2.09
0.469,2.08
0.469,2.08
0.479,2.09
0.481,2.09
0.486,2.08
0.494,2.09
0.495,2.09
0.502,2.08
0.509,2.09
0.512,2.09
0.520,2.08
0.520,1.38
0.520,1.38
0.535,1.38
0.535,1.38
0.544,1.38
0.548,1.38
0.552,2.08
0.552,2.09
0.563,2.08
0.569,2.08
0.574,2.09
0.578,2.08
0.584,2.08
0.586,2.09
0.594,2.09
0.596,2.09
0.602,2.08
0.609,2.09
0.609,2.09
0.619,2.08
0.619,2.09
0.619,2.09
0.619,2.09
0.639,2.08
0.639,2.08
0.649,2.08
0.652,2.08
0.652,2.08
0.664,2.09
0.669,2.08
0.669,2.08
0.669,2.09
0.683,2.09
0.685,2.08
0.685,2.08
0.702,2.08
0.702,2.08
0.702,2.08
0.719,2.08
0.719,2.08
0.719,2.08
0.719,2.08
0.719,2.08
0.735,2.08
0.735,2.08
0.735,2.08
0.752,1.39
0.752,1.39
0.752,1.4
0.768,1.4
0.768,1.4
0.768,1.4
0.768,1.91
0.785,1.4
0.785,1.39
0.785,1.4
0.802,1.4
0.808,1.4
0.813,1.4
0.818,1.39
0.818,1.42
0.830,1.4
0.833,1.4
0.835,1.4
0.843,1.4
0.846,1.39
0.853,2.08
0.856,2.08
0.864,2.09
0.869,2.08
0.873,2.09
0.876,2.09
0.884,2.08
0.885,2.09
0.894,2.09
0.895,2.09
0.904,2.08
0.908,2.09
0.910,2.09
0.919,2.08
0.919,2.09
0.928,2.09
0.930,2.09
0.939,2.09
0.943,2.09
0.948,2.09
0.952,2.08
0.958,2.09
0.961,2.08
0.968,2.08
0.969,2.09
0.978,2.09
0.981,1.37
0.988,1.37
0.993,1.37
0.998,1.37
1.002,1.37
1.008,1.37
1.012,1.37
1.018,2.08
1.018,2.09
1.018,2.09
1.032,2.08
1.035,2.09
1.043,2.08
1.046,2.06
1.054,2.08
1.058,2.08
1.063,2.08
1.068,2.08
1.073,2.08
1.078,2.08
1.083,2.09
1.085,2.08
1.093,2.08
1.096,2.08
1.102,2.08
1.108,2.08
1.110,2.08
1.118,2.08
1.118,2.09
1.118,2.08
1.133,2.08
1.135,2.08
1.143,2.08
1.146,2.06
1.162,2.08
1.162,2.08
1.162,2.08
1.168,2.08
1.174,2.08
1.178,2.09
1.182,2.08
1.185,2.08
1.193,2.09
1.195,2.09
1.203,2.08
1.204,2.09
1.213,1.62
1.218,1.39
1.223,1.39
1.228,1.39
1.233,1.38
1.238,1.38
1.243,1.39
1.248,2.08
1.254,1.39
1.257,1.39
1.257,1.38
1.268,1.39
1.273,1.38
1.278,2.05
1.283,2.09
1.288,1.38
1.293,1.38
1.298,1.39
1.302,1.38
1.302,1.38
1.312,1.39
1.318,2.08
1.318,2.08
1.318,2.09
1.333,2.09
1.335,2.08
1.342,2.09
1.345,2.09
1.351,2.08
1.357,2.08
1.363,2.09
1.368,2.02
1.373,2.08
1.377,2.09
1.381,2.09
1.387,2.08
1.393,2.09
1.397,2.09
1.403,2.08
1.407,2.08
1.413,2.08
1.418,2.08
1.423,2.08
1.428,2.09
1.432,2.08
1.438,2.08
1.443,2.09
1.447,1.39
1.451,1.39
1.456,1.39
1.462,1.39
1.468,1.39
1.472,1.84
1.478,2.08
1.483,2.09
1.487,2.08
1.492,2.08
1.497,2.08
1.501,2.08
1.501,2.09
1.512,2.09
1.514,2.09
1.522,2.09
1.527,2.02
1.532,2.09
1.535,2.08
1.542,2.09
1.544,2.09
1.552,2.08
1.552,2.09
1.563,2.06
1.564,2.09
1.568,2.09
1.578,2.09
1.582,2.09
1.585,2.08
1.592,2.09
1.596,2.09
1.602,2.08
1.602,2.09
1.612,2.09
1.618,2.09
1.618,2.09
1.627,2.09
1.629,2.08
1.638,2.08
1.642,2.09
1.645,2.09
1.652,2.08
1.652,2.09
1.652,2.09
1.667,2.09
1.668,2.09
1.668,1.38
1.682,1.38
1.685,1.38
1.692,1.38
1.694,1.38
1.702,1.38
1.704,2.09
1.711,1.38
1.714,1.38
1.722,1.38
1.726,1.38
1.732,1.38
1.735,1.38
1.742,1.96
1.744,1.38
1.752,1.38
1.754,1.38
1.762,1.38
1.768,1.38
1.772,1.38
1.775,1.31
1.782,2.09
1.785,2.08
1.792,2.09
1.794,2.09
1.802,2.08
1.804,2.09
1.812,2.08
1.814,2.08
1.822,2.08
1.826,2.08
1.832,2.08
1.835,2.08
1.842,2.08
1.844,2.08
1.852,2.08
1.857,2.08
1.860,2.08
1.868,2.09
1.869,2.09
1.869,2.07
1.882,2.09
1.885,2.08
1.892,2.09
1.895,2.09
1.901,2.08
1.902,1.4
1.911,2.08
1.914,1.39
1.919,1.39
1.926,1.39
1.931,1.4
1.936,2.02
1.941,2.08
1.946,2.08
1.952,2.08
1.952,2.08
1.952,2.08
1.966,2.08
1.968,2.08
1.968,2.09
1.981,2.09
1.986,2.05
1.992,2.09
1.995,2.09
2.001,2.08
2.001,2.08
2.012,2.09
2.017,2.09
2.022,2.08
2.027,2.09
2.032,2.09
2.035,2.08
2.041,2.09
2.043,2.09
2.052,2.08
2.052,2.09
2.062,2.09
2.064,2.09
2.071,2.09
2.075,2.09
2.082,2.09
2.085,2.07
2.091,2.09
2.093,2.08
2.102,2.08
2.102,2.09
2.111,2.08
2.113,2.09
2.121,2.08
2.127,2.02
2.131,2.09
2.135,1.37
2.141,1.37
2.143,1.37
2.152,1.37
2.152,1.37
2.161,1.37
2.164,2.09
2.168,2.08
2.177,2.09
2.181,2.09
2.185,2.08
2.191,2.09
2.193,2.09
2.201,2.08
2.202,2.09
2.211,2.09
2.214,2.09
2.221,2.09
2.225,2.09
2.232,2.09
2.235,2.08
2.241,2.08
2.244,2.09
2.252,2.08
2.252,2.09
2.252,2.09
2.266,2.09
2.268,2.09
2.276,2.09
2.279,2.09
2.287,2.08
2.291,2.09
2.295,2.08
2.301,2.06
2.306,2.09
2.311,2.09
2.316,2.09
2.321,2.08
2.326,2.09
2.331,2.08
2.336,2.08
2.338,2.09
2.346,2.08
2.351,2.08
2.356,2.09
2.359,2.09
2.366,2.09
2.368,1.39
2.376,1.39
2.378,1.38
2.386,1.38
2.389,1.38
2.396,2.04
2.397,2.08
2.406,1.39
2.409,1.38
2.415,1.39
2.418,1.39
2.426,1.38
2.429,1.38
2.435,2.08
2.435,1.38
2.446,1.39
2.451,1.39
2.456,1.38
2.460,1.38
2.466,1.38
2.470,2.08
2.476,2.09
2.478,2.09
2.485,2.08
2.490,2.08
2.494,2.09
2.501,2.09
2.502,2.09
2.502,2.09
2.516,2.09
2.519,2.09
2.526,2.09
2.528,2.09
2.536,2.08
2.539,2.09
2.546,2.09
2.551,2.09
2.555,2.09
2.558,2.09
2.566,2.09
2.568,2.09
2.575,2.09
2.577,2.09
2.585,2.08
2.585,2.09
2.596,2.09
2.599,1.39
2.602,1.39
2.602,1.39
2.616,1.39
2.618,1.39
2.626,1.39
2.628,2.09
2.635,2.08
2.638,2.08
2.645,2.09
2.651,2.09
2.652,2.09
2.661,2.09
2.664,2.08
2.671,2.08
2.674,2.09
2.674,2.09
2.685,2.08
2.688,2.08
2.688,2.09
2.700,2.09
2.702,2.09
2.710,2.09
2.713,2.09
2.718,2.08
2.718,2.01
2.730,2.09
2.735,2.08
2.735,2.09
2.745,2.09
2.751,2.09
2.755,2.09
2.760,2.09
2.765,2.09
2.768,2.08
2.775,2.09
2.778,2.09
2.785,2.08
2.787,2.08
2.795,2.09
2.801,2.09
2.805,2.03
2.809,2.09
2.815,2.09
2.818,2.08
2.818,2.09
2.830,1.38
2.835,1.38
2.840,1.38
2.843,1.38
2.850,1.38
2.855,1.38
2.859,1.73
2.865,1.38
2.868,1.38
2.875,1.38
2.880,1.38
2.885,1.38
2.890,1.38
2.891,1.38
2.891,1.38
2.905,1.38
2.909,1.59
2.915,1.38
2.918,2.03
2.925,1.38
2.926,1.38
2.935,2.08
2.938,2.09
2.945,2.09
2.947,2.09
2.955,2.09
2.958,2.09
2.965,2.09
2.968,2.08
2.975,2.08
2.978,2.09
2.985,2.08
2.988,2.07
2.995,2.09
2.997,2.09
3.004,2.09
3.008,2.09
3.015,2.09
3.018,2.08
3.024,2.09
3.027,2.09
3.035,2.08
3.037,2.09
3.045,2.09
3.047,2.09
3.055,2.09
3.059,1.4
3.064,1.39
3.068,1.4
3.075,1.4
3.077,1.39
3.084,1.4
3.087,2.09
3.094,2.08
3.096,2.09
3.105,2.09
3.108,2.09
3.114,2.09
3.119,2.08
3.125,2.09
3.127,2.09
3.135,2.08
3.137,2.09
3.145,2.07
3.146,2.09
3.155,2.09
3.158,2.09
3.164,2.09
3.168,2.08
3.175,2.09
3.177,2.09
3.185,2.08
3.185,2.09
3.194,2.09
3.196,2.09
3.205,2.09
3.209,2.08
3.215,2.09
3.218,2.08
3.225,2.09
3.229,2.08
3.235,2.08
3.235,2.09
3.244,2.09
3.247,2.09
3.254,2.09
3.259,2.08
3.264,2.09
3.270,2.08
3.274,2.08
3.279,2.08
3.285,2.08
3.290,1.38
3.295,1.37
3.300,1.37
3.304,1.37
3.309,1.37
3.315,1.37
3.318,1.38
3.324,2.09
3.326,1.37
3.334,1.37
3.335,1.37
3.344,1.37
3.346,1.37
3.354,1.37
3.358,1.67
3.364,1.37
3.368,1.44
3.374,2.09
3.376,2.09
3.384,2.08
3.385,2.09
3.394,2.09
3.396,2.09
3.404,2.09
3.408,2.09
3.414,2.09
3.418,2.08
3.424,2.09
3.427,2.09
3.434,2.08
3.435,2.09
3.444,2.09
3.446,2.09
3.455,2.09
3.458,2.09
3.464,1.96
3.468,2.08
3.474,2.09
3.476,2.09
3.484,2.08
3.485,2.09
3.494,2.09
3.496,2.09
3.504,2.09
3.509,2.09
3.514,2.09
3.518,2.08
3.524,1.39
3.526,1.38
3.526,1.39
3.539,1.38
3.542,1.38
3.548,1.47
3.551,2.09
3.559,2.05
3.561,1.99
3.569,2.08
3.571,2.09
3.579,2.09
3.581,2.08
3.584,2.08
3.593,2.08
3.598,2.09
3.603,2.08
3.604,2.08
3.604,2.08
3.618,2.08
3.621,2.09
3.628,2.09
3.631,2.08
3.639,2.08
3.644,2.08
3.649,2.09
3.654,2.08
3.659,2.09
3.664,2.09
3.668,2.08
3.674,2.08
3.677,2.09
3.683,2.08
3.687,2.09
3.687,2.08
3.698,2.08
3.701,2.08
3.709,2.09
3.714,2.09
3.719,2.08
3.723,2.09
3.729,2.09
3.734,2.08
3.739,2.08
3.744,2.09
3.749,2.09
3.754,1.39
3.759,1.39
3.764,1.39
3.769,1.39
3.773,1.39
3.779,1.39
3.784,2.08
3.788,1.39
3.788,1.39
3.799,1.39
3.801,1.39
3.809,1.39
3.811,1.39
3.818,2.07
3.822,1.39
3.829,1.39
3.830,1.39
3.838,1.39
3.842,1.39
3.849,1.76
3.851,2.08
3.858,2.09
3.860,2.09
3.869,2.08
3.871,2.09
3.878,2.09
3.880,2.09
3.889,2.09
3.893,2.08
3.899,2.09
3.901,2.08
3.908,2.09
3.910,2.09
3.918,2.08
3.921,2.09
3.928,2.09
3.934,2.09
3.938,2.09
3.941,2.09
3.948,2.09
3.951,2.09
3.959,2.09
3.961,2.09
3.968,2.08
3.970,2.09
3.979,2.09
3.984,1.38
3.985,1.38
3.994,1.38
3.996,1.38
4.001,1.38
4.008,1.38
4.011,2.08
4.018,2.08
4.021,2.09
4.028,2.09
4.031,2.09
4.038,2.09
4.042,2.09
4.048,2.09
4.051,2.08
4.059,2.09
4.060,2.09
4.068,2.08
4.071,2.09
4.078,2.09
4.080,2.09
4.088,2.09
4.092,2.07
4.098,2.09
4.101,2.09
4.109,2.09
4.110,2.09
4.118,2.08
4.122,2.08
4.128,2.09
4.133,2.08
4.135,2.08
4.143,2.08
4.147,2.09
4.151,2.08
4.158,2.09
4.161,2.09
4.168,2.08
4.170,2.09
4.170,2.09
4.183,2.09
4.184,2.07
4.193,2.09
4.195,2.09
4.203,2.08
4.205,2.09
4.213,1.4
4.218,1.39
4.223,1.39
4.226,1.39
4.233,1.39
4.234,1.4
4.243,1.39
4.245,1.48
4.253,1.39
4.255,1.39
4.263,1.39
4.267,1.39
4.272,1.39
4.272,1.4
4.283,2.09
4.288,2.08
4.293,2.08
4.298,2.09
4.301,2.08
4.308,2.09
4.311,2.09
4.318,2.08
4.318,2.09
4.318,2.09
4.333,2.09
4.334,2.09
4.334,2.09
4.348,2.07
4.351,2.08
4.358,2.09
4.360,2.09
4.368,2.08
4.368,2.09
4.378,2.09
4.379,2.09
4.388,2.09
4.391,2.09
4.397,2.09
4.401,2.08
4.408,2.09
4.410,2.09
4.418,2.08
4.421,2.08
4.428,2.09
4.429,2.09
4.438,2.09
4.442,1.62
4.448,1.37
4.451,1.37
4.457,1.37
4.459,1.37
4.467,1.37
4.467,2.08
4.478,2.09
4.480,1.37
4.488,1.37
4.492,1.37
4.498,1.37
4.501,1.37
4.508,1.94
4.510,2.09
4.518,2.08
4.518,2.09
4.528,2.09
4.529,2.09
4.538,2.09
4.543,2.09
4.547,2.09
4.551,2.08
4.558,2.09
4.560,2.09
4.568,2.08
4.571,2.09
4.578,2.09
4.579,2.09
4.587,2.09
4.591,2.08
4.597,2.09
4.601,2.08
4.608,2.09
4.609,2.08
4.617,2.08
4.622,2.09
4.625,2.09
4.632,2.09
4.634,2.09
4.643,2.09
4.644,2.09
4.652,2.08
4.654,2.09
4.662,2.09
4.665,2.08
4.672,2.09
4.675,1.39
4.682,1.38
4.684,1.39
4.692,1.39
4.694,1.39
4.703,1.39
4.704,2.09
4.704,1.38
4.717,1.39
4.718,1.39
4.727,1.39
4.730,1.39
4.737,1.38
4.740,2.09
4.747,2.09
4.751,2.08
4.758,2.09
4.760,2.09
4.768,2.08
4.768,2.08
4.777,2.09
4.779,2.09
4.786,2.08
4.791,2.09
4.797,2.08
4.801,2.08
4.807,2.08
4.809,2.09
4.817,2.08
4.818,2.08
4.827,2.08
4.829,2.09
4.834,2.08
4.840,2.09
4.847,2.09
4.851,2.08
4.857,2.09
4.859,2.09
4.867,2.08
4.868,2.09
4.868,2.09
4.881,2.09
4.884,2.08
4.892,2.09
4.895,2.09
4.901,2.08
4.907,1.39
4.910,1.39
4.917,1.39
4.918,1.39
4.927,1.39
4.930,1.39
4.937,2.08
4.939,1.39
4.947,1.39
4.951,1.39
4.956,1.39
4.959,1.39
4.966,1.39
4.968,1.39
4.968,1.39
4.982,1.39
4.984,1.39
4.992,1.39
4.993,1.39
5.001,2.08
5.004,1.39
5.012,2.09
5.013,2.09
5.022,2.09
5.024,2.09
5.032,2.09
5.035,2.05
5.041,2.09
5.043,2.09
5.051,2.08
5.051,2.09
5.062,2.09
5.067,2.09
5.072,2.09
5.075,2.09
5.081,2.09
5.084,2.08
5.092,2.09
5.094,2.09
5.101,2.08
5.104,2.09
5.112,2.09
5.113,2.08
5.122,2.09
5.125,2.08
5.132,2.09
5.135,1.38
5.142,1.38
5.144,1.38
5.152,1.38
5.154,1.38
5.161,1.38
5.167,1.38
5.172,1.38
5.175,1.38
5.181,2.09
5.184,2.08
5.192,2.09
5.194,2.09
5.201,2.08
5.205,2.09
5.212,2.09
5.217,2.09
5.221,2.09
5.225,2.09
5.231,2.09
5.234,2.08
5.241,2.09
5.244,2.09
5.251,2.08
5.253,2.09
5.261,2.09
5.263,2.09
5.271,2.08
5.276,2.08
5.279,2.09
5.287,2.08
5.291,2.09
5.296,2.09
5.302,2.08
5.306,2.09
5.311,2.09
5.316,2.09
5.318,2.09
5.318,2.09
5.331,2.09
5.337,2.08
5.341,2.09
5.343,2.09
5.351,2.08
5.353,2.09
5.361,2.09
5.363,1.4
5.371,1.4
5.376,1.4
5.382,1.33
5.384,2.08
5.391,2.08
5.393,2.08
5.402,2.08
5.404,2.09
5.411,2.09
5.413,2.09
5.421,2.09
5.426,2.09
5.431,2.09
5.435,2.08
5.441,2.09
5.443,2.09
5.451,1.97
5.453,2.09
5.461,2.09
5.463,2.09
5.471,2.09
5.474,2.09
