Elapsed Time (s),Value
0.000,2.09
0.000,2.09
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.016,1.38
0.021,1.38
0.022,1.38
0.022,1.38
0.023,2.08
0.028,1.38
0.032,1.38
0.038,1.38
0.042,2.08
0.045,2.09
0.053,2.09
0.055,2.09
0.062,2.09
0.064,2.09
0.073,2.08
0.074,2.09
0.083,2.09
0.087,2.08
0.092,2.08
0.097,2.08
0.097,2.08
0.107,2.08
0.113,2.08
0.117,2.09
0.122,2.08
0.127,2.08
0.133,2.09
0.138,2.08
0.141,2.08
0.141,2.09
0.154,2.09
0.157,2.08
0.157,2.09
0.167,1.39
0.172,1.39
0.177,1.39
0.182,1.39
0.188,1.39
0.192,1.39
0.197,1.39
0.197,1.39
0.207,1.39
0.212,1.36
0.215,2.09
0.222,2.08
0.227,2.09
0.230,2.09
0.238,2.08
0.240,2.08
0.247,2.09
0.249,2.09
0.257,2.08
0.263,2.09
0.267,2.09
0.272,2.09
0.277,2.08
0.282,2.09
0.288,2.08
0.290,2.08
0.297,2.09
0.299,2.09
0.308,2.08
0.312,2.01
0.317,2.09
0.322,2.09
0.328,2.08
0.332,2.09
0.337,2.08
0.342,2.09
0.347,2.08
0.352,2.09
0.357,2.08
0.362,2.09
0.367,2.09
0.372,2.08
0.377,2.08
0.379,2.09
0.387,2.08
0.389,2.01
0.397,1.37
0.399,1.36
0.407,1.37
0.410,1.32
0.417,2.08
0.422,2.08
0.422,2.09
0.432,2.09
0.437,2.08
0.442,2.09
0.445,2.09
0.452,2.09
0.455,2.08
0.462,2.09
0.464,2.09
0.472,2.01
0.474,2.09
0.482,2.09
0.487,2.08
0.492,2.09
0.494,2.08
0.502,2.09
0.505,2.08
0.512,2.09
0.514,2.09
0.522,2.08
0.524,2.09
0.532,2.09
0.536,2.08
0.542,2.09
0.543,2.09
0.543,2.09
0.557,2.09
0.561,2.08
0.567,2.09
0.571,2.08
0.577,2.07
0.579,2.09
0.586,2.08
0.589,2.09
0.596,2.09
0.599,2.08
0.605,2.08
0.609,2.09
0.609,2.09
0.622,2.09
0.627,1.7
0.631,1.38
0.637,1.38
0.642,1.38
0.647,1.38
0.653,1.38
0.655,1.32
0.662,2.08
0.667,2.09
0.671,2.08
0.671,2.08
0.682,2.09
0.686,2.09
0.688,2.08
0.697,2.09
0.699,2.09
0.704,2.08
0.711,2.08
0.716,2.02
0.721,2.08
0.721,2.08
0.732,2.09
0.736,2.08
0.738,2.08
0.747,2.09
0.750,2.09
0.757,2.08
0.758,2.09
0.758,2.09
0.772,2.08
0.773,2.09
0.773,2.09
0.787,2.08
0.787,2.09
0.797,2.09
0.798,2.09
0.806,2.09
0.809,2.09
0.816,2.07
0.821,2.08
0.826,2.09
0.830,2.08
0.836,2.08
0.841,2.08
0.846,2.09
0.851,2.09
0.854,2.08
0.861,1.38
0.866,1.38
0.871,1.38
0.877,1.39
0.879,1.38
0.886,1.38
0.887,2.09
0.896,1.38
0.898,1.38
0.903,1.38
0.908,1.38
0.916,1.38
0.921,1.39
0.926,2.09
0.928,1.38
0.936,1.38
0.937,1.38
0.946,1.38
0.949,1.38
0.953,2.06
0.958,1.38
0.966,2.09
0.970,2.08
0.976,2.09
0.980,2.08
0.986,2.02
0.987,2.08
0.987,2.09
1.000,2.08
1.004,2.04
1.011,2.09
1.015,2.08
1.020,2.08
1.020,2.09
1.030,2.09
1.036,2.09
1.041,2.08
1.045,2.09
1.051,2.09
1.053,2.09
1.060,2.08
1.063,2.08
1.071,2.08
1.074,2.08
1.080,2.08
1.086,2.09
1.091,1.38
1.094,1.38
1.101,1.38
1.106,1.38
1.111,1.38
1.116,1.38
1.120,1.38
1.125,2.08
1.130,2.08
1.136,2.08
1.141,1.97
1.145,2.08
1.151,2.08
1.156,2.08
