Elapsed Time (s),Value
0.000,2.09
0.000,1.3
0.000,1.3
0.016,1.3
0.016,1.3
0.028,1.3
0.032,1.89
0.036,2.09
0.042,2.09
0.047,2.09
0.052,2.09
0.057,2.09
0.063,2.09
0.070,2.09
0.070,2.09
0.077,2.02
0.082,2.09
0.087,2.09
0.092,2.06
0.097,2.09
0.102,2.09
0.107,2.09
0.113,2.09
0.117,2.09
0.122,2.09
0.127,2.09
0.132,2.09
0.137,2.09
0.140,2.09
0.147,2.09
0.152,2.09
0.157,2.09
0.163,2.09
0.167,2.09
0.172,2.06
0.177,2.09
0.182,2.09
0.186,2.04
0.191,2.09
0.197,2.08
0.202,2.09
0.207,2.09
0.213,2.09
0.216,2.09
0.222,2.09
0.227,2.09
0.232,2.09
0.237,1.3
0.241,1.31
0.246,1.3
0.252,1.3
0.257,1.31
0.265,1.31
0.267,2.08
0.267,1.31
0.277,1.31
0.281,1.31
0.287,1.31
0.289,1.31
0.297,1.31
0.302,1.82
0.307,1.31
0.312,1.31
0.317,1.31
0.321,1.31
0.326,1.31
0.332,1.31
0.337,1.31
0.341,2.09
0.347,2.09
0.352,2.09
0.356,2.09
0.362,2.09
0.367,2.09
0.372,2.09
0.377,2.09
0.381,2.09
0.387,2.09
0.391,2.09
0.396,2.06
0.402,2.09
0.406,2.09
0.412,2.09
0.417,2.09
0.421,2.09
0.427,2.09
0.432,2.09
0.437,2.09
0.440,2.09
0.447,2.09
0.452,2.09
0.456,2.09
0.464,2.09
0.467,1.3
0.468,1.3
0.477,1.3
0.482,1.3
0.487,1.3
0.490,1.3
0.496,2.08
0.502,2.09
0.507,2.09
0.512,2.09
0.517,2.09
0.521,2.09
0.527,2.09
0.532,2.09
0.537,2.09
0.541,2.09
0.547,2.09
0.552,2.09
0.556,2.09
0.562,2.09
0.567,2.09
0.572,2.09
0.577,2.09
0.581,2.09
0.587,2.09
0.591,2.09
0.596,2.09
0.602,2.03
0.604,2.09
0.612,2.09
0.616,2.09
0.618,2.09
0.627,2.09
0.632,2.09
0.637,2.09
0.642,2.09
0.645,2.09
0.645,2.09
0.656,2.09
0.658,2.09
0.658,2.09
0.671,2.09
0.675,2.09
0.675,2.09
0.686,2.09
0.690,2.09
0.690,1.3
0.701,1.3
0.705,1.3
0.710,1.3
0.710,1.3
0.722,1.3
0.726,1.3
0.726,1.46
0.736,1.3
0.740,1.3
0.740,1.3
0.740,1.3
0.756,1.3
0.760,1.3
0.767,2.09
0.772,1.31
0.776,1.3
0.776,1.3
0.787,1.3
0.791,1.3
0.792,1.3
0.802,2.09
0.807,2.09
0.810,2.08
0.810,2.09
0.810,2.09
0.826,2.09
0.826,2.09
0.836,2.09
0.838,2.09
0.838,2.09
0.838,2.09
0.856,1.85
0.859,2.09
0.866,2.09
0.870,2.09
0.870,2.09
0.881,2.09
0.885,2.09
0.891,2.09
0.893,2.09
0.893,2.09
0.906,2.09
0.911,2.09
0.916,2.09
0.921,2.09
0.924,1.97
0.924,1.3
0.924,1.3
0.942,1.31
0.943,1.3
0.951,1.3
0.954,1.33
0.960,2.09
