Elapsed Time (s),Value
0.000,2.09
0.000,2.09
0.016,2.09
0.016,2.09
0.016,2.09
0.016,2.01
0.025,2.09
0.028,2.09
0.035,2.09
0.040,2.09
0.045,2.09
0.050,1.76
0.055,1.84
0.059,2.09
0.063,2.09
0.069,2.09
0.074,2.09
0.079,2.09
0.085,2.09
0.089,2.09
0.095,2.09
0.098,2.09
0.105,2.09
0.110,2.09
0.114,2.09
0.120,2.09
0.125,2.06
0.128,2.09
0.135,2.09
0.136,2.09
0.144,2.09
0.147,2.09
0.155,2.09
0.160,2.09
0.164,1.34
0.170,2.07
0.175,2.09
0.178,2.09
0.184,2.09
0.189,2.09
0.192,2.09
0.199,2.09
0.203,2.09
0.210,2.09
0.211,2.09
0.219,2.09
0.224,2.09
0.229,2.08
0.234,2.09
0.236,2.09
0.244,2.09
0.246,2.09
0.254,2.09
0.259,2.09
0.264,2.09
0.269,2.08
0.274,2.09
0.276,2.09
0.285,1.75
0.290,2.09
0.293,1.3
0.299,1.31
0.303,1.31
0.310,1.31
0.312,2.08
0.320,1.31
0.321,1.31
0.329,1.31
0.335,1.31
0.339,1.31
0.342,1.92
0.350,2.09
0.353,2.09
0.359,2.09
0.362,2.09
0.369,2.09
0.371,2.09
0.379,2.09
0.384,2.09
0.389,2.09
0.392,2.09
0.399,1.31
0.403,1.31
0.409,1.31
0.412,1.31
0.419,1.31
0.423,1.31
0.429,1.31
0.434,1.32
0.439,1.31
0.442,1.31
0.450,1.31
0.453,1.31
0.459,1.93
0.462,2.09
0.469,2.08
0.471,2.09
0.480,2.09
0.482,1.98
0.489,2.09
0.494,2.09
0.499,2.09
0.504,2.09
0.509,2.09
0.514,1.76
0.518,2.08
0.524,2.09
0.530,2.09
0.535,2.08
0.539,2.09
0.543,2.09
0.549,2.09
0.551,2.09
0.559,2.09
0.561,2.09
0.567,2.08
0.567,2.09
0.579,2.09
0.585,2.08
0.589,2.08
0.592,2.09
0.592,2.08
0.624,2.08
0.626,2.08
0.627,2.08
0.627,2.08
0.628,2.09
0.629,1.76
0.636,2.05
0.640,2.09
0.642,2.08
0.642,2.09
0.654,2.09
0.656,2.09
0.663,2.09
0.670,2.09
0.670,2.09
0.670,2.09
0.685,2.09
0.686,2.09
0.686,2.09
0.699,2.09
0.704,2.09
0.709,2.09
0.712,2.09
0.719,2.08
0.719,2.09
0.719,2.09
0.734,2.09
0.736,2.08
0.736,2.09
0.749,1.68
0.752,2.09
0.759,2.09
0.763,2.09
0.769,2.08
0.769,2.09
0.769,2.09
0.785,2.09
0.786,2.08
0.786,2.09
0.799,2.09
0.802,2.09
0.809,2.09
0.811,2.09
0.819,2.09
0.819,2.09
0.829,2.09
0.834,2.09
0.838,2.08
0.844,2.08
0.847,2.09
0.853,2.08
0.853,1.31
0.864,1.31
0.869,1.31
0.874,1.32
0.879,1.77
0.884,2.09
0.885,2.09
0.893,2.09
0.897,2.09
0.902,2.09
0.902,2.09
0.914,2.09
0.916,2.09
0.923,2.09
0.927,2.09
0.934,2.09
0.935,2.08
0.935,2.09
0.949,2.09
0.952,2.08
0.959,2.09
0.961,2.02
0.969,2.08
0.969,1.76
0.969,2.09
0.984,1.31
0.986,1.31
0.986,1.31
0.999,1.32
1.003,1.76
1.008,2.09
1.013,2.09
1.013,2.08
1.026,2.09
1.028,2.09
1.033,2.09
1.036,2.08
1.043,2.09
1.048,2.09
1.052,2.09
1.058,2.09
1.061,2.09
1.069,2.09
1.069,2.09
1.078,2.09
1.083,2.09
1.088,2.09
1.093,1.31
1.098,1.31
1.102,1.31
1.108,1.31
1.110,1.32
1.119,1.71
1.119,2.09
1.119,2.09
1.134,2.09
1.137,2.08
1.137,2.09
1.148,2.09
1.153,2.08
1.158,2.09
1.162,2.09
1.169,2.08
1.170,2.09
1.170,2.06
1.170,2.09
1.186,2.08
1.186,2.08
1.219,2.09
1.235,1.76
1.235,1.32
1.235,1.31
1.235,1.32
1.235,1.32
