Elapsed Time (s),Value
0.003,0.99
0.006,0.99
0.013,0.99
0.018,0.98
0.023,0.98
0.028,0.98
0.032,0.98
0.035,0.98
0.041,0.98
0.048,0.98
0.053,1.0
0.057,0.98
0.063,0.98
0.065,0.98
0.073,0.98
0.078,0.98
0.083,0.98
0.089,0.97
0.091,0.98
0.098,0.97
0.100,0.97
0.108,0.97
0.109,0.96
0.116,0.97
0.123,0.96
0.127,0.99
0.132,0.96
0.135,0.97
0.143,0.97
0.145,0.96
0.151,0.96
0.157,0.98
0.163,0.97
0.167,0.96
0.173,1.04
0.177,0.97
0.180,0.97
0.186,0.97
0.193,0.97
0.195,0.99
0.201,0.97
0.208,0.98
0.211,1.17
0.217,0.98
0.223,0.98
0.228,0.96
0.230,1.02
0.235,0.99
0.243,0.99
0.245,0.96
0.250,0.97
0.258,0.97
0.259,0.98
0.265,0.96
0.273,0.96
0.277,0.97
0.281,0.96
0.286,0.95
0.293,0.95
0.295,0.95
0.300,0.95
0.307,0.93
0.310,0.96
0.317,0.96
0.323,0.95
0.327,0.94
0.330,0.96
0.336,0.97
0.343,0.99
0.346,0.96
0.351,0.96
0.358,0.96
0.361,0.98
0.365,0.97
0.373,0.96
0.377,0.96
0.383,0.94
0.385,0.95
0.393,0.94
0.395,0.96
0.400,0.96
0.407,0.96
0.411,0.95
0.416,0.95
0.423,0.95
0.428,0.94
0.430,0.96
0.435,0.94
0.443,0.97
0.446,0.97
0.450,0.99
0.458,1.05
0.462,1.04
0.465,1.06
0.473,1.06
0.478,0.98
0.480,0.94
0.486,1.0
0.493,1.0
0.495,1.07
0.500,0.95
0.507,1.03
0.510,0.98
0.517,0.94
0.522,0.97
0.528,0.93
0.529,0.95
0.535,0.96
0.543,0.99
0.547,1.07
0.551,1.05
0.557,1.01
0.562,1.02
0.567,1.05
0.573,1.08
0.577,1.06
0.581,1.02
0.586,1.02
0.592,1.07
0.597,0.98
0.628,0.96
0.639,0.98
0.639,0.99
0.640,0.99
0.640,0.99
0.640,1.04
0.640,1.05
0.640,1.04
0.640,1.01
0.640,1.04
0.652,1.06
0.652,1.05
0.660,1.05
0.660,1.1
0.672,1.12
0.672,1.09
0.688,1.02
0.689,1.09
0.690,1.07
0.690,1.09
0.701,1.05
0.705,1.06
0.712,1.09
0.712,1.07
0.722,1.04
0.727,1.09
0.729,1.16
0.737,1.11
0.742,1.03
0.746,1.02
0.746,1.1
0.756,1.04
0.762,1.02
0.767,1.06
0.773,1.14
0.777,1.1
0.781,1.0
0.785,1.07
0.793,1.12
0.797,1.06
0.799,1.03
