Elapsed Time (s),Value
0.000,1.05
0.000,1.03
0.000,1.0
0.001,1.04
0.004,1.03
0.009,1.04
0.014,1.01
0.018,1.03
0.024,1.04
0.029,1.05
0.033,1.01
0.038,1.01
0.043,1.04
0.048,1.05
0.054,1.02
0.059,1.05
0.064,1.06
0.067,1.05
0.074,1.02
0.076,1.02
0.083,1.04
0.088,1.04
0.093,1.01
0.099,1.03
0.104,1.05
0.105,1.02
0.110,1.0
0.119,1.04
0.121,1.04
0.129,1.04
0.134,1.02
0.139,0.97
0.141,0.98
0.149,0.97
0.151,0.96
0.158,0.98
0.161,0.97
0.167,0.98
0.174,0.96
0.177,0.98
0.184,1.05
0.189,1.04
0.193,1.02
0.199,1.06
0.204,1.06
0.209,0.98
0.213,0.97
0.217,0.98
0.223,0.98
0.229,0.98
0.234,0.97
0.238,0.98
0.243,0.98
0.249,0.98
0.254,1.06
0.257,1.09
0.264,1.1
0.269,1.09
0.274,1.06
0.279,1.06
0.283,1.1
0.289,1.1
0.294,1.06
0.299,1.09
0.303,1.09
0.308,1.09
0.313,1.06
0.319,1.05
0.323,1.09
0.328,1.09
0.334,1.06
0.338,1.09
0.343,1.09
0.349,1.09
0.351,1.06
0.358,1.05
0.362,1.1
0.368,1.1
0.373,1.07
0.377,1.09
0.383,1.1
0.388,0.97
0.391,0.97
0.399,0.97
0.404,0.97
0.408,0.97
0.411,0.97
0.419,0.97
0.424,1.09
0.428,1.09
0.433,1.05
0.439,1.06
0.441,1.09
0.449,1.09
0.453,1.07
0.458,1.09
0.463,1.1
0.468,1.11
0.474,1.03
0.477,1.07
0.484,1.1
0.488,1.1
0.491,0.98
0.499,0.98
0.503,0.98
0.509,0.98
0.511,0.98
0.518,0.98
0.524,0.98
0.526,0.98
0.534,0.98
0.539,0.97
0.542,0.96
0.549,0.98
0.554,0.98
0.555,0.98
0.555,1.08
0.566,1.09
0.566,1.08
0.578,1.11
0.583,1.08
0.600,1.07
0.603,1.04
0.603,1.05
0.604,1.06
0.606,1.08
0.606,0.97
0.618,0.96
0.620,0.97
0.628,0.97
0.633,0.98
0.654,0.97
0.655,0.98
0.655,0.98
0.655,0.98
0.659,0.97
0.685,0.98
0.699,0.98
0.699,0.98
0.708,0.98
0.708,0.98
0.709,0.97
0.709,0.98
0.709,0.98
0.710,0.98
0.710,0.98
0.714,0.98
0.719,0.97
0.739,0.97
0.739,0.98
0.739,0.98
0.739,0.98
0.742,0.98
0.749,0.98
0.753,0.99
0.756,0.99
0.760,0.99
0.769,0.99
0.772,0.99
0.777,0.99
0.783,0.99
0.788,0.99
0.792,0.99
0.798,0.98
0.804,0.99
0.808,0.99
0.811,1.0
0.819,0.99
0.822,0.99
0.826,0.99
0.834,0.99
0.838,1.05
0.842,1.02
0.846,1.03
0.854,0.99
0.856,0.98
0.861,0.98
0.868,0.98
0.873,0.98
0.876,0.96
0.883,0.96
0.888,0.96
0.891,0.97
0.898,0.96
0.901,0.96
0.906,0.96
0.911,0.97
0.918,0.95
0.923,0.95
0.926,0.94
0.933,0.94
0.937,0.95
0.941,0.94
0.949,0.96
0.953,0.96
0.956,0.95
0.960,1.01
0.969,1.01
0.971,1.0
0.976,0.95
0.983,0.95
0.987,0.97
0.993,0.98
0.999,0.98
1.003,0.98
1.005,0.98
1.011,0.99
1.018,0.99
1.020,1.0
1.026,1.0
1.033,1.0
1.036,1.0
1.043,1.0
1.049,1.0
1.053,1.06
1.056,1.06
1.061,1.08
1.069,1.07
1.071,1.06
1.076,1.04
1.083,1.07
1.088,1.07
1.091,1.05
1.098,1.07
1.103,0.97
1.108,0.97
1.113,0.98
1.120,1.04
1.123,1.06
1.128,1.06
1.132,1.05
1.137,1.07
1.142,1.07
1.148,1.07
1.153,1.05
1.158,1.04
1.163,1.06
1.169,1.07
1.173,1.04
1.178,1.07
1.182,1.07
1.188,1.07
1.193,1.04
1.198,1.03
1.204,1.06
1.208,1.07
1.213,1.04
1.218,1.07
1.224,1.06
1.228,1.06
1.232,1.04
1.237,1.05
1.242,1.06
1.248,1.07
1.249,1.04
1.258,1.08
1.263,1.07
1.268,1.08
1.273,1.05
1.277,1.04
1.283,1.06
1.288,1.07
1.292,1.04
1.297,1.06
1.303,1.06
1.308,1.06
1.313,1.03
1.318,1.04
1.322,1.07
1.328,1.06
1.332,1.06
1.338,1.08
1.343,1.08
1.347,1.08
1.353,1.04
1.357,1.06
1.362,1.04
1.368,1.03
1.373,1.03
1.377,1.06
1.383,1.06
1.388,1.06
