Elapsed Time (s),Value
0.000,1.0
0.000,0.96
0.001,0.97
0.001,0.97
0.001,0.96
0.001,0.96
0.002,1.0
0.006,1.0
0.011,1.0
0.016,0.96
0.021,0.97
0.026,0.96
0.029,0.96
0.035,0.95
0.040,1.02
0.049,1.05
0.051,1.01
0.055,0.94
0.061,0.97
0.066,0.97
0.069,0.98
0.076,0.97
0.081,0.96
0.085,1.04
0.091,1.0
0.096,0.94
0.100,0.94
0.106,0.96
0.112,0.95
0.117,0.94
0.120,0.94
0.126,1.01
0.133,1.02
0.136,0.93
0.140,0.96
0.146,0.96
0.151,0.96
0.155,0.94
0.161,0.95
0.166,1.06
0.171,1.06
0.175,0.95
0.181,0.95
0.185,0.95
0.188,0.94
0.194,0.94
0.200,0.94
0.205,1.05
0.210,1.04
0.215,0.93
0.221,0.96
0.226,0.97
0.232,0.96
0.236,0.95
0.241,0.96
0.246,1.04
0.250,1.05
0.256,0.96
0.260,0.99
0.266,0.98
0.271,0.96
0.275,0.97
0.281,0.94
0.286,1.03
0.291,1.04
0.296,0.96
0.301,0.97
0.306,0.97
0.311,0.96
0.315,0.94
0.321,0.97
0.325,1.09
0.330,1.09
0.335,0.94
0.338,0.94
0.345,0.94
0.351,1.05
0.353,0.96
0.361,1.01
0.366,1.01
0.368,1.01
0.375,1.01
0.381,0.99
0.384,1.03
0.391,1.02
0.396,1.01
0.401,1.03
0.406,1.04
0.410,1.02
0.416,0.97
0.421,0.96
0.426,0.98
0.431,0.94
0.436,0.92
0.441,0.91
0.446,0.99
0.451,0.99
0.456,0.92
0.461,0.95
0.465,0.95
0.471,0.96
0.476,0.92
0.480,0.92
0.486,1.02
0.491,1.01
0.496,0.96
0.499,0.97
0.505,0.98
0.511,1.0
0.515,0.95
0.521,1.03
0.526,1.03
0.530,1.03
0.533,0.97
0.538,0.97
0.546,1.0
0.549,0.94
0.555,0.94
0.561,0.95
0.563,1.19
0.569,1.07
0.576,0.98
0.581,0.99
0.582,0.99
0.591,1.06
0.596,1.01
0.601,0.99
0.606,1.05
0.611,1.03
0.616,0.99
0.619,0.99
0.625,0.97
0.630,0.95
0.636,0.98
0.639,0.96
0.643,1.11
0.661,1.06
0.662,0.94
0.663,0.97
0.665,0.96
0.667,0.97
0.675,0.96
0.680,0.95
0.685,1.16
0.686,1.06
0.694,0.95
0.694,1.06
0.694,0.95
0.711,0.94
0.711,0.94
0.711,0.94
0.722,1.1
0.728,1.08
0.728,1.05
0.728,0.94
0.744,0.95
0.767,0.95
0.767,0.93
0.768,0.93
0.768,1.09
0.771,1.07
0.776,0.94
0.801,0.94
0.801,0.94
0.802,0.94
0.803,0.95
0.803,0.95
0.805,1.07
0.812,1.07
0.816,0.95
0.817,0.95
0.823,0.95
0.831,0.95
0.835,0.94
0.840,0.94
0.845,1.07
0.850,1.06
0.855,0.93
0.861,1.07
0.866,0.93
0.870,1.05
0.875,1.04
0.880,1.04
0.885,1.04
0.891,1.05
0.896,1.05
0.900,1.05
0.905,1.05
0.910,1.04
0.915,1.03
0.920,1.05
0.926,1.05
0.931,1.06
0.935,1.07
0.940,1.07
0.946,1.07
0.950,1.04
0.955,1.04
0.960,1.03
0.966,1.07
0.970,1.05
0.976,0.93
0.980,0.93
0.985,1.05
0.990,0.94
0.996,0.94
1.000,0.93
1.004,1.05
1.010,1.05
1.016,0.94
1.021,0.94
1.025,0.94
1.030,0.95
1.036,0.95
1.040,0.94
1.045,1.05
1.050,1.04
1.055,0.94
1.060,0.94
1.065,1.03
1.070,0.94
1.076,0.95
1.081,0.93
1.086,1.05
1.090,1.05
1.095,0.94
1.100,0.94
1.105,0.94
1.110,0.94
1.115,0.93
1.120,0.94
1.125,1.05
1.131,1.04
1.135,0.93
1.139,0.93
1.146,0.93
1.148,0.93
1.153,0.93
1.160,0.94
1.164,1.05
1.169,1.04
1.176,0.94
1.181,0.95
1.186,1.03
1.191,0.94
1.195,0.94
1.200,0.94
1.205,1.06
1.211,1.05
1.215,0.93
1.220,0.93
1.225,0.92
1.230,0.93
1.235,0.93
1.240,0.93
1.246,1.04
1.251,1.04
1.256,0.93
1.260,0.94
1.265,0.95
1.271,0.94
1.276,0.94
1.281,0.98
1.286,1.05
1.290,1.03
1.295,0.95
1.301,0.94
1.306,0.94
1.311,0.94
1.315,0.95
1.320,0.94
1.325,1.05
1.331,1.05
1.336,0.93
1.340,0.93
1.346,0.93
1.351,0.99
1.353,0.94
1.360,0.93
1.366,1.05
1.368,1.05
1.373,0.94
1.381,0.95
1.383,0.94
1.388,0.95
1.395,1.05
1.399,0.95
1.406,1.05
1.411,1.06
1.416,0.94
1.418,0.94
1.424,0.95
1.431,0.94
1.432,0.93
1.439,0.94
1.445,1.06
1.450,1.06
1.453,0.93
1.460,0.94
1.465,0.96
1.468,0.96
1.473,0.94
1.480,0.99
1.483,1.06
1.488,1.06
1.495,0.95
1.500,0.94
1.505,0.95
1.511,1.04
1.516,1.04
1.519,1.05
1.524,1.06
1.530,1.07
1.532,0.94
1.538,0.94
1.546,0.95
1.548,0.94
1.553,0.93
1.561,0.93
1.565,1.06
1.568,1.07
1.573,0.95
1.581,0.93
1.582,1.04
1.590,0.96
1.595,0.95
1.600,0.95
1.602,1.07
1.611,1.07
1.616,0.95
1.618,0.93
1.624,0.94
1.631,0.97
1.635,0.96
1.638,0.95
1.645,1.07
1.650,1.07
1.653,0.94
1.661,0.94
1.665,0.95
1.667,0.96
1.673,0.96
1.681,0.94
1.683,1.08
1.691,1.08
1.695,0.93
1.700,0.94
1.702,1.04
1.711,0.96
1.715,0.96
1.721,0.94
1.723,1.08
1.731,1.07
1.732,0.95
1.738,0.94
1.745,0.94
1.749,0.96
1.755,0.96
1.761,0.94
1.765,1.07
1.769,1.06
1.772,0.95
1.780,0.93
1.784,1.04
1.788,0.97
1.795,0.97
1.799,0.94
1.802,1.06
1.811,1.08
1.815,0.93
1.817,0.93
1.822,0.94
1.831,0.97
1.833,0.97
1.838,0.94
1.845,1.05
1.851,1.04
1.853,0.94
1.861,0.95
1.864,0.94
1.868,0.98
1.873,0.99
1.880,0.94
1.883,1.05
1.887,1.06
1.896,0.94
1.901,0.96
1.903,0.96
1.911,0.95
1.915,0.93
1.917,0.95
1.923,1.06
1.930,1.05
1.933,0.94
1.938,0.93
1.945,0.93
1.951,0.94
1.953,0.93
1.960,0.96
1.966,1.08
1.969,1.08
1.976,0.95
1.980,0.95
1.982,0.97
1.988,0.97
1.995,0.96
2.000,0.92
2.002,1.09
2.011,1.06
2.016,0.97
2.021,0.94
2.026,0.97
2.030,0.95
2.036,0.96
2.038,0.94
2.046,1.06
2.050,1.05
2.055,0.97
2.061,0.94
2.065,0.95
2.070,0.94
2.075,0.96
2.080,0.98
2.085,1.25
2.090,1.27
2.094,1.02
2.100,1.01
2.105,1.02
2.110,0.96
2.114,1.01
2.119,1.01
2.124,1.17
2.130,1.24
2.135,1.02
2.140,0.95
2.146,1.02
2.150,0.96
2.155,1.01
2.160,0.97
2.165,1.2
2.169,1.25
2.175,1.03
2.180,1.03
2.185,1.12
2.190,0.98
2.196,0.97
2.200,0.95
2.205,1.14
2.210,1.18
2.215,1.08
2.220,1.11
2.225,1.13
2.230,1.01
2.235,1.14
2.240,1.06
2.246,1.23
2.250,1.11
2.255,1.13
2.260,1.12
2.265,1.13
2.270,1.01
2.275,1.14
2.280,1.04
2.285,1.18
2.290,1.08
2.296,1.09
2.300,1.1
2.305,1.11
