Elapsed Time (s),Value
0.002,1.05
0.007,1.1
0.012,1.08
0.017,0.99
0.022,0.95
0.027,0.94
0.032,0.92
0.037,0.98
0.042,0.95
0.047,0.96
0.052,0.94
0.057,0.96
0.063,0.94
0.067,0.95
0.071,0.94
0.074,0.96
0.082,1.02
0.087,1.05
0.092,0.99
0.097,0.99
0.102,0.96
0.104,0.98
0.112,0.92
0.117,0.97
0.122,0.97
0.125,1.0
0.131,1.01
0.137,1.03
0.142,1.04
0.147,1.2
0.152,1.11
0.157,1.15
0.159,1.12
0.167,1.25
0.172,1.24
0.175,1.19
0.180,1.18
0.187,0.96
0.192,1.12
0.195,1.16
0.202,1.11
0.207,1.2
0.211,1.02
0.217,1.15
0.222,1.1
0.224,1.17
0.230,1.19
0.237,1.1
0.241,1.11
0.246,1.08
0.252,1.09
0.257,1.08
0.262,1.0
0.267,1.07
0.272,1.05
0.276,1.17
0.279,1.05
0.287,1.09
0.291,1.09
0.296,1.14
0.301,0.99
0.308,1.12
0.352,1.08
0.354,1.12
0.400,1.14
0.420,1.19
0.421,1.1
0.421,1.17
0.422,1.05
0.422,1.16
0.422,1.16
0.423,1.18
0.423,1.14
0.424,1.15
0.424,1.04
0.424,1.18
0.425,1.14
0.425,1.1
0.425,1.12
0.426,1.1
0.426,1.06
0.426,1.14
0.427,1.07
0.427,1.15
0.427,0.99
0.428,1.01
0.429,0.98
0.440,1.0
0.442,0.97
0.447,1.11
0.452,1.06
0.453,1.1
0.459,1.08
0.467,0.98
0.472,1.07
0.477,1.05
0.479,1.04
0.487,0.98
0.489,1.06
0.494,1.07
0.501,1.06
0.507,1.07
0.512,1.06
0.516,1.05
0.522,0.98
0.524,0.97
0.531,0.97
0.536,1.08
0.539,1.07
0.546,1.08
0.552,0.97
0.554,0.97
0.560,0.97
0.566,0.97
0.572,0.97
0.574,0.96
0.580,1.05
0.587,1.08
0.592,1.08
0.596,1.11
0.602,1.09
0.604,0.98
0.611,0.98
0.616,0.97
0.622,0.97
0.627,0.98
0.632,0.98
0.637,0.97
0.639,0.97
0.644,0.95
0.651,0.96
0.656,0.98
0.661,0.98
0.667,0.97
0.671,0.98
0.674,1.0
0.680,1.0
0.686,1.02
0.692,1.0
0.695,1.01
0.701,0.97
0.707,0.98
0.710,0.98
0.716,0.97
0.722,0.97
0.726,0.97
0.729,0.97
0.736,0.97
0.741,0.97
0.744,0.97
0.752,0.97
0.756,1.0
0.760,1.0
0.767,1.0
0.772,1.0
0.777,1.0
0.781,1.15
0.786,1.0
0.792,1.0
0.797,1.0
0.801,0.99
0.805,0.98
0.809,0.99
0.816,0.99
0.822,0.98
0.823,1.0
0.831,0.99
0.834,0.99
0.839,1.0
0.846,1.0
0.852,1.0
0.856,1.01
0.859,1.0
0.866,1.0
0.871,1.0
0.875,0.99
0.879,1.0
0.886,0.99
0.890,0.99
0.895,0.98
0.902,0.99
0.904,0.98
0.912,0.98
0.916,0.99
0.921,0.99
0.926,0.99
0.930,0.98
0.936,0.98
0.939,0.99
0.945,1.01
0.952,1.0
0.956,1.0
0.959,1.0
0.966,1.0
0.970,0.99
0.976,0.99
0.981,0.99
0.986,0.99
0.991,0.99
0.996,1.0
1.001,1.0
1.006,1.0
1.011,1.01
1.017,1.0
1.022,1.0
1.027,1.0
1.032,0.99
1.036,0.99
1.041,0.99
1.046,0.97
1.052,0.99
1.056,0.98
1.058,0.99
1.066,0.99
1.072,0.99
1.076,1.01
1.082,1.02
1.087,1.0
1.092,1.02
1.097,1.01
1.101,1.01
1.107,0.99
1.112,0.99
1.117,1.0
1.121,1.07
1.126,0.99
1.132,0.99
1.136,0.98
1.139,0.99
1.147,0.99
1.152,0.98
1.156,1.0
1.162,1.0
1.167,0.99
1.172,1.1
1.177,0.99
1.182,0.98
1.186,0.99
1.192,0.98
1.197,0.98
1.201,0.98
1.207,0.97
1.211,0.98
1.217,0.97
1.221,0.98
1.224,1.02
1.232,0.98
1.236,0.99
1.239,1.0
1.247,1.0
1.252,0.99
1.257,1.0
1.262,1.0
1.266,1.0
1.272,1.0
1.277,1.0
1.282,1.01
1.286,1.02
1.289,0.99
1.294,0.99
1.302,0.97
1.306,0.97
1.309,0.98
1.316,0.99
1.321,0.99
1.323,0.98
1.330,0.98
1.337,0.98
1.339,0.99
1.344,0.99
1.351,1.0
1.354,0.99
1.362,0.99
1.367,0.99
1.371,0.99
1.376,0.99
1.379,0.98
1.386,0.96
1.389,0.95
1.396,0.97
1.401,0.97
1.405,0.99
1.410,0.97
1.416,0.96
1.421,0.96
1.424,0.99
1.429,0.96
1.437,0.96
1.439,0.98
1.444,0.99
1.451,0.98
1.457,0.99
1.459,0.99
1.466,0.98
1.471,0.98
1.473,0.98
