Latitude,Longitude,Value
51.0133323,3.7081312,-18.39
51.0133301,3.7081176,-11.0
51.0133291,3.7081025,-12.74
51.0133278,3.7080882,-15.73
51.0133271,3.7080741,-17.32
51.0133187,3.7080757,-16.96
51.0133199,3.7080898,-20.51
51.0133215,3.708105,-22.09
51.0133222,3.7081191,-23.56
51.0133242,3.7081336,-21.61
51.0133144,3.7081339,-14.08
51.0133137,3.7081196,-14.02
51.0133123,3.7081049,-13.96
51.013311,3.7080911,-12.86
51.0133099,3.7080769,-16.11
51.0133008,3.7080783,-19.54
51.0133022,3.7080927,-19.73
51.0133035,3.7081073,-18.39
51.0133041,3.7081215,-17.9
51.0133056,3.7081358,-21.36
51.0132963,3.7081385,-14.69
51.0132949,3.7081241,-10.12
51.0132938,3.7081101,-11.5
51.0132927,3.7080953,-21.6
51.0132916,3.7080808,-19.13
