timestamp(ms),GPA[0].HAcc,GPS[0].NSats
254168.368,NaN,NaN
254268.368,0.26,26
254368.368,0.26,26
254468.368,0.26,26
254568.368,0.26,26
254668.368,0.26,26
254768.368,0.26,26
254868.368,0.26,26
254968.368,0.26,26
255068.368,0.26,26
255168.368,0.26,26
255268.368,0.26,26
255368.368,0.26,26
255468.368,0.26,26
255568.368,0.26,26
255668.368,0.26,26
255768.368,0.26,26
255868.368,0.26,26
255968.368,0.26,26
256068.368,0.26,26
256168.368,0.26,26
256268.368,0.26,26
256368.368,0.26,26
256468.368,0.26,26
256568.368,0.26,26
256668.368,0.26,26
256768.368,0.26,26
256868.368,0.26,26
256968.368,0.26,26
257068.368,0.26,26
257168.368,0.26,26
257268.368,0.26,26
257368.368,0.26,26
257468.368,0.26,26
257568.368,0.26,26
257668.368,0.26,26
257768.368,0.26,26
257868.368,0.26,26
257968.368,0.26,26
258068.368,0.26,26
258168.368,0.26,26
258268.368,0.26,26
258368.368,0.26,26
258468.368,0.26,26
258568.368,0.26,26
258668.368,0.26,26
258768.368,0.26,26
258868.368,0.26,26
258968.368,0.25,26
259068.368,0.25,26
259168.368,0.25,26
259268.368,0.25,26
259368.368,0.25,26
259468.368,0.25,26
259568.368,0.25,26
259668.368,0.25,26
259768.368,0.25,26
259868.368,0.25,26
259968.368,0.25,26
260068.368,0.25,26
260168.368,0.25,26
260268.368,0.25,26
260368.368,0.25,26
260468.368,0.25,26
260568.368,0.25,26
260668.368,0.25,26
260768.368,0.25,26
260868.368,0.25,26
260968.368,0.25,26
261068.368,0.25,26
261168.368,0.25,26
261268.368,0.25,26
261368.368,0.25,26
261468.368,0.25,26
261568.368,0.25,26
261668.368,0.25,26
261768.368,0.25,26
261868.368,0.25,26
261968.368,0.25,26
262068.368,0.25,26
262168.368,0.25,26
262268.368,0.25,26
262368.368,0.25,26
262468.368,0.25,26
262568.368,0.25,26
262668.368,0.25,26
262768.368,0.25,26
262868.368,0.25,26
262968.368,0.25,26
263068.368,0.25,26
263168.368,0.25,26
263268.368,0.25,26
263368.368,0.25,26
263468.368,0.25,26
263568.368,0.25,26
263668.368,0.25,26
263768.368,0.25,26
263868.368,0.25,26
263968.368,0.25,26
264068.368,0.25,26
264168.368,0.25,26
264268.368,0.25,26
264368.368,0.25,26
264468.368,0.25,26
264568.368,0.25,26
264668.368,0.25,26
264768.368,0.25,26
264868.368,0.25,26
264968.368,0.25,26
265068.368,0.25,26
265168.368,0.25,26
265268.368,0.25,26
265368.368,0.25,26
265468.368,0.25,26
265568.368,0.25,26
265668.368,0.25,26
265768.368,0.25,26
265868.368,0.25,25
265968.368,0.25,25
266068.368,0.25,25
266168.368,0.25,25
266268.368,0.25,25
266368.368,0.25,25
266468.368,0.25,25
266568.368,0.25,25
