Second,Average,Min,Max,Median
0,-59.92538011727067,-60.0,-56.39999999999999,-60.0
1,-59.89766643590293,-60.0,-52.8,-60.0
2,-59.9279897719503,-60.0,-55.599999999999994,-60.0
3,-59.99309463547182,-60.0,-58.8,-60.0
4,-59.903537379819475,-60.0,-53.599999999999994,-60.0
5,-59.9048865905586,-60.0,-54.0,-60.0
6,-59.912685583398826,-60.0,-54.8,-60.0
7,-59.90017760857155,-60.0,-54.0,-60.0
8,-59.98043249622875,-60.0,-58.0,-60.0
9,-59.94655066110344,-60.0,-56.39999999999999,-60.0
10,-59.84470809028312,-60.0,-53.2,-60.0
11,-59.877809232896354,-60.0,-54.400000000000006,-60.0
12,-59.758878200713625,-60.0,-53.2,-60.0
13,-59.90975547055177,-60.0,-54.400000000000006,-60.0
14,-59.987317741092255,-60.0,-58.0,-60.0
15,-59.92317001517905,-60.0,-54.8,-60.0
16,-59.81550447796767,-60.0,-54.400000000000006,-60.0
17,-59.95770383409264,-60.0,-55.999999999999986,-60.0
18,-59.81378277438189,-60.0,-53.2,-60.0
19,-59.98400833711966,-60.0,-57.599999999999994,-60.0
20,-59.890445502437004,-60.0,-53.2,-60.0
21,-59.884426091061414,-60.0,-53.599999999999994,-60.0
22,-59.95548583414102,-60.0,-57.599999999999994,-60.0
23,-59.90753624042431,-60.0,-54.0,-60.0
24,-59.9383907672009,-60.0,-56.8,-60.0
25,-59.903959558383434,-60.0,-56.8,-60.0
26,-59.91118313832168,-60.0,-54.400000000000006,-60.0
27,-59.976444771256176,-60.0,-58.39999999999999,-60.0
28,-59.804391881551254,-60.0,-54.0,-60.0
29,-59.8803663507035,-60.0,-54.0,-60.0
30,-59.80953460549992,-60.0,-53.599999999999994,-60.0
31,-59.96729327026251,-60.0,-55.999999999999986,-60.0
32,-59.865322675737644,-60.0,-53.599999999999994,-60.0
33,-59.93608720650899,-60.0,-56.39999999999999,-60.0
34,-59.85870688993552,-60.0,-54.0,-60.0
35,-59.97016652558674,-60.0,-57.599999999999994,-60.0
36,-59.91613573398715,-60.0,-57.19999999999999,-60.0
37,-59.900054589512735,-60.0,-53.599999999999994,-60.0
38,-59.9364300013513,-60.0,-54.400000000000006,-60.0
39,-59.83105653410637,-60.0,-54.8,-60.0
40,-59.94324578298909,-60.0,-54.400000000000006,-60.0
41,-59.49528678363449,-60.0,-49.599999999999994,-60.0
42,-59.938784620409855,-60.0,-54.8,-60.0
43,-59.99033815371427,-60.0,-58.39999999999999,-60.0
44,-59.97712833278902,-60.0,-57.599999999999994,-60.0
45,-59.86907087652809,-60.0,-54.400000000000006,-60.0
46,-59.772623602711015,-60.0,-53.599999999999994,-60.0
47,-59.946791980834284,-60.0,-55.19999999999999,-60.0
48,-59.99309463547182,-60.0,-58.8,-60.0
49,-60.0,-60.0,-60.0,-60.0
50,-59.898829859739244,-60.0,-53.599999999999994,-60.0
51,-59.91790539257886,-60.0,-54.400000000000006,-60.0
52,-59.861859371391375,-60.0,-54.400000000000006,-60.0
53,-59.99033815371427,-60.0,-58.39999999999999,-60.0
54,-59.96207349502691,-60.0,-55.599999999999994,-60.0
55,-59.95994803089451,-60.0,-56.8,-60.0
56,-59.8699153925734,-60.0,-54.400000000000006,-60.0
57,-59.96535572478804,-60.0,-56.8,-60.0
58,-59.83694202503628,-60.0,-53.599999999999994,-60.0
59,-59.96780716698361,-60.0,-58.0,-60.0
60,-59.887133991088064,-60.0,-56.39999999999999,-60.0
61,-59.92869505028708,-60.0,-55.19999999999999,-60.0
62,-59.947822669010534,-60.0,-55.999999999999986,-60.0
63,-59.869570356231236,-60.0,-53.2,-60.0
64,-59.812431459864605,-60.0,-53.599999999999994,-60.0
65,-59.912241311635555,-60.0,-53.599999999999994,-60.0
66,-59.903227916559835,-60.0,-54.400000000000006,-60.0
67,-59.89635478618009,-60.0,-54.400000000000006,-60.0
68,-59.88343063483451,-60.0,-55.599999999999994,-60.0
69,-59.9462149773046,-60.0,-57.19999999999999,-60.0
70,-59.97205923795584,-60.0,-56.39999999999999,-60.0
71,-59.855213974504935,-60.0,-55.19999999999999,-60.0
72,-59.905303384422986,-60.0,-56.39999999999999,-60.0
73,-59.91339206209611,-60.0,-55.19999999999999,-60.0
74,-59.94950134737824,-60.0,-55.599999999999994,-60.0
75,-59.8614063749191,-60.0,-54.0,-60.0
76,-59.99790550773103,-60.0,-59.599999999999994,-60.0
77,-59.86953773691772,-60.0,-54.400000000000006,-60.0
78,-59.89264260139301,-60.0,-54.8,-60.0
79,-59.818434091181075,-60.0,-54.400000000000006,-60.0
80,-59.92484784543625,-60.0,-55.599999999999994,-60.0
81,-59.926303961094405,-60.0,-55.599999999999994,-60.0
82,-59.940546722778514,-60.0,-54.8,-60.0
83,-59.89930240144755,-60.0,-54.8,-60.0
84,-59.95635732681802,-60.0,-55.19999999999999,-60.0
85,-59.86657997105365,-60.0,-55.19999999999999,-60.0
86,-60.0,-60.0,-60.0,-60.0
87,-59.92485779662742,-60.0,-55.599999999999994,-60.0
88,-59.873941225706986,-60.0,-54.400000000000006,-60.0
89,-59.822811617590204,-60.0,-55.599999999999994,-60.0
90,-59.84816713406574,-60.0,-54.8,-60.0
91,-59.90471647989831,-60.0,-54.8,-60.0
92,-59.766907700537544,-60.0,-54.400000000000006,-60.0
93,-59.8682262804465,-60.0,-54.8,-60.0
94,-59.918926781095934,-60.0,-55.999999999999986,-60.0
95,-59.96519812220203,-60.0,-56.39999999999999,-60.0
96,-59.95635732681802,-60.0,-55.19999999999999,-60.0
97,-59.92965008744986,-60.0,-55.599999999999994,-60.0
98,-59.91734342452217,-60.0,-55.599999999999994,-60.0
99,-59.91986107172279,-60.0,-55.19999999999999,-60.0
100,-59.90561295157321,-60.0,-55.19999999999999,-60.0
101,-59.93070447282059,-60.0,-54.8,-60.0
102,-59.91082462409891,-60.0,-55.19999999999999,-60.0
103,-59.91320791125038,-60.0,-54.0,-60.0
104,-59.93756072930236,-60.0,-54.8,-60.0
105,-59.893988310995795,-60.0,-54.400000000000006,-60.0
106,-59.92879209250589,-60.0,-55.999999999999986,-60.0
107,-59.903133664976274,-60.0,-54.8,-60.0
108,-59.87600645017676,-60.0,-54.8,-60.0
109,-59.93756072930236,-60.0,-54.8,-60.0
110,-59.866095894993435,-60.0,-54.8,-60.0
111,-59.95522812451733,-60.0,-55.599999999999994,-60.0
112,-59.941064961851836,-60.0,-56.8,-60.0
113,-59.99563193233791,-60.0,-59.19999999999999,-60.0
114,-59.904287053887266,-60.0,-54.0,-60.0
115,-59.94950134737824,-60.0,-55.599999999999994,-60.0
116,-59.97205923795584,-60.0,-56.39999999999999,-60.0
117,-59.89837265600193,-60.0,-54.0,-60.0
118,-59.94324578298909,-60.0,-54.400000000000006,-60.0
119,-59.85639324779426,-60.0,-54.0,-60.0
