Second,Average,Min,Max,Median
0,-59.80971646364,-60.0,-52.39999999999999,-60.0
1,-59.965819036340704,-60.0,-56.39999999999999,-60.0
2,-59.88620794966971,-60.0,-52.0,-60.0
3,-59.91776385000119,-60.0,-54.8,-60.0
4,-59.72359600014386,-60.0,-50.0,-60.0
5,-59.675718655502415,-60.0,-50.8,-60.0
6,-59.70816270266426,-60.0,-51.2,-60.0
7,-59.8396484359186,-60.0,-52.0,-60.0
8,-59.73189870507067,-60.0,-52.0,-60.0
9,-59.88938016604305,-60.0,-54.0,-60.0
10,-59.55820480752729,-60.0,-50.39999999999999,-60.0
11,-59.56478446839468,-60.0,-51.599999999999994,-60.0
12,-59.960505222169196,-60.0,-56.8,-60.0
13,-59.63210061501633,-60.0,-50.0,-60.0
14,-59.987317741092255,-60.0,-58.0,-60.0
15,-60.0,-60.0,-60.0,-60.0
16,-59.818216959787705,-60.0,-51.599999999999994,-60.0
17,-59.853864184791135,-60.0,-52.0,-60.0
18,-59.61273839029968,-60.0,-52.0,-60.0
19,-59.81186730276727,-60.0,-52.39999999999999,-60.0
20,-59.66059000639285,-60.0,-52.39999999999999,-60.0
21,-59.66992760198358,-60.0,-50.39999999999999,-60.0
22,-59.72808258385919,-60.0,-52.0,-60.0
23,-59.93574454485305,-60.0,-54.0,-60.0
24,-59.579371291436914,-60.0,-50.0,-60.0
25,-59.6342668342507,-60.0,-52.39999999999999,-60.0
26,-59.5707297377665,-60.0,-50.8,-60.0
27,-59.7177517869074,-60.0,-50.39999999999999,-60.0
28,-59.67710144905993,-60.0,-51.2,-60.0
29,-59.908720244299175,-60.0,-52.8,-60.0
30,-59.856335511015615,-60.0,-55.599999999999994,-60.0
31,-59.85100286378156,-60.0,-52.8,-60.0
32,-59.82680894656187,-60.0,-54.0,-60.0
33,-59.891298469970465,-60.0,-54.8,-60.0
34,-59.9604396738642,-60.0,-55.999999999999986,-60.0
35,-59.869570356231236,-60.0,-53.2,-60.0
36,-59.861294848417856,-60.0,-52.39999999999999,-60.0
37,-59.895204292649524,-60.0,-53.2,-60.0
38,-59.880545708952255,-60.0,-54.8,-60.0
39,-59.71410763580246,-60.0,-52.8,-60.0
40,-59.79273869032214,-60.0,-52.8,-60.0
41,-59.87676773209185,-60.0,-52.39999999999999,-60.0
42,-59.88146063617498,-60.0,-53.599999999999994,-60.0
43,-59.910017540478435,-60.0,-54.8,-60.0
44,-59.92869505028708,-60.0,-55.19999999999999,-60.0
45,-59.77997622932862,-60.0,-53.2,-60.0
46,-59.88489691428374,-60.0,-54.0,-60.0
47,-59.8373195232272,-60.0,-53.599999999999994,-60.0
48,-59.983870274543996,-60.0,-58.39999999999999,-60.0
49,-59.91751272277699,-60.0,-54.400000000000006,-60.0
50,-59.866076128043744,-60.0,-54.400000000000006,-60.0
51,-59.8391269205974,-60.0,-52.8,-60.0
52,-59.78001997271315,-60.0,-52.39999999999999,-60.0
53,-59.99312896335678,-60.0,-58.8,-60.0
54,-59.855030028589425,-60.0,-54.400000000000006,-60.0
55,-59.77789392023222,-60.0,-52.39999999999999,-60.0
56,-59.811932407450705,-60.0,-52.8,-60.0
57,-59.82908269015799,-60.0,-52.8,-60.0
58,-59.844046403023306,-60.0,-54.0,-60.0
59,-59.86376917244254,-60.0,-54.400000000000006,-60.0
60,-59.92935740280263,-60.0,-54.0,-60.0
61,-60.0,-60.0,-60.0,-60.0
62,-59.89796753836883,-60.0,-52.39999999999999,-60.0
63,-59.84055637107247,-60.0,-53.2,-60.0
64,-59.81558457256412,-60.0,-52.39999999999999,-60.0
65,-59.74974172942613,-60.0,-52.8,-60.0
66,-59.85405097898778,-60.0,-53.2,-60.0
67,-59.85560005867053,-60.0,-52.8,-60.0
68,-59.71146921988013,-60.0,-52.8,-60.0
69,-59.91998731721071,-60.0,-54.0,-60.0
70,-59.97601242189571,-60.0,-57.19999999999999,-60.0
71,-59.865506182005525,-60.0,-53.599999999999994,-60.0
72,-59.92425786704502,-60.0,-54.400000000000006,-60.0
73,-59.80507830436849,-60.0,-53.2,-60.0
74,-59.809591441211495,-60.0,-53.2,-60.0
75,-59.93528455286138,-60.0,-56.39999999999999,-60.0
76,-59.87583024778103,-60.0,-53.599999999999994,-60.0
77,-59.74720149045501,-60.0,-52.8,-60.0
78,-59.88298615538896,-60.0,-53.599999999999994,-60.0
79,-59.91250048367948,-60.0,-54.0,-60.0
80,-59.76792019241324,-60.0,-52.8,-60.0
81,-59.974381963094956,-60.0,-57.599999999999994,-60.0
82,-59.95635514198514,-60.0,-56.8,-60.0
83,-59.82298269362929,-60.0,-52.39999999999999,-60.0
84,-59.842343740087344,-60.0,-53.599999999999994,-60.0
85,-59.74305023088722,-60.0,-53.2,-60.0
86,-59.72402807950415,-60.0,-53.2,-60.0
87,-59.908720244299175,-60.0,-52.8,-60.0
88,-59.75974279963462,-60.0,-52.8,-60.0
89,-59.87765950930644,-60.0,-55.19999999999999,-60.0
90,-59.31406177975692,-60.0,-52.8,-60.0
91,-59.772178348927206,-60.0,-52.39999999999999,-60.0
92,-59.84377013430151,-60.0,-52.8,-60.0
93,-59.78407868285821,-60.0,-53.2,-60.0
94,-59.76949045718967,-60.0,-52.8,-60.0
95,-59.900291182547114,-60.0,-53.599999999999994,-60.0
96,-59.98400833711966,-60.0,-57.599999999999994,-60.0
97,-59.94602672689754,-60.0,-54.8,-60.0
98,-59.9442970870484,-60.0,-56.39999999999999,-60.0
99,-59.416725648061956,-60.0,-48.0,-60.0
100,-59.79781498390855,-60.0,-52.39999999999999,-60.0
101,-59.891222392028794,-60.0,-52.39999999999999,-60.0
102,-59.964462821989784,-60.0,-57.19999999999999,-60.0
103,-59.912207464164794,-60.0,-53.2,-60.0
104,-59.71410099487041,-60.0,-52.8,-60.0
105,-59.8764171669706,-60.0,-53.599999999999994,-60.0
106,-59.872747499441104,-60.0,-53.599999999999994,-60.0
107,-59.77557836991359,-60.0,-53.599999999999994,-60.0
108,-59.866076128043744,-60.0,-54.400000000000006,-60.0
109,-59.75225260655471,-60.0,-53.2,-60.0
110,-59.91996528189814,-60.0,-54.400000000000006,-60.0
111,-59.94514431130515,-60.0,-55.999999999999986,-60.0
112,-59.92640747633715,-60.0,-54.400000000000006,-60.0
113,-59.779759909531606,-60.0,-53.2,-60.0
114,-59.876320173545814,-60.0,-54.400000000000006,-60.0
115,-59.97205923795584,-60.0,-56.39999999999999,-60.0
116,-59.94324578298909,-60.0,-54.400000000000006,-60.0
117,-59.903204595168056,-60.0,-54.8,-60.0
118,-59.89184334960612,-60.0,-53.2,-60.0
119,-59.75284693241343,-60.0,-52.39999999999999,-60.0
