Second,Average,Min,Max,Median
0,-29.67943634292752,-60.0,-23.200000000000003,-60.0
1,-29.240438229369058,-60.0,-23.200000000000003,-60.0
2,-31.027195453893363,-60.0,-23.200000000000003,-60.0
3,-29.37938127712789,-60.0,-23.200000000000003,-60.0
4,-28.74183283309089,-60.0,-23.200000000000003,-60.0
5,-29.893965416572883,-60.0,-23.200000000000003,-60.0
6,-28.295586145742266,-60.0,-23.200000000000003,-60.0
7,-30.036979334511468,-60.0,-23.200000000000003,-60.0
8,-29.051187715528265,-60.0,-23.200000000000003,-60.0
9,-28.73875182133219,-60.0,-23.200000000000003,-60.0
10,-29.15442224257807,-60.0,-22.799999999999997,-60.0
11,-27.988066557462954,-60.0,-22.799999999999997,-60.0
12,-30.27344192667599,-60.0,-22.799999999999997,-60.0
13,-28.6653074054569,-60.0,-22.799999999999997,-60.0
14,-27.827373826689247,-60.0,-22.799999999999997,-60.0
15,-29.97124601703063,-60.0,-22.799999999999997,-60.0
16,-27.901540329799882,-60.0,-22.799999999999997,-60.0
17,-28.69691218009916,-60.0,-22.799999999999997,-60.0
18,-28.839349028848503,-60.0,-22.799999999999997,-60.0
19,-28.88818640288807,-60.0,-22.799999999999997,-60.0
20,-28.939070919898143,-60.0,-22.799999999999997,-60.0
21,-29.15607298441887,-60.0,-22.799999999999997,-60.0
22,-28.656787506182834,-60.0,-22.799999999999997,-60.0
23,-29.725603351367905,-60.0,-22.799999999999997,-60.0
24,-28.26557833121136,-60.0,-23.200000000000003,-60.0
25,-29.261724171057452,-60.0,-22.799999999999997,-60.0
26,-29.465855483291953,-60.0,-22.799999999999997,-60.0
27,-28.870660596145182,-60.0,-22.799999999999997,-60.0
28,-29.061325023542416,-60.0,-22.799999999999997,-60.0
29,-28.401895511707075,-60.0,-22.799999999999997,-60.0
30,-29.177727486700064,-60.0,-22.799999999999997,-60.0
31,-28.799813750077593,-60.0,-22.799999999999997,-60.0
32,-28.063200208380643,-60.0,-22.799999999999997,-60.0
33,-28.790551694161827,-60.0,-22.799999999999997,-60.0
34,-29.914316572765117,-60.0,-22.799999999999997,-60.0
35,-28.122822907253227,-60.0,-22.799999999999997,-60.0
36,-29.038595330062783,-60.0,-22.799999999999997,-60.0
37,-28.647484584862298,-60.0,-23.200000000000003,-60.0
38,-29.48253725943055,-60.0,-22.799999999999997,-60.0
39,-28.479663767931996,-60.0,-22.799999999999997,-60.0
40,-28.899823895852418,-60.0,-22.799999999999997,-60.0
41,-28.853140048111765,-60.0,-22.799999999999997,-60.0
42,-29.04635794773752,-60.0,-22.799999999999997,-60.0
43,-28.180229058606734,-60.0,-22.799999999999997,-60.0
44,-28.99768606082681,-60.0,-22.799999999999997,-60.0
45,-29.186959980954526,-60.0,-22.799999999999997,-60.0
46,-28.474750888993434,-60.0,-22.799999999999997,-60.0
47,-28.602899988976212,-60.0,-22.799999999999997,-60.0
48,-28.867150044935475,-60.0,-22.799999999999997,-60.0
49,-29.54531501256629,-60.0,-22.799999999999997,-60.0
50,-27.81261755080139,-60.0,-22.799999999999997,-60.0
51,-28.764075373668213,-60.0,-22.799999999999997,-60.0
52,-29.87323232899937,-60.0,-22.799999999999997,-60.0
53,-27.771971850627363,-60.0,-22.799999999999997,-60.0
54,-29.02697579234907,-60.0,-23.200000000000003,-60.0
55,-29.925553746252763,-60.0,-22.799999999999997,-60.0
56,-27.986525856340982,-60.0,-22.799999999999997,-60.0
57,-28.692318245800877,-60.0,-22.799999999999997,-60.0
58,-28.831679761661306,-60.0,-22.799999999999997,-60.0
59,-29.013637687098015,-60.0,-22.799999999999997,-60.0
60,-28.660492663198482,-60.0,-22.799999999999997,-60.0
61,-29.183354433692926,-60.0,-22.799999999999997,-60.0
62,-29.9870658748403,-60.0,-22.799999999999997,-60.0
63,-27.80388412872118,-60.0,-22.799999999999997,-60.0
64,-29.001031122180745,-60.0,-22.799999999999997,-60.0
65,-29.491591635970323,-60.0,-23.200000000000003,-60.0
66,-28.347130130471566,-60.0,-23.200000000000003,-60.0
67,-28.93381559682463,-60.0,-23.200000000000003,-60.0
68,-29.41187616258837,-60.0,-22.799999999999997,-60.0
69,-28.036871107379966,-60.0,-23.200000000000003,-60.0
70,-28.795799431098477,-60.0,-22.799999999999997,-60.0
71,-28.785570250068965,-60.0,-23.200000000000003,-60.0
72,-28.89560489078486,-60.0,-23.200000000000003,-60.0
73,-30.203360461815144,-60.0,-22.799999999999997,-60.0
74,-28.070796188131425,-60.0,-22.799999999999997,-60.0
75,-28.805119397179176,-60.0,-22.799999999999997,-60.0
76,-29.915145650409354,-60.0,-22.799999999999997,-60.0
77,-27.662051995745173,-60.0,-22.799999999999997,-60.0
78,-28.9196319675842,-60.0,-22.799999999999997,-60.0
79,-29.99143733559713,-60.0,-22.799999999999997,-60.0
80,-28.64557976055937,-60.0,-22.799999999999997,-60.0
