Second,Average,Min,Max,Median
0,-38.44125287597801,-60.0,-26.799999999999997,-46.995396456636925
1,-38.75592162010107,-60.0,-26.799999999999997,-46.8
2,-38.4198977807108,-60.0,-26.39999999999999,-47.599999999999994
3,-38.3328640021735,-60.0,-26.39999999999999,-47.19999999999999
4,-38.3062723259206,-60.0,-27.599999999999994,-48.0
5,-38.03282634291824,-60.0,-27.199999999999996,-47.19999999999999
6,-37.79631092567602,-60.0,-26.799999999999997,-48.19539645663693
7,-38.3975607471465,-60.0,-26.799999999999997,-48.0
8,-38.31142700291222,-60.0,-26.799999999999997,-48.0
9,-37.903181294737585,-60.0,-25.999999999999993,-48.0
10,-38.86247056519647,-60.0,-26.39999999999999,-48.39999999999999
11,-38.709661963073515,-60.0,-27.199999999999996,-47.19999999999999
12,-37.40222877832504,-60.0,-27.599999999999994,-48.0
13,-38.68578973844244,-60.0,-27.999999999999993,-47.599999999999994
14,-38.04644460644096,-60.0,-27.199999999999996,-47.19999999999999
15,-37.786260926279226,-60.0,-27.199999999999996,-48.0
16,-38.52796282955611,-60.0,-27.199999999999996,-46.995396456636925
17,-43.395795226277386,-60.0,-27.199999999999996,-57.79539645663693
18,-46.70913187126107,-60.0,-33.6,-60.0
19,-46.26520632528766,-60.0,-33.2,-60.0
20,-45.28570124428001,-60.0,-27.599999999999994,-60.0
21,-45.136527001518296,-60.0,-27.599999999999994,-60.0
22,-44.84844273102701,-60.0,-27.599999999999994,-60.0
23,-46.05148284804944,-60.0,-30.0,-60.0
24,-47.18153278763026,-60.0,-34.800000000000004,-60.0
25,-46.34099120385126,-60.0,-30.799999999999997,-60.0
26,-47.14044183782319,-60.0,-35.199999999999996,-60.0
27,-45.97906144542453,-60.0,-30.799999999999997,-60.0
28,-45.780788547013245,-60.0,-30.0,-60.0
29,-46.033099627176924,-60.0,-31.6,-60.0
30,-47.189904780210114,-60.0,-32.4,-60.0
31,-45.43719412699965,-60.0,-27.199999999999996,-60.0
32,-46.0369288515554,-60.0,-29.199999999999996,-60.0
33,-46.3654630387025,-60.0,-29.199999999999996,-60.0
34,-46.46464986658485,-60.0,-32.4,-60.0
35,-47.05759913668815,-60.0,-34.4,-60.0
36,-46.800029610365186,-60.0,-30.4,-60.0
37,-46.400008489406105,-60.0,-29.599999999999994,-60.0
38,-45.189340188454395,-60.0,-27.999999999999993,-60.0
39,-44.59059146799561,-60.0,-26.799999999999997,-60.0
40,-46.92538125928843,-60.0,-32.4,-60.0
41,-47.836899419171004,-60.0,-35.99999999999999,-60.0
42,-45.38392080877501,-60.0,-27.999999999999993,-60.0
43,-46.37442787386835,-60.0,-33.2,-60.0
44,-45.64534415225533,-60.0,-27.999999999999993,-60.0
45,-46.310249865685726,-60.0,-30.0,-60.0
46,-46.273632902831025,-60.0,-29.599999999999994,-60.0
47,-46.41155015439231,-60.0,-28.4,-60.0
48,-46.47484529461266,-60.0,-30.0,-60.0
49,-47.91015637109908,-60.0,-36.8,-60.0
50,-45.72478113053779,-60.0,-28.4,-60.0
51,-45.37899588864942,-60.0,-27.999999999999993,-60.0
52,-45.0444023518816,-60.0,-27.599999999999994,-60.0
53,-46.4525491718105,-60.0,-32.0,-60.0
54,-46.048193929680885,-60.0,-30.0,-60.0
55,-44.08939039750676,-60.0,-27.999999999999993,-60.0
56,-45.4093474757904,-60.0,-28.799999999999997,-60.0
57,-47.53764259388838,-60.0,-38.4,-60.0
58,-46.761562865265816,-60.0,-34.4,-60.0
59,-45.54009150649614,-60.0,-29.599999999999994,-60.0
60,-46.458883815025196,-60.0,-30.4,-60.0
61,-46.34897416780411,-60.0,-29.599999999999994,-60.0
62,-46.10560984447845,-60.0,-29.599999999999994,-60.0
63,-46.16509768191232,-60.0,-27.599999999999994,-60.0
64,-46.83033974077533,-60.0,-34.4,-60.0
65,-47.68783952554192,-60.0,-34.0,-60.0
66,-45.298942077469626,-60.0,-26.39999999999999,-60.0
67,-47.20472066074258,-60.0,-38.8,-60.0
68,-46.64671279975897,-60.0,-29.599999999999994,-60.0
69,-45.73120119736231,-60.0,-27.599999999999994,-60.0
70,-45.85478656513654,-60.0,-27.599999999999994,-60.0
71,-44.69459144538044,-60.0,-26.799999999999997,-60.0
72,-46.0700265138141,-60.0,-32.0,-60.0
73,-45.40618806563714,-60.0,-26.39999999999999,-59.599999999999994
74,-45.033748354052385,-60.0,-27.999999999999993,-60.0
75,-45.78712901043858,-60.0,-30.4,-60.0
76,-44.658846010161106,-60.0,-27.999999999999993,-60.0
77,-44.97559538562528,-60.0,-29.199999999999996,-60.0
78,-45.41567595752805,-60.0,-29.599999999999994,-60.0
79,-44.72010307782028,-60.0,-26.39999999999999,-60.0
80,-46.79932251816037,-60.0,-34.4,-60.0
81,-47.05790954565346,-60.0,-33.6,-60.0
82,-45.53613433216228,-60.0,-32.4,-60.0
83,-46.52774398596939,-60.0,-30.799999999999997,-60.0
84,-45.760885856377044,-60.0,-31.6,-60.0
85,-44.96069266031789,-60.0,-29.599999999999994,-60.0
86,-43.309105431164326,-60.0,-27.199999999999996,-60.0
87,-47.17907485269023,-60.0,-32.8,-60.0
88,-45.55544260759567,-60.0,-29.199999999999996,-60.0
89,-48.05878357044152,-60.0,-36.39999999999999,-60.0
90,-46.33930146403315,-60.0,-32.4,-60.0
91,-44.180575321288245,-60.0,-27.599999999999994,-60.0
