Second,Average,Min,Max,Median
0,-59.44993687193075,-60.0,-51.2,-60.0
1,-59.608490688514834,-60.0,-53.2,-60.0
2,-59.7552504767155,-60.0,-51.599999999999994,-60.0
3,-59.89367952455276,-60.0,-52.39999999999999,-60.0
4,-59.69607252059489,-60.0,-51.2,-60.0
5,-59.97601242189571,-60.0,-57.19999999999999,-60.0
6,-59.47435536964722,-60.0,-50.39999999999999,-60.0
7,-59.78357626100455,-60.0,-51.599999999999994,-60.0
8,-59.99309463547182,-60.0,-58.8,-60.0
9,-59.76255304965406,-60.0,-50.8,-60.0
10,-59.5772084824836,-60.0,-50.8,-60.0
11,-59.995610103034124,-60.0,-59.19999999999999,-60.0
12,-59.670969710758115,-60.0,-52.0,-60.0
13,-59.81783143311594,-60.0,-53.2,-60.0
14,-59.89553346608471,-60.0,-53.599999999999994,-60.0
15,-59.628125874523505,-60.0,-50.39999999999999,-60.0
16,-59.75169708320557,-60.0,-50.8,-60.0
17,-59.72293754399005,-60.0,-51.599999999999994,-60.0
18,-59.70145696573506,-60.0,-51.2,-60.0
19,-59.81670068295134,-60.0,-52.8,-60.0
20,-59.80734399398345,-60.0,-50.8,-60.0
21,-59.71743020701371,-60.0,-51.599999999999994,-60.0
22,-59.83330724173346,-60.0,-51.599999999999994,-60.0
23,-59.6715557599386,-60.0,-51.599999999999994,-60.0
24,-59.75188797704735,-60.0,-50.8,-60.0
25,-59.97036626935707,-60.0,-57.599999999999994,-60.0
26,-59.82431392499164,-60.0,-51.599999999999994,-60.0
27,-59.777882870641754,-60.0,-53.599999999999994,-60.0
28,-59.661607650508984,-60.0,-51.599999999999994,-60.0
29,-59.972044288065206,-60.0,-56.8,-60.0
30,-59.53479593367766,-60.0,-51.2,-60.0
31,-59.91959463925839,-60.0,-54.8,-60.0
32,-59.81722921942378,-60.0,-53.2,-60.0
33,-59.78279678384145,-60.0,-52.0,-60.0
34,-59.76189575496168,-60.0,-53.2,-60.0
35,-59.96954242912108,-60.0,-56.8,-60.0
36,-59.639659884981185,-60.0,-50.8,-60.0
37,-59.8691457621683,-60.0,-52.0,-60.0
38,-59.78978618661043,-60.0,-50.8,-60.0
39,-59.97834741738376,-60.0,-58.0,-60.0
40,-59.76331676264928,-60.0,-52.39999999999999,-60.0
41,-59.65173298443002,-60.0,-52.39999999999999,-60.0
42,-59.66887196633091,-60.0,-51.2,-60.0
43,-59.79577618686995,-60.0,-52.8,-60.0
44,-59.56524970093572,-60.0,-51.2,-60.0
45,-59.76426512206299,-60.0,-52.0,-60.0
46,-59.81092841698845,-60.0,-51.599999999999994,-60.0
47,-59.772010120740056,-60.0,-50.39999999999999,-60.0
48,-59.55402669417693,-60.0,-50.8,-60.0
49,-59.59621244878885,-60.0,-50.39999999999999,-60.0
50,-59.78336764703884,-60.0,-52.39999999999999,-60.0
51,-59.987317741092255,-60.0,-58.0,-60.0
