Second,Average,Min,Max,Median
0,-30.14445219763744,-60.0,-23.200000000000003,-54.195396456636935
1,-30.418804163275563,-60.0,-23.200000000000003,-54.8
2,-31.97524924437106,-60.0,-22.799999999999997,-55.39539645663692
3,-31.743490972861892,-60.0,-23.200000000000003,-57.79539645663693
4,-31.09471561104632,-60.0,-23.200000000000003,-57.599999999999994
5,-29.083903669532724,-60.0,-22.4,-52.0
6,-31.193946731373256,-60.0,-23.200000000000003,-56.39999999999999
7,-30.63559345551876,-60.0,-23.200000000000003,-55.79539645663693
8,-29.99868438913989,-60.0,-23.200000000000003,-50.78160530437833
9,-29.54915167578787,-60.0,-23.200000000000003,-49.68587392869641
10,-31.27680333509766,-60.0,-23.200000000000003,-54.195396456636935
11,-30.201299490927443,-60.0,-23.200000000000003,-50.0
12,-29.62284227806441,-60.0,-23.200000000000003,-52.8
13,-28.622282511020515,-60.0,-22.799999999999997,-45.999999999999986
14,-30.203949386744654,-60.0,-23.200000000000003,-50.59539645663692
15,-29.312400119143362,-60.0,-23.200000000000003,-49.79539645663692
16,-28.87364785673215,-60.0,-23.200000000000003,-48.39999999999999
17,-29.084715337600354,-60.0,-23.200000000000003,-48.0
18,-28.94532678056157,-60.0,-23.200000000000003,-47.599999999999994
19,-29.040654593218,-60.0,-23.200000000000003,-47.599999999999994
20,-29.166047738673676,-60.0,-23.200000000000003,-48.59539645663692
21,-28.996367217032144,-60.0,-23.200000000000003,-50.0
22,-29.253160461689372,-60.0,-23.200000000000003,-48.19539645663693
23,-28.88859620164872,-60.0,-23.200000000000003,-47.18160530437834
24,-29.022358501112446,-60.0,-23.200000000000003,-47.599999999999994
25,-29.067142855360757,-60.0,-23.200000000000003,-48.19539645663693
26,-29.016908125419167,-60.0,-23.200000000000003,-48.8
27,-28.97087924324429,-60.0,-23.200000000000003,-49.395396456636924
28,-28.999521429066967,-60.0,-23.200000000000003,-48.0
29,-29.0860107699775,-60.0,-23.200000000000003,-48.99539645663693
30,-29.158631364385737,-60.0,-22.4,-48.0
31,-28.936007447449352,-60.0,-22.4,-48.8
32,-29.362620568765273,-60.0,-22.799999999999997,-49.19999999999999
33,-29.13550303007132,-60.0,-23.200000000000003,-49.18160530437832
34,-29.011681690103718,-60.0,-22.799999999999997,-47.599999999999994
35,-29.177330413334328,-60.0,-22.799999999999997,-48.39999999999999
36,-29.1560520774687,-60.0,-23.200000000000003,-49.18160530437832
37,-29.19688414508876,-60.0,-23.200000000000003,-48.0
38,-29.22607380914304,-60.0,-22.799999999999997,-47.19999999999999
39,-29.02690854231505,-60.0,-22.4,-47.39539645663692
40,-29.4703076503031,-60.0,-23.200000000000003,-48.99539645663693
41,-28.772074295520152,-60.0,-23.200000000000003,-47.79539645663693
42,-29.000705292536594,-60.0,-23.200000000000003,-48.39999999999999
43,-29.081922355709846,-60.0,-22.799999999999997,-47.19999999999999
44,-29.04465315554198,-60.0,-22.799999999999997,-47.79539645663693
45,-29.380606679931777,-60.0,-23.200000000000003,-48.0
46,-29.062427123002358,-60.0,-23.200000000000003,-49.395396456636924
47,-28.892983458939774,-60.0,-23.200000000000003,-47.599999999999994
48,-29.414220330922333,-60.0,-22.799999999999997,-47.599999999999994
49,-28.963357972628497,-60.0,-23.200000000000003,-46.95868464828468
50,-29.03156895840435,-60.0,-23.200000000000003,-47.19999999999999
51,-29.16215606452683,-60.0,-22.799999999999997,-48.8
52,-29.073641563999168,-60.0,-23.200000000000003,-47.79539645663693
53,-29.29229277634584,-60.0,-22.799999999999997,-47.19999999999999
54,-29.08994475675493,-60.0,-23.200000000000003,-47.599999999999994
55,-29.20247876072739,-60.0,-23.200000000000003,-48.8
56,-28.75052067219954,-60.0,-23.200000000000003,-47.599999999999994
57,-29.0014453181082,-60.0,-23.200000000000003,-47.39539645663692
58,-29.300671161270806,-60.0,-23.200000000000003,-49.79539645663692
59,-28.73912445405626,-60.0,-23.200000000000003,-47.39539645663692
60,-29.074408302878005,-60.0,-23.200000000000003,-46.39999999999999
61,-28.980967913735576,-60.0,-23.200000000000003,-46.8
62,-28.85678150040976,-60.0,-23.200000000000003,-47.599999999999994
63,-29.097089195637587,-60.0,-23.200000000000003,-47.599999999999994
64,-29.36901047659986,-60.0,-23.200000000000003,-47.79539645663693
65,-28.9566885614277,-60.0,-23.200000000000003,-48.39999999999999
66,-29.130158095688916,-60.0,-22.799999999999997,-48.8
67,-29.089899859667003,-60.0,-23.200000000000003,-48.59539645663692
68,-29.089119767623274,-60.0,-22.799999999999997,-48.0
69,-28.953810542608096,-60.0,-22.799999999999997,-47.599999999999994
70,-29.15876709814338,-60.0,-23.200000000000003,-48.19539645663693
71,-29.095206591657465,-60.0,-23.200000000000003,-46.8
72,-29.087134374363764,-60.0,-23.200000000000003,-48.59539645663692
73,-29.30779249709768,-60.0,-23.200000000000003,-48.59539645663692
74,-29.032373258200728,-60.0,-22.799999999999997,-47.599999999999994
75,-29.147700594404053,-60.0,-22.799999999999997,-47.599999999999994
76,-28.970357262620258,-60.0,-22.799999999999997,-47.19999999999999
77,-29.175948585246815,-60.0,-22.799999999999997,-47.98160530437833
78,-29.360619921786906,-60.0,-22.799999999999997,-48.39999999999999
79,-28.998800444294517,-60.0,-22.799999999999997,-47.599999999999994
80,-29.01066961627665,-60.0,-22.799999999999997,-48.39999999999999
81,-29.243674524338928,-60.0,-22.4,-48.0
82,-29.045340879765696,-60.0,-23.200000000000003,-47.599999999999994
83,-29.16009178923479,-60.0,-23.200000000000003,-47.19999999999999
84,-29.13438130469639,-60.0,-23.200000000000003,-48.38160530437833
85,-29.03916997867774,-60.0,-23.200000000000003,-48.59539645663692
86,-29.163596435695332,-60.0,-23.200000000000003,-48.781605304378324
87,-29.177673843872704,-60.0,-23.6,-48.0
88,-29.379757207164786,-60.0,-23.6,-48.781605304378324
89,-28.821235604253236,-60.0,-23.6,-46.995396456636925
90,-29.124843787876674,-60.0,-23.6,-45.599999999999994
91,-28.959475325989537,-60.0,-23.200000000000003,-45.599999999999994
92,-29.218018122825292,-60.0,-23.6,-46.995396456636925
93,-29.0490324180939,-60.0,-23.200000000000003,-45.35868464828469
94,-29.167707647637346,-60.0,-23.6,-45.599999999999994
95,-29.43140472539006,-60.0,-23.200000000000003,-48.0
96,-29.42753468120621,-60.0,-23.6,-46.19539645663692
97,-29.27291546485048,-60.0,-23.6,-45.999999999999986
98,-29.142155045424033,-60.0,-23.6,-46.8
99,-29.117415150840134,-60.0,-22.799999999999997,-45.39539645663693
100,-29.11303022096206,-60.0,-23.200000000000003,-46.8
101,-29.307437984303604,-60.0,-22.799999999999997,-45.999999999999986
102,-29.351593354325036,-60.0,-23.6,-46.59539645663692
103,-29.00786499542642,-60.0,-22.799999999999997,-46.19539645663692
104,-29.375422212905843,-60.0,-22.799999999999997,-49.395396456636924
105,-29.07470963119774,-60.0,-23.200000000000003,-50.0
106,-28.99958568626438,-60.0,-22.799999999999997,-50.8
107,-29.16839867178803,-60.0,-22.799999999999997,-51.2
108,-29.09045661649243,-60.0,-22.799999999999997,-50.59539645663692
109,-29.213809242761034,-60.0,-23.6,-50.99539645663693
110,-29.088567916434492,-60.0,-23.200000000000003,-48.59539645663692
111,-29.05034717349226,-60.0,-23.200000000000003,-48.99539645663693
112,-29.21493988407959,-60.0,-23.200000000000003,-48.19539645663693
113,-29.134286127580182,-60.0,-23.6,-48.39999999999999
114,-28.92858978936568,-60.0,-23.6,-47.599999999999994
115,-29.24538153923755,-60.0,-23.200000000000003,-49.19999999999999
116,-29.329754608222682,-60.0,-23.6,-48.8
117,-29.064505256729763,-60.0,-22.799999999999997,-47.79539645663693
118,-29.308870895569548,-60.0,-23.6,-50.0
119,-29.157417508408994,-60.0,-23.6,-48.0
