Second,Average,Min,Max,Median
0,-59.65065596766951,-60.0,-52.39999999999999,-60.0
1,-59.92321717327726,-60.0,-53.599999999999994,-60.0
2,-59.95877356645458,-60.0,-57.599999999999994,-60.0
3,-59.846420149411415,-60.0,-54.8,-60.0
4,-59.83614958807184,-60.0,-52.0,-60.0
5,-59.91293147002751,-60.0,-54.0,-60.0
6,-59.836645712092285,-60.0,-52.8,-60.0
7,-59.724249625357224,-60.0,-53.599999999999994,-60.0
8,-59.954283771903945,-60.0,-55.19999999999999,-60.0
9,-59.95858368227344,-60.0,-55.999999999999986,-60.0
10,-59.963796757939576,-60.0,-56.8,-60.0
11,-59.87164120504776,-60.0,-54.400000000000006,-60.0
12,-60.0,-60.0,-60.0,-60.0
13,-59.93428901052005,-60.0,-54.8,-60.0
14,-59.83652580409163,-60.0,-54.8,-60.0
15,-59.85324890565863,-60.0,-53.599999999999994,-60.0
16,-59.85015645720012,-60.0,-54.0,-60.0
17,-59.931632075096346,-60.0,-55.999999999999986,-60.0
18,-59.69694652466547,-60.0,-54.8,-60.0
19,-59.75384318829867,-60.0,-52.39999999999999,-60.0
20,-59.955647542259996,-60.0,-55.599999999999994,-60.0
21,-59.731395933643896,-60.0,-52.39999999999999,-60.0
22,-59.91424172067366,-60.0,-53.2,-60.0
23,-59.75446085035476,-60.0,-52.39999999999999,-60.0
24,-59.8026594853662,-60.0,-54.400000000000006,-60.0
25,-59.90816813032531,-60.0,-54.400000000000006,-60.0
26,-59.612995339505716,-60.0,-52.8,-60.0
27,-59.9604396738642,-60.0,-55.999999999999986,-60.0
28,-59.968071655369606,-60.0,-58.0,-60.0
29,-59.851157502694406,-60.0,-54.0,-60.0
30,-59.88425212595538,-60.0,-55.19999999999999,-60.0
31,-59.968683751190866,-60.0,-57.19999999999999,-60.0
32,-59.9341310981291,-60.0,-55.19999999999999,-60.0
33,-59.89647272016533,-60.0,-54.8,-60.0
34,-59.93956147194582,-60.0,-55.999999999999986,-60.0
35,-59.907940349482764,-60.0,-56.39999999999999,-60.0
36,-59.853708375214616,-60.0,-54.0,-60.0
37,-59.73377558098578,-60.0,-52.39999999999999,-60.0
38,-59.82117941904424,-60.0,-53.2,-60.0
39,-59.911361113930575,-60.0,-54.400000000000006,-60.0
40,-59.783961036320264,-60.0,-53.2,-60.0
41,-59.79933636455458,-60.0,-52.39999999999999,-60.0
42,-59.744398940035154,-60.0,-53.599999999999994,-60.0
43,-59.97768403693059,-60.0,-58.0,-60.0
44,-59.79789010354901,-60.0,-53.599999999999994,-60.0
45,-59.894933636951855,-60.0,-54.0,-60.0
46,-59.60433057112483,-60.0,-53.2,-60.0
47,-59.86011083592936,-60.0,-54.0,-60.0
48,-59.74468889969329,-60.0,-52.39999999999999,-60.0
49,-59.99033815371427,-60.0,-58.39999999999999,-60.0
50,-59.832570103604716,-60.0,-54.0,-60.0
51,-59.93087216802073,-60.0,-56.8,-60.0
52,-59.86199856159465,-60.0,-55.19999999999999,-60.0
53,-59.85064102725576,-60.0,-53.599999999999994,-60.0
54,-59.757390238214334,-60.0,-54.0,-60.0
55,-59.825890912999284,-60.0,-52.39999999999999,-60.0
56,-59.58454717133665,-60.0,-52.39999999999999,-60.0
57,-59.91803232216825,-60.0,-53.599999999999994,-60.0
58,-59.896436445388304,-60.0,-54.0,-60.0
59,-59.972044288065206,-60.0,-56.8,-60.0
60,-59.90889396004814,-60.0,-54.400000000000006,-60.0
61,-59.76652272674393,-60.0,-52.39999999999999,-60.0
62,-59.79670196220241,-60.0,-53.2,-60.0
63,-60.0,-60.0,-60.0,-60.0
64,-59.820551126977755,-60.0,-53.2,-60.0
65,-59.79358121071898,-60.0,-52.39999999999999,-60.0
66,-59.8794643943969,-60.0,-55.19999999999999,-60.0
67,-59.837749643916666,-60.0,-52.8,-60.0
68,-59.88108732848343,-60.0,-55.19999999999999,-60.0
69,-59.94388019699887,-60.0,-55.999999999999986,-60.0
70,-59.87359972583707,-60.0,-54.0,-60.0
71,-59.9719192850618,-60.0,-56.39999999999999,-60.0
72,-59.91314886328925,-60.0,-55.19999999999999,-60.0
73,-59.95999720976323,-60.0,-55.599999999999994,-60.0
74,-59.696827919506816,-60.0,-52.39999999999999,-60.0
75,-59.82411200563103,-60.0,-52.8,-60.0
76,-59.90474770390216,-60.0,-55.19999999999999,-60.0
77,-59.912603230740174,-60.0,-54.8,-60.0
78,-59.98038254398817,-60.0,-57.19999999999999,-60.0
79,-59.85547986412364,-60.0,-53.2,-60.0
80,-59.926384030139886,-60.0,-54.8,-60.0
81,-59.78777694834234,-60.0,-52.39999999999999,-60.0
82,-59.8812104830391,-60.0,-54.8,-60.0
83,-59.8620673988425,-60.0,-54.400000000000006,-60.0
84,-59.70087719988136,-60.0,-52.8,-60.0
85,-59.896827214097684,-60.0,-54.0,-60.0
86,-59.982940638347,-60.0,-58.0,-60.0
87,-59.836613287990616,-60.0,-54.400000000000006,-60.0
88,-59.987317741092255,-60.0,-58.0,-60.0
89,-59.94575318402899,-60.0,-55.999999999999986,-60.0
90,-59.85406766604726,-60.0,-53.599999999999994,-60.0
91,-59.9223373702883,-60.0,-55.999999999999986,-60.0
92,-59.88595246907344,-60.0,-53.599999999999994,-60.0
93,-59.915050997698096,-60.0,-55.599999999999994,-60.0
94,-59.95925541683689,-60.0,-56.39999999999999,-60.0
95,-59.80801236108312,-60.0,-54.0,-60.0
96,-59.74290778459305,-60.0,-54.0,-60.0
97,-59.987317741092255,-60.0,-58.0,-60.0
98,-59.893988310995795,-60.0,-54.400000000000006,-60.0
99,-59.85211480935082,-60.0,-54.0,-60.0
100,-59.91506176314286,-60.0,-53.599999999999994,-60.0
101,-59.8308290827634,-60.0,-54.400000000000006,-60.0
102,-59.80744365758107,-60.0,-52.8,-60.0
103,-59.950098308326034,-60.0,-54.8,-60.0
104,-59.9185500948432,-60.0,-53.2,-60.0
105,-59.83315843024783,-60.0,-53.2,-60.0
106,-59.805769778442524,-60.0,-53.599999999999994,-60.0
107,-59.8411967031102,-60.0,-53.2,-60.0
108,-59.91776385000119,-60.0,-54.8,-60.0
109,-59.85484445618396,-60.0,-54.0,-60.0
110,-59.81229544279336,-60.0,-54.0,-60.0
111,-59.96452585205588,-60.0,-57.19999999999999,-60.0
112,-59.80689827165949,-60.0,-53.599999999999994,-60.0
113,-59.860022015737016,-60.0,-53.599999999999994,-60.0
114,-59.879481028644896,-60.0,-52.0,-60.0
115,-59.67692379301962,-60.0,-52.39999999999999,-60.0
116,-59.99309463547182,-60.0,-58.8,-60.0
117,-59.840877754360406,-60.0,-52.8,-60.0
118,-59.95822179186784,-60.0,-56.8,-60.0
119,-59.90695176356393,-60.0,-54.8,-60.0
