Second,Average,Min,Max,Median
0,-59.97606232389646,-60.0,-58.0,-60.0
1,-51.33954288730369,-60.0,-33.2,-60.0
2,-37.81809286032612,-60.0,-25.199999999999996,-47.39539645663692
3,-38.03384096971244,-60.0,-26.39999999999999,-49.395396456636924
4,-38.473141077321266,-60.0,-26.799999999999997,-50.0
5,-37.351862271186384,-60.0,-25.599999999999994,-48.8
6,-37.76796283829367,-60.0,-25.199999999999996,-47.19999999999999
7,-38.99344598426626,-60.0,-25.599999999999994,-48.19539645663693
8,-38.55267979916954,-60.0,-26.799999999999997,-48.39999999999999
9,-38.071754934478,-60.0,-26.39999999999999,-47.599999999999994
10,-38.141721220539196,-60.0,-25.999999999999993,-47.79539645663693
11,-37.58801633737106,-60.0,-25.599999999999994,-48.0
12,-39.40223119917778,-60.0,-25.199999999999996,-48.8
13,-38.01626897373735,-60.0,-26.799999999999997,-48.8
14,-38.38817127834852,-60.0,-26.39999999999999,-48.39999999999999
15,-38.01486565127029,-60.0,-25.599999999999994,-48.0
16,-38.85341612524386,-60.0,-25.199999999999996,-48.0
17,-38.37174720859217,-60.0,-25.199999999999996,-48.39999999999999
18,-38.23865968742303,-60.0,-26.799999999999997,-48.8
19,-38.23237837834808,-60.0,-25.999999999999993,-47.79539645663693
20,-38.09681959328453,-60.0,-25.599999999999994,-47.79539645663693
21,-38.32061829519929,-60.0,-25.199999999999996,-49.19999999999999
22,-42.59954029325692,-60.0,-27.199999999999996,-54.8
23,-47.4668501403502,-60.0,-30.0,-60.0
24,-44.52097348889002,-60.0,-27.599999999999994,-60.0
25,-46.464015782345925,-60.0,-27.999999999999993,-60.0
26,-45.55121055267456,-60.0,-25.199999999999996,-60.0
27,-46.67175481348572,-60.0,-29.599999999999994,-60.0
28,-47.96874902660853,-60.0,-30.0,-60.0
29,-46.58246865496852,-60.0,-25.999999999999993,-60.0
30,-50.02218030225308,-60.0,-36.39999999999999,-60.0
31,-47.363428504702,-60.0,-27.199999999999996,-60.0
32,-47.251033216437364,-60.0,-27.199999999999996,-60.0
33,-47.1922947293898,-60.0,-28.799999999999997,-60.0
34,-46.016108212099134,-60.0,-25.999999999999993,-60.0
35,-46.930634327302826,-60.0,-25.999999999999993,-60.0
36,-49.714041772660934,-60.0,-33.6,-60.0
37,-47.08717392158931,-60.0,-30.4,-60.0
38,-47.532174583556746,-60.0,-28.799999999999997,-60.0
39,-48.80785705786722,-60.0,-33.2,-60.0
40,-45.98331699201485,-60.0,-25.199999999999996,-60.0
41,-46.75118477270903,-60.0,-26.799999999999997,-60.0
42,-48.62148595410198,-60.0,-32.4,-60.0
43,-45.157039087373015,-60.0,-27.199999999999996,-60.0
44,-47.8783388896675,-60.0,-28.4,-60.0
45,-46.28624790562291,-60.0,-27.999999999999993,-60.0
46,-47.32176031552527,-60.0,-27.599999999999994,-60.0
47,-47.01020604405835,-60.0,-27.599999999999994,-60.0
48,-48.98074104281574,-60.0,-32.0,-60.0
49,-48.8715300350117,-60.0,-32.0,-60.0
50,-49.83519161098742,-60.0,-35.199999999999996,-60.0
51,-49.508411553546395,-60.0,-34.800000000000004,-60.0
52,-49.07359400694959,-60.0,-32.8,-60.0
53,-47.23338032463928,-60.0,-27.599999999999994,-60.0
54,-50.03005294226412,-60.0,-37.599999999999994,-60.0
55,-50.3382177540794,-60.0,-39.199999999999996,-60.0
56,-47.51630967337357,-60.0,-27.599999999999994,-60.0
57,-48.4033485721033,-60.0,-31.6,-60.0
58,-48.04449384744277,-60.0,-32.4,-60.0
59,-49.39786598061304,-60.0,-32.0,-60.0
60,-49.008185122803454,-60.0,-32.0,-60.0
61,-46.06938180565804,-60.0,-25.199999999999996,-60.0
62,-50.2444073464696,-60.0,-35.599999999999994,-60.0
63,-48.18752042464756,-60.0,-30.4,-60.0
64,-46.58557981880417,-60.0,-28.799999999999997,-60.0
65,-49.0984895221219,-60.0,-33.2,-60.0
66,-49.74477803043692,-60.0,-35.599999999999994,-60.0
67,-49.227251066285255,-60.0,-35.199999999999996,-60.0
68,-49.914227898509374,-60.0,-35.199999999999996,-60.0
69,-46.01431633666715,-60.0,-26.39999999999999,-60.0
70,-48.336818215407064,-60.0,-32.0,-60.0
71,-49.9589924259105,-60.0,-32.8,-60.0
72,-46.40334201467521,-60.0,-25.199999999999996,-60.0
73,-47.79917184948654,-60.0,-31.199999999999996,-60.0
74,-48.18441025242028,-60.0,-28.4,-60.0
75,-44.83721143242124,-60.0,-26.39999999999999,-60.0
76,-49.62693559944978,-60.0,-32.0,-60.0
77,-45.56261803848189,-60.0,-27.999999999999993,-60.0
78,-47.22313323098614,-60.0,-27.599999999999994,-60.0
79,-48.40787486734193,-60.0,-32.0,-60.0
80,-45.902155317135545,-60.0,-26.799999999999997,-60.0
81,-47.38199228074141,-60.0,-27.599999999999994,-60.0
82,-48.256066601795936,-60.0,-30.0,-60.0
83,-48.45435593127518,-60.0,-33.2,-60.0
84,-47.37888188909178,-60.0,-27.599999999999994,-60.0
85,-49.069217343703215,-60.0,-32.0,-60.0
86,-47.338704965777865,-60.0,-32.0,-60.0
87,-48.596138752662355,-60.0,-30.0,-60.0
88,-49.86381360816945,-60.0,-34.800000000000004,-60.0
89,-46.90166008503091,-60.0,-28.799999999999997,-60.0
90,-47.18938494383407,-60.0,-27.199999999999996,-60.0
91,-46.182757299551575,-60.0,-26.799999999999997,-60.0
92,-47.52784479095073,-60.0,-32.8,-60.0
