Second,Average,Min,Max,Median
0,-47.1013390266495,-60.0,-32.0,-60.0
1,-45.082021498221714,-60.0,-26.39999999999999,-60.0
2,-46.320694028281196,-60.0,-25.999999999999993,-60.0
3,-46.273401236652745,-60.0,-25.599999999999994,-60.0
4,-47.534787005605004,-60.0,-27.999999999999993,-60.0
5,-48.75070547241055,-60.0,-32.4,-60.0
6,-46.163667365969175,-60.0,-29.199999999999996,-60.0
7,-46.73644628803533,-60.0,-28.799999999999997,-60.0
8,-48.4366253064503,-60.0,-31.6,-60.0
9,-44.69520240576247,-60.0,-25.999999999999993,-60.0
10,-49.17657855005082,-60.0,-32.8,-60.0
11,-46.14450125140732,-60.0,-27.599999999999994,-60.0
12,-47.353186064913395,-60.0,-30.0,-60.0
13,-48.09086728786475,-60.0,-31.199999999999996,-60.0
14,-47.37641861671867,-60.0,-28.4,-60.0
15,-45.626759897878166,-60.0,-25.199999999999996,-60.0
16,-48.9404123159182,-60.0,-32.4,-60.0
17,-49.40631457171398,-60.0,-32.0,-60.0
18,-47.4603534204103,-60.0,-28.799999999999997,-60.0
19,-46.4889748812046,-60.0,-25.999999999999993,-60.0
20,-49.65228458103721,-60.0,-34.800000000000004,-60.0
21,-48.313759794465305,-60.0,-33.2,-60.0
22,-48.410889800930825,-60.0,-32.4,-60.0
23,-46.647346421885615,-60.0,-28.799999999999997,-60.0
24,-47.640838041391895,-60.0,-28.4,-60.0
25,-44.63284588060304,-60.0,-25.599999999999994,-60.0
26,-49.270403182131666,-60.0,-36.39999999999999,-60.0
27,-47.08846188317637,-60.0,-30.799999999999997,-60.0
28,-45.31183685670268,-60.0,-25.999999999999993,-60.0
29,-45.616887506275305,-60.0,-28.4,-60.0
30,-47.94695965729111,-60.0,-33.2,-60.0
31,-46.406147122063715,-60.0,-32.0,-60.0
32,-45.557587137636084,-60.0,-28.799999999999997,-60.0
33,-49.00008806190745,-60.0,-33.2,-60.0
34,-48.46521639405917,-60.0,-33.2,-60.0
35,-47.30015132523712,-60.0,-32.4,-60.0
36,-46.70425328874968,-60.0,-28.799999999999997,-60.0
37,-45.99210512154421,-60.0,-25.999999999999993,-60.0
38,-49.66449335004203,-60.0,-34.800000000000004,-60.0
39,-48.8938376316778,-60.0,-33.6,-60.0
40,-47.65859597685963,-60.0,-32.0,-60.0
