Second,Average,Min,Max,Median
0,-28.33116576128569,-60.0,-22.799999999999997,-49.599999999999994
1,-29.652876703694226,-60.0,-23.200000000000003,-51.18160530437833
2,-28.524991631660598,-60.0,-22.799999999999997,-50.39999999999999
3,-29.29920378708585,-60.0,-23.6,-53.2
4,-29.354068644301563,-60.0,-23.6,-49.599999999999994
5,-28.818071353861,-60.0,-23.200000000000003,-49.18160530437832
6,-29.4771412143162,-60.0,-22.799999999999997,-52.39999999999999
7,-29.17598081777726,-60.0,-22.799999999999997,-51.2
8,-28.861241714418234,-60.0,-23.200000000000003,-47.19999999999999
9,-29.38357890513082,-60.0,-23.200000000000003,-50.8
10,-29.458255712239634,-60.0,-23.200000000000003,-48.99539645663693
11,-28.555684653131763,-60.0,-23.200000000000003,-46.8
12,-29.065950661514094,-60.0,-23.200000000000003,-47.79539645663693
13,-29.7446617094103,-60.0,-23.200000000000003,-52.19539645663693
14,-29.124952617745024,-60.0,-23.200000000000003,-48.99539645663693
15,-28.75374983594909,-60.0,-23.200000000000003,-48.59539645663692
16,-29.7113705063663,-60.0,-23.200000000000003,-50.59539645663692
17,-29.066097950837104,-60.0,-23.200000000000003,-48.781605304378324
18,-28.96887801566418,-60.0,-23.200000000000003,-49.19999999999999
19,-29.507888039467254,-60.0,-23.200000000000003,-51.2
20,-29.101569767084285,-60.0,-22.799999999999997,-50.0
21,-28.72277426474526,-60.0,-23.200000000000003,-54.8
22,-29.581999614937594,-60.0,-23.200000000000003,-53.2
23,-30.264482693223428,-60.0,-22.799999999999997,-55.999999999999986
24,-28.004849453960233,-60.0,-23.200000000000003,-48.59539645663692
25,-29.60959817579063,-60.0,-22.799999999999997,-54.595396456636934
26,-30.23472637900342,-60.0,-23.200000000000003,-55.999999999999986
27,-28.278355731868885,-60.0,-23.6,-49.79539645663692
28,-29.81391928765739,-60.0,-23.6,-53.39539645663693
29,-29.64937161919981,-60.0,-22.799999999999997,-54.8
30,-28.06241140210431,-60.0,-23.200000000000003,-50.8
31,-29.1447396816256,-60.0,-23.6,-52.995396456636925
32,-29.325336060697467,-60.0,-23.6,-55.19999999999999
33,-28.980007749932348,-60.0,-22.799999999999997,-52.8
34,-29.46601853006177,-60.0,-23.200000000000003,-54.595396456636934
35,-29.018251802211612,-60.0,-23.6,-52.59539645663693
36,-29.36711690982401,-60.0,-23.6,-53.599999999999994
37,-29.984364573058105,-60.0,-23.200000000000003,-54.400000000000006
38,-28.359385019565934,-60.0,-23.200000000000003,-51.2
39,-28.939309911051232,-60.0,-23.200000000000003,-51.599999999999994
40,-29.24907845350424,-60.0,-23.6,-54.0
41,-29.878727833265444,-60.0,-23.6,-53.58160530437834
42,-29.39025139971428,-60.0,-23.200000000000003,-53.2
43,-28.299411566263643,-60.0,-22.799999999999997,-50.158684648284684
44,-29.816212044548504,-60.0,-23.200000000000003,-54.99539645663692
45,-28.34057084507185,-60.0,-22.799999999999997,-52.19539645663693
46,-29.455870602597397,-60.0,-23.6,-54.99539645663692
47,-29.254779779189334,-60.0,-23.200000000000003,-53.18160530437833
48,-30.407656599700715,-60.0,-23.6,-56.39999999999999
49,-28.351896007647643,-60.0,-23.200000000000003,-49.19999999999999
50,-29.158830411736055,-60.0,-23.6,-52.995396456636925
51,-30.446277695598244,-60.0,-22.799999999999997,-57.39539645663692
52,-28.463683864602558,-60.0,-23.200000000000003,-52.0
53,-29.311490286175598,-60.0,-22.799999999999997,-52.59539645663693
54,-29.908026651476124,-60.0,-23.6,-54.8
55,-29.494347007803192,-60.0,-23.200000000000003,-55.39539645663692
56,-28.944740073979887,-60.0,-23.6,-52.995396456636925
57,-29.026153742706246,-60.0,-22.799999999999997,-54.595396456636934
58,-29.438103436903774,-60.0,-23.6,-54.99539645663692
59,-28.888842668121114,-60.0,-23.200000000000003,-52.8
60,-29.04573324490083,-60.0,-23.6,-54.0
61,-29.692353603770325,-60.0,-23.6,-55.999999999999986
62,-29.119504956789143,-60.0,-23.200000000000003,-53.7586846482847
63,-28.96735960498799,-60.0,-23.6,-52.95868464828469
64,-28.3838395902592,-60.0,-23.6,-51.79539645663692
65,-29.40987865305282,-60.0,-23.6,-54.400000000000006
66,-29.87700322383017,-60.0,-23.200000000000003,-56.39999999999999
67,-28.62865009113992,-60.0,-23.200000000000003,-53.39539645663693
68,-29.108373409757252,-60.0,-23.6,-51.599999999999994
69,-29.55094113971591,-60.0,-23.6,-52.995396456636925
70,-28.637865002525142,-60.0,-23.200000000000003,-52.39999999999999
71,-29.79358220726249,-60.0,-23.200000000000003,-55.19999999999999
72,-29.430060858057274,-60.0,-23.6,-54.195396456636935
73,-28.48996104660442,-60.0,-23.200000000000003,-53.58160530437834
74,-29.89797689749767,-60.0,-23.200000000000003,-54.400000000000006
75,-29.147406877190704,-60.0,-23.6,-52.0
76,-28.95013514186156,-60.0,-23.6,-52.19539645663693
77,-29.6804217910626,-60.0,-23.6,-55.19999999999999
78,-28.844071257599087,-60.0,-23.6,-50.8
79,-28.69595618552286,-60.0,-23.200000000000003,-54.400000000000006
80,-29.080774213092177,-60.0,-23.200000000000003,-52.39999999999999
81,-29.56685139395878,-60.0,-23.6,-54.595396456636934
82,-28.886255217823834,-60.0,-22.799999999999997,-54.0
83,-28.986958099226907,-60.0,-22.799999999999997,-52.8
84,-29.7521557258198,-60.0,-23.200000000000003,-55.79539645663693
85,-29.12557317182365,-60.0,-23.6,-51.599999999999994
86,-29.195137471788712,-60.0,-23.6,-50.59539645663692
87,-29.753473207892167,-60.0,-23.6,-55.19999999999999
88,-29.400547905983917,-60.0,-23.200000000000003,-55.39539645663692
89,-29.00397994043736,-60.0,-23.6,-52.59539645663693
90,-29.60478688370836,-60.0,-23.200000000000003,-55.19999999999999
91,-30.434748441804643,-60.0,-23.6,-56.8
92,-28.23466002365114,-60.0,-23.6,-49.599999999999994
93,-29.75086895956303,-60.0,-23.6,-54.8
94,-29.799331792702155,-60.0,-23.6,-56.39999999999999
95,-28.43450497116008,-60.0,-23.200000000000003,-52.39999999999999
96,-30.0117366790685,-60.0,-23.6,-55.79539645663693
97,-29.976919007521197,-60.0,-22.799999999999997,-56.99539645663692
98,-28.05475192408011,-60.0,-23.200000000000003,-49.19999999999999
99,-29.169427958685212,-60.0,-23.200000000000003,-54.400000000000006
100,-29.433513943258415,-60.0,-23.6,-56.39999999999999
101,-29.093351131618874,-60.0,-23.200000000000003,-52.5586846482847
102,-29.54514303421091,-60.0,-23.6,-55.599999999999994
103,-28.884786548670807,-60.0,-23.200000000000003,-55.19999999999999
104,-28.979887519248603,-60.0,-23.6,-53.79539645663692
105,-29.453216555408986,-60.0,-23.200000000000003,-55.599999999999994
106,-29.190781932431218,-60.0,-23.200000000000003,-54.99539645663692
107,-30.445932616294748,-60.0,-23.6,-57.599999999999994
108,-28.224566386831288,-60.0,-23.6,-48.8
109,-30.27128661998464,-60.0,-23.6,-56.8
110,-28.247103104458734,-60.0,-22.799999999999997,-49.18160530437832
111,-29.816258731085327,-60.0,-22.799999999999997,-55.79539645663693
112,-29.760687927596603,-60.0,-23.200000000000003,-55.19999999999999
113,-28.64729266400694,-60.0,-23.200000000000003,-52.39999999999999
114,-29.66043032177673,-60.0,-23.6,-55.19999999999999
115,-29.558697042377105,-60.0,-23.200000000000003,-55.19999999999999
116,-28.341516730394414,-60.0,-22.4,-51.395396456636924
117,-29.318710527242906,-60.0,-23.6,-53.2
118,-29.85741526994874,-60.0,-23.6,-56.59539645663692
119,-28.361672037642663,-60.0,-23.200000000000003,-48.39999999999999
