Second,Average,Min,Max,Median
0,-59.94602672689754,-60.0,-54.8,-60.0
1,-59.92746136501013,-60.0,-54.400000000000006,-60.0
2,-59.890112302935165,-60.0,-55.19999999999999,-60.0
3,-59.89618871631467,-60.0,-55.599999999999994,-60.0
4,-59.99309463547182,-60.0,-58.8,-60.0
5,-59.957721748569014,-60.0,-55.599999999999994,-60.0
6,-59.81826242260814,-60.0,-53.2,-60.0
7,-59.83623581684563,-60.0,-52.8,-60.0
8,-59.89728476780641,-60.0,-55.19999999999999,-60.0
9,-59.81977104643657,-60.0,-52.39999999999999,-60.0
10,-59.97641041700879,-60.0,-56.8,-60.0
11,-59.867336512837575,-60.0,-53.2,-60.0
12,-59.88644880805378,-60.0,-53.2,-60.0
13,-59.796502713077984,-60.0,-53.599999999999994,-60.0
14,-59.95965895847988,-60.0,-56.39999999999999,-60.0
15,-59.873678890615935,-60.0,-53.2,-60.0
16,-59.78011627333554,-60.0,-52.0,-60.0
17,-59.9389986937601,-60.0,-56.8,-60.0
18,-59.88193152529085,-60.0,-52.0,-60.0
19,-59.737436423246734,-60.0,-52.39999999999999,-60.0
20,-59.95166171401607,-60.0,-55.999999999999986,-60.0
21,-59.853481820999114,-60.0,-53.2,-60.0
22,-59.703815764264746,-60.0,-53.2,-60.0
23,-59.87621545062545,-60.0,-53.599999999999994,-60.0
24,-59.943801691818535,-60.0,-55.19999999999999,-60.0
25,-59.88461040631779,-60.0,-53.599999999999994,-60.0
26,-59.96207349502691,-60.0,-55.599999999999994,-60.0
27,-59.984087752057704,-60.0,-57.599999999999994,-60.0
28,-59.919345405596864,-60.0,-55.599999999999994,-60.0
29,-59.91862263343538,-60.0,-55.599999999999994,-60.0
30,-59.866511333037955,-60.0,-52.8,-60.0
31,-59.859850620688235,-60.0,-52.8,-60.0
32,-59.83375199603107,-60.0,-53.2,-60.0
33,-59.709829519589206,-60.0,-53.2,-60.0
34,-59.81682042755193,-60.0,-53.599999999999994,-60.0
35,-59.919961646949524,-60.0,-54.400000000000006,-60.0
36,-59.93574454485305,-60.0,-54.0,-60.0
37,-59.752150263471165,-60.0,-53.2,-60.0
38,-59.908720244299175,-60.0,-52.8,-60.0
39,-59.805698699411934,-60.0,-53.599999999999994,-60.0
40,-59.86795351082993,-60.0,-54.0,-60.0
41,-59.9185500948432,-60.0,-53.2,-60.0
42,-59.950098308326034,-60.0,-54.8,-60.0
43,-59.947822669010534,-60.0,-55.999999999999986,-60.0
44,-59.986200233176206,-60.0,-58.8,-60.0
45,-59.81839168060521,-60.0,-52.39999999999999,-60.0
46,-59.73977468243484,-60.0,-52.0,-60.0
47,-59.99790550773103,-60.0,-59.599999999999994,-60.0
48,-59.94388019699887,-60.0,-55.999999999999986,-60.0
49,-59.95261693908436,-60.0,-56.39999999999999,-60.0
50,-59.94117847730183,-60.0,-54.400000000000006,-60.0
51,-59.89603450565363,-60.0,-55.19999999999999,-60.0
52,-59.90916965653043,-60.0,-52.8,-60.0
