Second,Average,Min,Max,Median
0,-54.435546431111405,-58.8,-39.599999999999994,-56.39999999999999
1,-54.831989051685134,-58.39999999999999,-39.199999999999996,-56.39999999999999
2,-55.666656546192,-58.0,-40.8,-56.8
3,-54.67927163877892,-58.0,-39.599999999999994,-55.599999999999994
4,-53.38388640401373,-57.599999999999994,-45.19999999999999,-54.8
5,-54.58770821940131,-57.599999999999994,-44.400000000000006,-55.599999999999994
6,-53.608946235920875,-57.19999999999999,-44.8,-54.8
7,-54.303726274452714,-58.8,-48.0,-55.19999999999999
8,-54.11206209857566,-58.0,-43.6,-55.19999999999999
9,-54.53145284946313,-58.39999999999999,-40.4,-56.39999999999999
10,-54.24386317330775,-57.599999999999994,-39.599999999999994,-56.39999999999999
11,-55.90258015497624,-58.39999999999999,-46.39999999999999,-56.8
12,-55.824631218632774,-58.0,-48.39999999999999,-56.39999999999999
13,-53.4338143417242,-58.0,-39.199999999999996,-55.19999999999999
14,-54.13537425903671,-57.599999999999994,-40.0,-55.19999999999999
15,-54.86071063551065,-58.0,-43.6,-55.599999999999994
16,-54.04465785497357,-57.599999999999994,-45.19999999999999,-54.400000000000006
17,-53.44660874461229,-58.39999999999999,-41.6,-54.8
18,-56.51257766306032,-59.19999999999999,-48.39999999999999,-57.19999999999999
19,-54.65573957773386,-58.0,-47.19999999999999,-55.19999999999999
20,-53.62280645983418,-58.0,-39.199999999999996,-54.8
21,-55.07945304042123,-58.39999999999999,-42.8,-55.999999999999986
22,-53.881260388964016,-56.8,-48.8,-55.19999999999999
23,-53.69969746277412,-56.39999999999999,-40.0,-55.19999999999999
24,-53.65909665158715,-56.39999999999999,-44.400000000000006,-55.19999999999999
25,-54.869703709808775,-58.39999999999999,-41.19999999999999,-56.39999999999999
26,-54.53106439494743,-58.0,-39.199999999999996,-55.999999999999986
27,-54.16841588008108,-57.599999999999994,-47.599999999999994,-54.8
28,-51.63236139655996,-55.599999999999994,-34.800000000000004,-54.400000000000006
29,-54.411119202324656,-57.599999999999994,-44.400000000000006,-55.19999999999999
30,-54.84893990886295,-57.599999999999994,-44.400000000000006,-55.999999999999986
31,-53.402856667620036,-57.599999999999994,-40.0,-55.999999999999986
32,-53.22892526105405,-57.19999999999999,-41.6,-54.8
33,-54.9209149511762,-57.599999999999994,-46.39999999999999,-55.599999999999994
34,-55.47210637583586,-58.0,-45.999999999999986,-55.999999999999986
35,-53.900257309095,-57.599999999999994,-40.4,-54.99539645663692
36,-54.504027457932516,-58.0,-39.599999999999994,-56.39999999999999
37,-54.25139539144681,-58.0,-40.8,-55.39539645663692
38,-55.32036992366311,-58.0,-39.599999999999994,-56.8
39,-54.079830152667085,-58.0,-39.199999999999996,-55.999999999999986
40,-53.20293360438181,-58.0,-44.0,-54.8
41,-53.81621306434252,-57.19999999999999,-44.400000000000006,-54.400000000000006
42,-54.20329851179896,-57.19999999999999,-44.400000000000006,-54.8
43,-53.356120181546416,-57.19999999999999,-42.0,-54.8
