Second,Average,Min,Max,Median
0,-50.7311772429437,-59.19999999999999,-41.6,-55.79539645663693
1,-51.1923002337761,-59.19999999999999,-40.0,-56.8
2,-51.74043419435051,-59.19999999999999,-42.400000000000006,-57.19999999999999
3,-50.40296239781438,-58.8,-37.99999999999999,-55.19999999999999
4,-50.672240597953355,-58.8,-41.6,-56.39999999999999
5,-49.062224950366904,-58.8,-40.0,-54.8
6,-50.33667043226873,-58.8,-40.0,-56.39999999999999
7,-46.78886206941521,-58.8,-37.199999999999996,-55.19999999999999
8,-46.64705289319089,-59.19999999999999,-37.199999999999996,-56.8
9,-47.77052393218006,-59.19999999999999,-38.8,-55.999999999999986
10,-47.37728545878319,-59.599999999999994,-38.8,-57.19999999999999
11,-47.59692985669932,-59.19999999999999,-37.99999999999999,-57.19999999999999
12,-47.28842594768586,-58.8,-37.599999999999994,-55.599999999999994
13,-46.945201754193384,-59.19999999999999,-37.599999999999994,-56.8
14,-47.295351727185206,-58.8,-37.599999999999994,-55.599999999999994
15,-47.718186999211596,-58.8,-37.99999999999999,-56.8
16,-47.12860807536505,-59.19999999999999,-37.599999999999994,-56.39999999999999
17,-47.4515820700435,-59.19999999999999,-37.599999999999994,-55.599999999999994
18,-47.693621766503114,-59.19999999999999,-37.99999999999999,-56.8
19,-47.316957469960094,-59.19999999999999,-37.99999999999999,-55.19999999999999
20,-47.40328683486095,-58.8,-37.199999999999996,-55.999999999999986
21,-47.78554574752896,-58.39999999999999,-37.599999999999994,-55.999999999999986
22,-47.31347031327186,-59.599999999999994,-37.99999999999999,-55.599999999999994
23,-47.63297539156656,-59.19999999999999,-37.199999999999996,-56.8
24,-47.41454647287184,-58.8,-37.599999999999994,-55.599999999999994
25,-48.28464315670721,-60.0,-38.8,-58.0
26,-49.86013467846458,-60.0,-40.4,-57.599999999999994
27,-49.57820830754558,-60.0,-40.8,-55.999999999999986
28,-47.560544345588966,-59.19999999999999,-38.4,-54.8
29,-47.62837786104498,-59.19999999999999,-39.199999999999996,-55.999999999999986
30,-47.40440633862345,-59.19999999999999,-38.4,-56.39999999999999
31,-46.5876139909495,-58.8,-37.99999999999999,-54.595396456636934
32,-46.7249344694533,-58.39999999999999,-38.8,-55.79539645663693
33,-46.89392129647562,-58.39999999999999,-39.199999999999996,-54.8
34,-47.02420808440613,-58.8,-38.8,-57.19999999999999
35,-46.81333050845238,-59.19999999999999,-38.4,-56.39999999999999
36,-46.43121337860559,-58.8,-36.39999999999999,-55.19999999999999
37,-47.05029221421203,-58.8,-37.99999999999999,-55.19999999999999
38,-46.688749652717796,-59.19999999999999,-37.99999999999999,-54.195396456636935
39,-47.18560600269218,-58.8,-37.99999999999999,-56.39999999999999
40,-46.9794612291875,-58.8,-37.99999999999999,-56.39999999999999
41,-46.620812383610975,-58.8,-37.199999999999996,-54.8
42,-47.05955097302819,-58.8,-37.599999999999994,-56.8
43,-47.230814830824414,-58.39999999999999,-37.599999999999994,-55.599999999999994
44,-47.446133496769825,-58.8,-37.199999999999996,-56.8
45,-47.678535941932296,-58.8,-37.599999999999994,-54.195396456636935
46,-47.26908381025474,-58.39999999999999,-37.599999999999994,-54.0
47,-48.27638499695878,-58.39999999999999,-39.199999999999996,-54.8
48,-47.95156871920455,-58.8,-38.4,-55.999999999999986
49,-47.87563794043392,-59.19999999999999,-37.99999999999999,-57.19999999999999
50,-47.25772996145517,-58.8,-37.99999999999999,-54.595396456636934
51,-47.65566766476269,-59.599999999999994,-36.8,-56.8
52,-48.181647426523156,-59.19999999999999,-37.599999999999994,-55.599999999999994
53,-48.56554079007968,-59.19999999999999,-38.8,-57.19999999999999
54,-50.71935327826212,-59.599999999999994,-40.4,-58.0
55,-51.935700073020776,-59.19999999999999,-42.8,-55.999999999999986
56,-53.08264517554183,-59.599999999999994,-44.400000000000006,-58.0
57,-52.20521990828899,-59.599999999999994,-43.6,-55.999999999999986
58,-53.01263716460464,-60.0,-44.8,-58.39999999999999
59,-52.884894481590834,-60.0,-44.8,-58.0
60,-40.979567789453284,-60.0,-25.599999999999994,-54.8
61,-33.68488023016339,-60.0,-21.6,-47.599999999999994
62,-32.37130070283978,-58.39999999999999,-21.6,-45.599999999999994
63,-32.16816739988126,-58.0,-20.799999999999997,-45.599999999999994
64,-33.09925939921023,-58.8,-22.799999999999997,-45.19999999999999
65,-32.71810478865916,-58.39999999999999,-22.799999999999997,-44.0
66,-32.21731520927089,-58.0,-22.799999999999997,-44.8
67,-32.73444878305804,-58.8,-22.799999999999997,-45.39539645663693
68,-32.742702097998695,-58.0,-22.799999999999997,-45.19999999999999
69,-32.44090763248981,-57.599999999999994,-22.799999999999997,-44.400000000000006
70,-32.91665114923965,-57.599999999999994,-22.799999999999997,-44.8
71,-34.50199642844717,-58.39999999999999,-22.799999999999997,-49.19999999999999
72,-42.87780743513747,-59.19999999999999,-22.799999999999997,-56.59539645663692
73,-42.77142924606138,-59.19999999999999,-22.799999999999997,-56.8
74,-43.13329015704889,-59.19999999999999,-23.200000000000003,-54.99539645663692
75,-42.473589023719846,-59.19999999999999,-23.200000000000003,-55.599999999999994
76,-40.86442440887221,-59.19999999999999,-22.799999999999997,-55.599999999999994
