Second,Average,Min,Max,Median
0,-51.017169087458456,-58.39999999999999,-32.8,-56.39999999999999
1,-33.81678834320701,-58.0,-22.799999999999997,-42.8
2,-33.47034870237777,-58.8,-23.200000000000003,-42.8
3,-33.060995382054436,-59.19999999999999,-22.4,-44.400000000000006
4,-33.32086268735226,-59.19999999999999,-23.200000000000003,-46.59539645663692
5,-33.41316836623448,-57.599999999999994,-22.799999999999997,-42.0
6,-32.95299742655714,-58.0,-23.200000000000003,-41.6
7,-33.06305137507956,-56.8,-23.6,-40.99539645663693
8,-33.8514582475523,-57.19999999999999,-23.6,-42.400000000000006
9,-40.895825401250505,-58.39999999999999,-25.599999999999994,-53.2
10,-42.12392494555167,-58.8,-25.999999999999993,-53.2
11,-43.24140780852937,-59.19999999999999,-26.799999999999997,-54.0
12,-43.37171136132608,-59.19999999999999,-25.999999999999993,-55.39539645663692
13,-42.21669232324814,-59.19999999999999,-25.199999999999996,-55.19999999999999
14,-41.36122720641907,-59.19999999999999,-23.6,-54.195396456636935
15,-43.4846037871067,-58.8,-25.999999999999993,-55.599999999999994
16,-42.80528208786235,-59.19999999999999,-25.599999999999994,-54.8
17,-41.00079875952518,-59.19999999999999,-25.599999999999994,-55.999999999999986
18,-43.289944526258175,-58.8,-25.199999999999996,-55.999999999999986
19,-42.965665978904475,-59.19999999999999,-25.999999999999993,-54.595396456636934
20,-44.23180390561861,-59.599999999999994,-27.599999999999994,-56.8
21,-43.19991833423099,-59.19999999999999,-25.599999999999994,-54.8
22,-42.89259737425194,-59.599999999999994,-25.999999999999993,-55.19999999999999
23,-42.053403726792986,-59.599999999999994,-25.199999999999996,-54.0
24,-44.2437002087124,-59.19999999999999,-25.599999999999994,-55.19999999999999
25,-42.7122613917173,-58.8,-25.599999999999994,-53.599999999999994
26,-40.93478591589681,-59.599999999999994,-23.6,-54.8
27,-42.19987646483265,-59.19999999999999,-22.799999999999997,-54.0
28,-42.449877844055514,-58.8,-25.199999999999996,-52.39999999999999
29,-43.77330125926943,-58.8,-27.999999999999993,-53.599999999999994
30,-42.60167350346897,-59.19999999999999,-25.199999999999996,-54.8
31,-43.217391912536876,-59.19999999999999,-25.599999999999994,-55.999999999999986
32,-43.327093276925915,-59.599999999999994,-25.599999999999994,-54.0
33,-42.551072903503744,-59.599999999999994,-25.199999999999996,-55.19999999999999
34,-41.59481987699464,-59.19999999999999,-25.599999999999994,-53.2
35,-43.40223063583399,-59.19999999999999,-25.599999999999994,-54.8
