Second,Average,Min,Max,Median
0,-56.739875198188805,-59.599999999999994,-47.19999999999999,-57.599999999999994
1,-56.80008115224517,-59.599999999999994,-48.8,-58.39999999999999
2,-56.23553679030748,-59.599999999999994,-46.39999999999999,-58.0
3,-43.301086661253876,-59.19999999999999,-24.4,-58.0
4,-33.363065799509755,-58.8,-24.0,-46.8
5,-35.535979548967845,-59.599999999999994,-23.6,-50.0
6,-42.79090961529731,-60.0,-24.800000000000004,-57.599999999999994
7,-42.91006087254899,-59.19999999999999,-24.0,-55.599999999999994
8,-43.713902485955394,-59.19999999999999,-24.800000000000004,-56.8
9,-42.3396584324893,-59.599999999999994,-24.0,-54.8
10,-42.01395564608617,-59.19999999999999,-24.4,-55.999999999999986
11,-43.53315497552042,-59.19999999999999,-24.800000000000004,-55.19999999999999
12,-41.338686972465865,-59.19999999999999,-24.4,-56.59539645663692
13,-42.69639212404384,-59.19999999999999,-24.4,-52.995396456636925
14,-45.01026831640549,-59.599999999999994,-33.2,-55.19999999999999
15,-42.06714147301747,-60.0,-26.39999999999999,-54.595396456636934
16,-43.43007201142398,-59.19999999999999,-25.599999999999994,-54.8
17,-41.51048674660582,-59.19999999999999,-24.4,-56.19539645663692
18,-43.3419540725361,-59.19999999999999,-27.199999999999996,-54.400000000000006
19,-42.44030443335273,-59.599999999999994,-24.4,-55.599999999999994
20,-42.508067136102255,-59.19999999999999,-24.800000000000004,-53.599999999999994
21,-43.21127726805456,-59.599999999999994,-27.199999999999996,-56.39999999999999
22,-42.034248754129926,-59.599999999999994,-25.999999999999993,-54.8
23,-42.96659149675279,-59.599999999999994,-26.39999999999999,-56.8
24,-42.50377278499827,-59.19999999999999,-24.4,-54.8
25,-41.82521572750539,-59.19999999999999,-24.800000000000004,-55.19999999999999
26,-43.498253371553446,-59.19999999999999,-26.39999999999999,-53.2
27,-42.345568346874536,-59.599999999999994,-25.199999999999996,-55.999999999999986
28,-41.73303648365252,-59.19999999999999,-24.800000000000004,-52.0
29,-43.5763192920265,-59.19999999999999,-28.4,-54.400000000000006
30,-41.92708465202355,-59.599999999999994,-24.4,-52.59539645663693
31,-41.18232141451962,-59.599999999999994,-24.4,-56.39999999999999
32,-42.21904956900864,-59.19999999999999,-25.199999999999996,-54.595396456636934
33,-42.82191151393039,-59.599999999999994,-25.199999999999996,-56.8
34,-43.2960864413413,-59.19999999999999,-24.800000000000004,-55.79539645663693
35,-43.62546639319937,-59.19999999999999,-24.800000000000004,-55.599999999999994
36,-42.58746388035682,-59.19999999999999,-24.4,-54.995396456636925
37,-42.84855461772922,-59.19999999999999,-24.800000000000004,-55.19999999999999
38,-41.421953072486346,-59.19999999999999,-24.4,-55.79539645663693
39,-43.45960892873569,-59.599999999999994,-25.199999999999996,-54.995396456636925
40,-42.81671612357586,-59.599999999999994,-24.4,-55.999999999999986
41,-41.32341319894788,-59.19999999999999,-24.800000000000004,-52.39999999999999
42,-44.706363450635784,-59.19999999999999,-26.39999999999999,-55.599999999999994
43,-44.24919845610124,-59.599999999999994,-24.800000000000004,-55.599999999999994
44,-43.809955573841094,-59.599999999999994,-25.999999999999993,-55.599999999999994
45,-42.326531300850796,-59.599999999999994,-25.199999999999996,-52.59539645663693
46,-44.34147496277879,-59.19999999999999,-30.0,-54.400000000000006
47,-42.57012082844967,-59.599999999999994,-25.199999999999996,-56.39999999999999
48,-42.31650423576488,-59.599999999999994,-25.599999999999994,-53.79539645663692
49,-43.677854609944795,-59.599999999999994,-26.39999999999999,-55.79539645663693
50,-41.53275446985958,-59.599999999999994,-25.599999999999994,-54.8
51,-42.84477135585979,-59.19999999999999,-24.4,-57.19999999999999
