Second,Average,Min,Max,Median
0,-27.863850736570267,-59.599999999999994,-21.199999999999996,-52.59539645663693
1,-26.79248453310436,-59.19999999999999,-20.799999999999997,-50.78160530437833
2,-26.545182224747617,-59.19999999999999,-20.799999999999997,-52.0
3,-27.415706433844143,-60.0,-21.199999999999996,-53.2
4,-27.961847801104717,-59.19999999999999,-21.6,-53.2
5,-25.89229009224173,-59.19999999999999,-21.199999999999996,-49.395396456636924
6,-28.03493672840027,-58.8,-21.199999999999996,-53.599999999999994
7,-27.984845891116944,-59.599999999999994,-21.6,-54.195396456636935
8,-26.328697426099346,-59.19999999999999,-21.199999999999996,-52.39999999999999
9,-27.210048877417158,-59.19999999999999,-21.199999999999996,-54.8
10,-27.710129424207825,-59.599999999999994,-21.6,-54.0
11,-26.132373535694068,-60.0,-21.199999999999996,-50.8
12,-27.638543430724877,-59.599999999999994,-21.6,-50.8
13,-26.77778400938962,-59.19999999999999,-21.199999999999996,-50.99539645663693
14,-26.90137943896132,-59.599999999999994,-21.199999999999996,-52.995396456636925
15,-27.005667310531067,-59.599999999999994,-20.799999999999997,-53.18160530437833
16,-26.70448636632456,-59.19999999999999,-20.799999999999997,-50.8
17,-26.430422141729352,-58.8,-21.199999999999996,-49.19999999999999
18,-27.587384244018473,-59.599999999999994,-21.6,-52.59539645663693
19,-27.79910711428124,-60.0,-21.6,-54.0
20,-26.782727368184254,-59.19999999999999,-21.199999999999996,-52.39999999999999
21,-27.171567932404024,-60.0,-21.199999999999996,-50.0
22,-27.514978208804703,-60.0,-21.6,-54.0
23,-27.453952798130935,-59.19999999999999,-21.6,-53.599999999999994
24,-26.542110747391277,-60.0,-21.6,-52.19539645663693
25,-26.83052641478024,-60.0,-21.6,-53.2
26,-28.585752353445145,-59.599999999999994,-21.199999999999996,-55.19999999999999
27,-26.36334838402629,-59.19999999999999,-21.6,-49.395396456636924
28,-26.47822950288812,-59.599999999999994,-21.6,-50.8
29,-28.195506044747255,-60.0,-21.6,-50.19539645663692
30,-26.443505662603638,-59.599999999999994,-21.199999999999996,-51.599999999999994
31,-26.98412170424732,-59.599999999999994,-21.6,-46.19539645663692
32,-28.830999020833282,-60.0,-21.6,-54.195396456636935
33,-26.06214426018873,-59.599999999999994,-21.6,-48.99539645663693
34,-28.619026604401974,-59.599999999999994,-21.199999999999996,-54.0
35,-26.602745794677006,-59.599999999999994,-21.199999999999996,-54.0
36,-27.248671388114495,-59.19999999999999,-21.6,-52.0
37,-27.699409322573644,-59.19999999999999,-21.199999999999996,-49.79539645663692
38,-26.597239278024126,-59.599999999999994,-21.6,-52.5586846482847
39,-27.747344765183833,-59.599999999999994,-21.6,-54.400000000000006
40,-27.63019855596876,-59.19999999999999,-21.6,-54.8
41,-26.382998276958997,-59.19999999999999,-20.799999999999997,-52.59539645663693
42,-27.005398320622625,-59.599999999999994,-21.199999999999996,-52.19539645663693
43,-27.09924249393869,-58.8,-21.199999999999996,-52.39999999999999
44,-27.60808934017877,-58.8,-21.6,-53.2
45,-26.795382701867794,-59.19999999999999,-21.199999999999996,-50.99539645663693
46,-27.390287788957867,-58.8,-21.6,-49.599999999999994
47,-28.40185970780616,-59.19999999999999,-21.6,-54.0
48,-26.224612088576855,-59.19999999999999,-21.199999999999996,-50.99539645663693
49,-27.40232228402789,-59.19999999999999,-21.199999999999996,-52.19539645663693
50,-28.738578049971196,-59.19999999999999,-21.199999999999996,-52.39999999999999
51,-26.41710807975222,-58.8,-21.6,-51.2
52,-26.961817663910047,-58.39999999999999,-21.199999999999996,-51.599999999999994
53,-28.207990035863823,-59.19999999999999,-21.199999999999996,-54.195396456636935
54,-25.96764381802949,-59.19999999999999,-21.199999999999996,-49.79539645663692
55,-28.364618609480324,-59.19999999999999,-21.199999999999996,-55.39539645663692
56,-26.00612655916688,-58.8,-21.199999999999996,-51.599999999999994
57,-26.730237824154397,-59.599999999999994,-21.199999999999996,-53.599999999999994
58,-28.236450172671056,-59.599999999999994,-21.6,-54.78160530437833
59,-26.690357494193783,-59.19999999999999,-21.6,-52.8
60,-26.959035896172963,-59.19999999999999,-21.6,-51.2
61,-27.83305659052012,-59.19999999999999,-21.6,-52.59539645663693
62,-26.793176940874783,-58.8,-21.6,-49.79539645663692
