Second,Average,Min,Max,Median
0,-33.08278100201945,-60.0,-24.800000000000004,-59.599999999999994
1,-29.674706602807397,-60.0,-24.800000000000004,-59.599999999999994
2,-33.126194263951916,-60.0,-24.800000000000004,-59.599999999999994
3,-31.2406895942364,-60.0,-24.800000000000004,-59.599999999999994
4,-30.89805677395606,-60.0,-24.800000000000004,-59.599999999999994
5,-31.061019129654976,-60.0,-24.800000000000004,-59.599999999999994
6,-31.14393455713174,-60.0,-24.800000000000004,-59.599999999999994
7,-31.163398947198942,-60.0,-24.800000000000004,-59.599999999999994
8,-31.1275395334533,-60.0,-24.800000000000004,-59.599999999999994
9,-30.861046197710923,-60.0,-24.800000000000004,-59.599999999999994
10,-31.25083418087442,-60.0,-24.800000000000004,-59.599999999999994
11,-31.086020256713418,-60.0,-24.800000000000004,-59.599999999999994
12,-29.914049638501908,-60.0,-24.800000000000004,-59.599999999999994
13,-30.497782899638874,-60.0,-24.800000000000004,-59.599999999999994
14,-32.61318922712678,-60.0,-24.800000000000004,-59.599999999999994
15,-30.137733074494825,-60.0,-24.800000000000004,-59.599999999999994
16,-32.23952029200018,-60.0,-24.800000000000004,-59.599999999999994
17,-31.16435659521482,-60.0,-24.800000000000004,-59.599999999999994
18,-31.137241328913305,-60.0,-24.800000000000004,-59.599999999999994
19,-31.168718657817745,-60.0,-24.800000000000004,-59.599999999999994
20,-30.986470938053827,-60.0,-24.800000000000004,-59.599999999999994
21,-30.9819171097043,-60.0,-24.800000000000004,-59.599999999999994
22,-31.321318436352655,-60.0,-24.800000000000004,-59.599999999999994
23,-31.131300320846517,-60.0,-24.800000000000004,-59.599999999999994
24,-30.872833081833097,-60.0,-24.800000000000004,-59.599999999999994
25,-31.363685507168313,-60.0,-24.800000000000004,-59.599999999999994
26,-31.226050291455316,-60.0,-24.800000000000004,-59.599999999999994
27,-30.81888572045999,-60.0,-24.800000000000004,-59.599999999999994
28,-31.421592460454434,-60.0,-24.800000000000004,-59.599999999999994
29,-31.224822837058,-60.0,-24.800000000000004,-59.599999999999994
30,-30.00708755641827,-60.0,-24.800000000000004,-59.599999999999994
31,-30.717906401530236,-59.599999999999994,-24.800000000000004,-59.599999999999994
32,-32.23053870714439,-60.0,-24.800000000000004,-59.599999999999994
33,-29.677087597728868,-60.0,-25.199999999999996,-59.599999999999994
34,-30.880899699614023,-60.0,-24.800000000000004,-59.599999999999994
35,-32.236311299286065,-60.0,-24.800000000000004,-59.599999999999994
36,-30.51595621057117,-59.599999999999994,-24.800000000000004,-59.599999999999994
37,-30.22605120877889,-59.599999999999994,-24.800000000000004,-59.599999999999994
38,-31.30653712935013,-59.599999999999994,-24.800000000000004,-59.599999999999994
39,-30.854604072588003,-59.599999999999994,-24.800000000000004,-59.599999999999994
40,-30.191522392664154,-59.599999999999994,-24.800000000000004,-59.599999999999994
41,-31.476961883057694,-59.599999999999994,-24.800000000000004,-59.599999999999994
42,-30.841553681425623,-59.599999999999994,-24.800000000000004,-59.599999999999994
43,-30.422218374951836,-59.599999999999994,-25.199999999999996,-59.599999999999994
44,-31.231028829021895,-59.599999999999994,-24.800000000000004,-59.599999999999994
45,-30.164369387494162,-59.599999999999994,-24.800000000000004,-59.599999999999994
46,-31.084706217475212,-59.599999999999994,-24.800000000000004,-59.599999999999994
47,-31.361395867568564,-59.599999999999994,-24.800000000000004,-59.599999999999994
48,-30.206706874391323,-59.599999999999994,-24.800000000000004,-59.599999999999994
49,-31.014060401272346,-59.599999999999994,-24.800000000000004,-59.599999999999994
50,-32.01376580625903,-59.599999999999994,-24.800000000000004,-59.599999999999994
51,-29.734573829000247,-59.599999999999994,-24.800000000000004,-59.19999999999999
52,-31.082907803240776,-59.599999999999994,-24.800000000000004,-59.599999999999994
53,-31.806975208338937,-59.599999999999994,-24.800000000000004,-59.599999999999994
54,-29.899873858463152,-60.0,-24.800000000000004,-59.599999999999994
55,-30.880163023488887,-60.0,-24.800000000000004,-59.599999999999994
56,-30.53181071473402,-60.0,-24.800000000000004,-59.599999999999994
57,-31.63762662679347,-60.0,-24.800000000000004,-59.599999999999994
58,-30.207664569075604,-60.0,-24.800000000000004,-59.599999999999994
59,-32.34157720847448,-59.599999999999994,-24.800000000000004,-59.19999999999999
60,-30.778181634213556,-59.599999999999994,-24.800000000000004,-59.19999999999999
61,-30.2664798456049,-59.599999999999994,-24.800000000000004,-59.19999999999999
62,-31.934919737314658,-59.599999999999994,-24.800000000000004,-59.19999999999999
63,-30.8086295644323,-59.599999999999994,-24.800000000000004,-59.19999999999999
64,-30.16075451800413,-59.599999999999994,-24.800000000000004,-59.19999999999999
65,-30.904094764570345,-60.0,-24.800000000000004,-59.19999999999999
66,-30.274481473970734,-60.0,-24.800000000000004,-59.599999999999994
67,-32.6819388676187,-60.0,-24.800000000000004,-59.599999999999994
68,-32.20474416316077,-60.0,-24.800000000000004,-59.599999999999994
69,-31.906335605363353,-60.0,-24.800000000000004,-59.599999999999994
70,-30.571838179905882,-60.0,-24.800000000000004,-59.599999999999994
71,-31.449983415460323,-60.0,-24.800000000000004,-59.599999999999994
72,-31.62885144863266,-60.0,-24.800000000000004,-59.599999999999994
73,-30.888385862644125,-60.0,-24.800000000000004,-59.599999999999994
74,-32.10228507194784,-60.0,-24.800000000000004,-59.599999999999994
75,-31.945019633909766,-60.0,-24.800000000000004,-59.599999999999994
76,-33.15587206534302,-60.0,-24.800000000000004,-59.599999999999994
77,-30.53347323675508,-60.0,-24.800000000000004,-59.599999999999994
78,-32.29469789356848,-60.0,-24.800000000000004,-59.599999999999994
79,-32.40329796335563,-60.0,-24.800000000000004,-59.599999999999994
80,-28.75083109115743,-60.0,-24.800000000000004,-59.19999999999999
81,-34.76171394056883,-60.0,-24.800000000000004,-59.599999999999994
82,-34.07785081006259,-60.0,-24.800000000000004,-59.599999999999994
83,-33.32416859823152,-60.0,-24.800000000000004,-59.599999999999994
84,-33.76995656639761,-60.0,-24.800000000000004,-59.599999999999994
85,-32.94663224067992,-59.599999999999994,-24.4,-59.599999999999994
86,-33.12906464287052,-59.599999999999994,-24.800000000000004,-59.599999999999994
87,-32.6383370035356,-59.599999999999994,-24.4,-59.599999999999994
88,-31.3572742307044,-59.599999999999994,-24.4,-59.599999999999994
89,-33.21795115762568,-59.599999999999994,-24.4,-59.599999999999994
