Second,Average,Min,Max,Median
0,-59.787841879649605,-60.0,-52.0,-60.0
1,-59.563125340052366,-60.0,-53.599999999999994,-60.0
2,-59.51326130539159,-60.0,-54.400000000000006,-60.0
3,-59.197927011667545,-60.0,-53.599999999999994,-59.599999999999994
4,-59.1393907857399,-59.599999999999994,-54.0,-59.19999999999999
5,-59.3073541488658,-59.599999999999994,-54.400000000000006,-59.599999999999994
6,-59.082424083416214,-59.599999999999994,-52.8,-59.19999999999999
7,-59.07201726161502,-59.599999999999994,-53.599999999999994,-59.19999999999999
8,-59.29033658010053,-60.0,-52.0,-59.599999999999994
9,-59.52175116071898,-60.0,-53.2,-59.599999999999994
10,-59.456731289738485,-60.0,-54.400000000000006,-59.599999999999994
11,-59.328707353256256,-59.599999999999994,-54.400000000000006,-59.599999999999994
12,-59.4018542526873,-59.599999999999994,-52.0,-59.599999999999994
13,-59.12274307502028,-59.599999999999994,-52.39999999999999,-59.599999999999994
14,-59.33374658607714,-59.599999999999994,-53.2,-59.599999999999994
15,-59.24205370997525,-59.599999999999994,-52.8,-59.599999999999994
16,-59.221860920963245,-59.599999999999994,-52.8,-59.599999999999994
17,-59.328771096758686,-59.599999999999994,-53.599999999999994,-59.599999999999994
18,-59.25487544467341,-59.599999999999994,-52.39999999999999,-59.19999999999999
19,-59.29612822395869,-59.599999999999994,-52.39999999999999,-59.599999999999994
20,-59.33895684972545,-60.0,-54.0,-59.599999999999994
21,-59.47674718975175,-59.599999999999994,-52.0,-59.599999999999994
22,-59.42540328951067,-59.599999999999994,-54.400000000000006,-59.599999999999994
23,-59.45042532488947,-59.599999999999994,-53.2,-59.599999999999994
24,-59.278493108472254,-59.599999999999994,-52.39999999999999,-59.599999999999994
25,-59.46350386425514,-60.0,-54.0,-59.599999999999994
26,-59.513348775861274,-60.0,-53.599999999999994,-59.599999999999994
27,-59.432162380192814,-60.0,-52.39999999999999,-59.599999999999994
28,-59.65462377988664,-60.0,-55.599999999999994,-59.599999999999994
29,-59.645622346062275,-60.0,-55.599999999999994,-59.599999999999994
30,-59.594091109342855,-60.0,-51.599999999999994,-59.599999999999994
31,-54.51877393338733,-60.0,-36.8,-59.599999999999994
32,-54.05379773236348,-60.0,-36.39999999999999,-59.599999999999994
33,-54.72106165601809,-60.0,-36.39999999999999,-59.599999999999994
