Second,Average,Min,Max,Median
0,-31.822292810535224,-60.0,-25.199999999999996,-60.0
1,-31.307530225590444,-60.0,-25.199999999999996,-60.0
2,-30.621401726857314,-60.0,-25.199999999999996,-60.0
3,-31.700857927727682,-60.0,-25.199999999999996,-60.0
4,-31.33300504397607,-60.0,-25.199999999999996,-60.0
5,-30.88107103571673,-60.0,-25.199999999999996,-60.0
6,-31.429015715365935,-60.0,-25.199999999999996,-60.0
7,-31.390928455426696,-60.0,-25.199999999999996,-60.0
8,-30.57732577134502,-60.0,-25.199999999999996,-60.0
9,-31.87047857788589,-60.0,-25.199999999999996,-60.0
10,-31.22373898680695,-60.0,-25.199999999999996,-60.0
11,-31.101251989340515,-60.0,-25.199999999999996,-60.0
12,-31.48816701472068,-60.0,-25.199999999999996,-60.0
13,-31.005564593459486,-60.0,-25.199999999999996,-60.0
14,-31.045706274970712,-60.0,-25.199999999999996,-60.0
15,-31.706848520118424,-60.0,-25.199999999999996,-60.0
16,-31.7038009623379,-60.0,-25.199999999999996,-60.0
17,-30.221119364741664,-60.0,-25.199999999999996,-60.0
18,-32.54202600669637,-60.0,-25.199999999999996,-60.0
19,-30.96180494134009,-60.0,-25.199999999999996,-60.0
20,-30.317761378083745,-60.0,-25.199999999999996,-60.0
21,-31.824119629911625,-60.0,-25.199999999999996,-60.0
22,-31.37030664447993,-60.0,-25.199999999999996,-60.0
23,-31.11727643623454,-60.0,-25.199999999999996,-60.0
24,-31.263870849499803,-60.0,-25.199999999999996,-60.0
25,-31.38185911376044,-60.0,-25.199999999999996,-60.0
26,-30.89167402599312,-60.0,-25.199999999999996,-60.0
27,-31.22907136334575,-60.0,-25.199999999999996,-60.0
28,-31.30216426783558,-60.0,-25.199999999999996,-60.0
29,-30.44623280875054,-60.0,-25.199999999999996,-60.0
30,-31.93092441344801,-60.0,-25.199999999999996,-60.0
31,-31.137519628305572,-60.0,-24.800000000000004,-60.0
32,-30.582284400125623,-60.0,-25.199999999999996,-60.0
33,-31.51781964475033,-60.0,-25.199999999999996,-60.0
34,-30.94490150963779,-60.0,-25.199999999999996,-60.0
35,-30.645904748161698,-60.0,-24.800000000000004,-60.0
36,-31.581818479664978,-60.0,-25.199999999999996,-60.0
37,-30.807824019754342,-60.0,-25.199999999999996,-60.0
38,-30.549238762824835,-60.0,-25.199999999999996,-60.0
39,-31.401676889526765,-60.0,-25.199999999999996,-60.0
40,-30.700389053603185,-60.0,-25.199999999999996,-60.0
41,-30.19460667915898,-60.0,-25.199999999999996,-60.0
42,-31.466335226008066,-60.0,-25.199999999999996,-60.0
43,-30.66039946916743,-60.0,-25.199999999999996,-60.0
44,-30.284991219867297,-60.0,-25.199999999999996,-60.0
45,-31.524636885220726,-60.0,-25.199999999999996,-60.0
46,-31.088348635548964,-60.0,-25.199999999999996,-60.0
47,-30.439180725270848,-60.0,-25.199999999999996,-60.0
48,-31.32956977579548,-60.0,-25.199999999999996,-60.0
49,-31.475345889204288,-60.0,-25.199999999999996,-60.0
50,-30.513241167178712,-60.0,-25.199999999999996,-60.0
51,-31.524286899993726,-60.0,-25.199999999999996,-60.0
52,-31.1201596935881,-60.0,-25.199999999999996,-60.0
53,-30.835658920490324,-60.0,-25.199999999999996,-60.0
54,-31.87753352605881,-60.0,-25.199999999999996,-60.0
55,-30.97522248236542,-60.0,-24.800000000000004,-60.0
56,-30.42204701277719,-60.0,-24.800000000000004,-60.0
57,-31.59232520509835,-60.0,-25.199999999999996,-60.0
58,-30.6216735540599,-60.0,-25.199999999999996,-60.0
59,-30.46209904784346,-60.0,-25.199999999999996,-60.0
60,-31.478848864041563,-60.0,-25.199999999999996,-60.0
61,-30.95650437007475,-60.0,-25.199999999999996,-60.0
62,-30.5410738608124,-60.0,-25.199999999999996,-60.0
63,-31.420446931091636,-60.0,-25.199999999999996,-60.0
64,-31.050124155359818,-60.0,-25.199999999999996,-60.0
65,-30.28268401605663,-60.0,-25.199999999999996,-60.0
66,-30.988634790275643,-60.0,-25.199999999999996,-60.0
67,-32.63167433647918,-60.0,-25.199999999999996,-60.0
68,-32.23679326852599,-60.0,-24.800000000000004,-60.0
69,-32.76683387198335,-60.0,-24.800000000000004,-60.0
70,-29.79927569100632,-60.0,-25.199999999999996,-60.0
71,-31.516154210170093,-60.0,-25.199999999999996,-60.0
72,-32.85131944146838,-60.0,-25.199999999999996,-60.0
73,-32.61774469879681,-60.0,-24.800000000000004,-60.0
74,-30.043419210497323,-60.0,-25.199999999999996,-60.0
75,-32.53115771182059,-60.0,-25.199999999999996,-60.0
76,-32.573905855203485,-60.0,-25.199999999999996,-60.0
77,-31.22998433957765,-60.0,-24.800000000000004,-60.0
78,-31.812678156861637,-60.0,-24.800000000000004,-60.0
79,-32.45028690127644,-60.0,-25.199999999999996,-60.0
80,-29.1429300440642,-60.0,-24.800000000000004,-60.0
81,-37.869566628699346,-60.0,-25.199999999999996,-60.0
82,-33.719127043444935,-60.0,-25.199999999999996,-60.0
83,-33.82758593016449,-60.0,-25.199999999999996,-60.0
84,-33.92548449854139,-60.0,-25.199999999999996,-60.0
85,-31.97036373131842,-60.0,-25.199999999999996,-60.0
86,-33.016111464176745,-60.0,-25.199999999999996,-60.0
87,-33.89918529104962,-60.0,-25.199999999999996,-60.0
88,-33.5153081950894,-60.0,-25.199999999999996,-60.0
89,-34.387100974986936,-60.0,-25.199999999999996,-60.0
90,-60.0,-60.0,-60.0,-60.0
