Second,Average,Min,Max,Median
0,-26.770564219860987,-60.0,-19.599999999999994,-60.0
1,-25.838692861543905,-60.0,-19.599999999999994,-60.0
2,-25.088762252014657,-60.0,-19.599999999999994,-60.0
3,-27.190732261912185,-60.0,-19.599999999999994,-60.0
4,-26.089088002556572,-60.0,-19.599999999999994,-60.0
5,-25.27642882966756,-60.0,-19.599999999999994,-60.0
6,-26.551309528964595,-60.0,-19.599999999999994,-60.0
7,-26.557020929123997,-60.0,-19.599999999999994,-60.0
8,-24.691248018634553,-60.0,-19.599999999999994,-60.0
9,-27.90514154315066,-60.0,-19.599999999999994,-60.0
10,-25.59832431951044,-60.0,-19.599999999999994,-60.0
11,-25.08754818059731,-60.0,-19.599999999999994,-60.0
12,-27.42830326763351,-60.0,-19.599999999999994,-60.0
13,-25.729414149868166,-60.0,-19.599999999999994,-60.0
14,-25.61374509251475,-60.0,-19.599999999999994,-60.0
15,-26.727053574351537,-60.0,-19.599999999999994,-60.0
16,-25.840847445336287,-60.0,-19.599999999999994,-60.0
17,-25.43048932245236,-60.0,-19.599999999999994,-60.0
18,-26.24599867248497,-60.0,-19.599999999999994,-60.0
19,-26.121604644671304,-60.0,-19.599999999999994,-60.0
20,-24.960468613570118,-60.0,-19.599999999999994,-60.0
21,-26.718240834328853,-60.0,-19.599999999999994,-60.0
22,-25.984186506862127,-60.0,-19.599999999999994,-60.0
23,-25.35505398020443,-60.0,-19.599999999999994,-60.0
24,-26.684143210062302,-60.0,-19.599999999999994,-60.0
25,-26.399946135832085,-60.0,-19.599999999999994,-60.0
26,-24.648667433573944,-60.0,-19.599999999999994,-60.0
27,-27.92583706132416,-60.0,-19.599999999999994,-60.0
28,-25.209492971947554,-60.0,-19.599999999999994,-60.0
29,-24.97358539196292,-60.0,-19.599999999999994,-60.0
