Second,Average,Min,Max,Median
0,-21.39969320101198,-60.0,-14.799999999999997,-60.0
1,-20.449933831388066,-60.0,-14.799999999999997,-60.0
2,-20.878680863612775,-60.0,-14.799999999999997,-60.0
3,-21.27471476924457,-60.0,-14.799999999999997,-60.0
4,-20.55111718806198,-60.0,-14.799999999999997,-60.0
5,-20.74855983497949,-60.0,-14.799999999999997,-60.0
6,-21.84677984804301,-60.0,-14.799999999999997,-60.0
7,-20.133440538889296,-60.0,-14.799999999999997,-60.0
8,-21.355593879938297,-60.0,-14.799999999999997,-60.0
9,-21.262056902748,-60.0,-14.799999999999997,-60.0
10,-20.09643498602534,-60.0,-14.799999999999997,-60.0
11,-20.62021365234186,-60.0,-14.799999999999997,-60.0
12,-21.29617955548689,-60.0,-14.799999999999997,-60.0
13,-20.722091917390458,-60.0,-14.799999999999997,-60.0
14,-20.667524489898387,-60.0,-14.799999999999997,-60.0
15,-20.824030534007925,-60.0,-14.799999999999997,-60.0
16,-20.670007736421162,-60.0,-14.799999999999997,-60.0
17,-20.869094924546545,-60.0,-14.799999999999997,-60.0
18,-20.987699474252807,-60.0,-14.799999999999997,-60.0
19,-20.756061236575025,-60.0,-14.799999999999997,-60.0
20,-21.07950681900355,-60.0,-14.799999999999997,-60.0
21,-21.49935170781034,-60.0,-14.799999999999997,-60.0
22,-20.215194638706947,-60.0,-14.799999999999997,-60.0
23,-21.733672061342297,-60.0,-14.799999999999997,-60.0
24,-21.064161473622484,-60.0,-14.799999999999997,-60.0
25,-20.46582207855402,-60.0,-14.799999999999997,-60.0
26,-20.922421806628897,-60.0,-14.799999999999997,-60.0
27,-21.243834271067485,-60.0,-14.799999999999997,-60.0
28,-20.70947140537269,-60.0,-14.799999999999997,-60.0
29,-20.67536513723427,-60.0,-14.799999999999997,-60.0
