Second,Average,Min,Max,Median
0,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
1,-22.635553287020475,-22.799999999999997,-22.4,-22.799999999999997
2,-22.581428830318103,-22.799999999999997,-22.4,-22.4
3,-22.71494348577237,-22.799999999999997,-22.4,-22.799999999999997
4,-22.795812025095728,-22.799999999999997,-22.4,-22.799999999999997
5,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
6,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
7,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
8,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
9,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
10,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
11,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
12,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
13,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
14,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
15,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
16,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
17,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
18,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
19,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
20,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
21,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
22,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
23,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
24,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
25,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
26,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
27,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
28,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
29,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
30,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
31,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
32,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
33,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
34,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
35,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
36,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
37,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
38,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
39,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
40,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
41,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
42,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
43,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
44,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
45,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
46,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
47,-22.62833366888364,-22.799999999999997,-22.4,-22.799999999999997
48,-22.455765652408857,-22.799999999999997,-22.4,-22.4
49,-22.76660873745662,-22.799999999999997,-22.4,-22.799999999999997
50,-22.706733785897608,-22.799999999999997,-22.4,-22.799999999999997
51,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
52,-22.781185834844038,-22.799999999999997,-22.4,-22.799999999999997
53,-22.78535972242167,-22.799999999999997,-22.4,-22.799999999999997
54,-22.793719551121185,-22.799999999999997,-22.4,-22.799999999999997
55,-22.783355340433765,-22.799999999999997,-22.4,-22.799999999999997
56,-22.72111096124556,-22.799999999999997,-22.4,-22.799999999999997
57,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
58,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
59,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
60,-22.799999999999997,-22.799999999999997,-22.799999999999997,-22.799999999999997
