Second,Average,Min,Max,Median
0,-59.986856371574724,-60.0,-58.8,-60.0
1,-60.0,-60.0,-60.0,-60.0
2,-59.97224511739344,-60.0,-56.8,-60.0
3,-59.973096444808114,-60.0,-57.599999999999994,-60.0
4,-59.99790550773103,-60.0,-59.599999999999994,-60.0
5,-60.0,-60.0,-60.0,-60.0
6,-59.99309463547182,-60.0,-58.8,-60.0
7,-59.99351772632194,-60.0,-59.19999999999999,-60.0
8,-60.0,-60.0,-60.0,-60.0
9,-60.0,-60.0,-60.0,-60.0
10,-44.95609565027527,-60.0,-28.799999999999997,-60.0
11,-37.75148148946221,-60.0,-28.4,-48.0
12,-38.634251994913924,-60.0,-28.4,-46.39999999999999
13,-38.32393985272337,-60.0,-28.4,-48.0
14,-38.402779827753086,-60.0,-28.4,-46.19539645663692
15,-37.972764893753045,-60.0,-28.4,-48.0
16,-39.027963247367886,-60.0,-28.4,-47.19999999999999
17,-37.971090548974345,-60.0,-28.4,-47.79539645663693
18,-38.750199707968854,-60.0,-28.4,-46.8
19,-38.176278988752806,-60.0,-28.4,-48.19539645663693
20,-37.97316928647887,-60.0,-28.4,-47.19999999999999
21,-38.89880357168155,-60.0,-28.4,-46.8
22,-37.994132623035085,-60.0,-28.4,-47.19999999999999
23,-38.43105458486101,-60.0,-28.4,-47.19999999999999
24,-38.327647562340104,-60.0,-28.799999999999997,-46.995396456636925
25,-38.27983456545754,-60.0,-28.4,-48.0
26,-38.83281302782188,-60.0,-28.4,-47.19999999999999
27,-43.68167641995996,-60.0,-30.0,-59.18160530437832
28,-47.568772802410344,-60.0,-30.4,-60.0
29,-47.12718408692656,-60.0,-28.4,-60.0
30,-47.71308460707864,-60.0,-29.599999999999994,-60.0
31,-47.40617559289706,-60.0,-30.4,-60.0
32,-48.156940918176396,-60.0,-32.0,-60.0
33,-47.780423062189726,-60.0,-32.0,-60.0
34,-48.085000509908404,-60.0,-31.6,-60.0
35,-47.554173110177764,-60.0,-31.199999999999996,-60.0
36,-44.67388867734278,-60.0,-28.4,-60.0
37,-47.74766162210763,-60.0,-32.0,-60.0
38,-47.16395597924417,-60.0,-28.799999999999997,-60.0
39,-47.34522200093607,-60.0,-29.199999999999996,-60.0
40,-48.61336120259673,-60.0,-33.2,-60.0
41,-48.349622346740524,-60.0,-36.39999999999999,-60.0
42,-47.969277426999845,-60.0,-30.799999999999997,-60.0
43,-46.589589396413615,-60.0,-28.4,-60.0
44,-47.03958489217322,-60.0,-28.799999999999997,-60.0
45,-47.38480481803321,-60.0,-30.0,-60.0
46,-46.41592255844584,-60.0,-29.199999999999996,-60.0
47,-45.76595374655908,-60.0,-28.799999999999997,-60.0
48,-47.47860867553591,-60.0,-30.4,-60.0
49,-47.662434058509355,-60.0,-32.8,-60.0
50,-47.13073601444716,-60.0,-29.599999999999994,-60.0
51,-47.61379458869704,-60.0,-30.4,-60.0
52,-46.78198388847961,-60.0,-28.4,-60.0
53,-47.42790091352434,-60.0,-32.0,-60.0
54,-46.77616295676916,-60.0,-28.799999999999997,-60.0
55,-48.62248674997559,-60.0,-35.99999999999999,-60.0
56,-47.63310867602161,-60.0,-32.4,-60.0
57,-48.36032588157658,-60.0,-36.39999999999999,-60.0
58,-47.79231742831051,-60.0,-30.4,-60.0
59,-47.09348974338884,-60.0,-30.4,-60.0
60,-45.45704242802073,-60.0,-29.199999999999996,-60.0
61,-47.598896563655835,-60.0,-28.799999999999997,-60.0
62,-47.128822875338116,-60.0,-28.4,-60.0
63,-47.50802346557528,-60.0,-28.799999999999997,-60.0
64,-48.82406225913766,-60.0,-29.599999999999994,-60.0
