Second,Average,Min,Max,Median
0,-46.99914979340559,-60.0,-29.599999999999994,-60.0
1,-38.103966077394446,-60.0,-28.4,-52.8
2,-38.942614877814805,-60.0,-28.4,-49.599999999999994
3,-38.75594407695679,-60.0,-28.4,-51.2
4,-38.250091006365345,-60.0,-28.4,-52.0
5,-38.1890372064298,-60.0,-28.4,-52.0
6,-38.058148485377245,-60.0,-28.4,-52.0
7,-38.66929120374676,-60.0,-28.799999999999997,-52.39999999999999
8,-38.8739111473516,-60.0,-28.4,-51.599999999999994
9,-38.727658593600644,-60.0,-28.799999999999997,-52.0
10,-38.192797498489256,-60.0,-28.4,-52.39999999999999
11,-38.22659048503975,-60.0,-28.4,-52.39999999999999
12,-38.676744609502514,-60.0,-28.4,-52.0
13,-39.089767231763254,-60.0,-28.4,-52.39999999999999
14,-38.848664666897065,-60.0,-28.799999999999997,-52.0
15,-38.24857230943,-60.0,-28.799999999999997,-52.39999999999999
16,-38.067467316737726,-60.0,-28.4,-52.8
17,-38.33331848932729,-60.0,-28.799999999999997,-52.995396456636925
18,-39.19601293904286,-60.0,-28.4,-52.39999999999999
19,-38.689374197312965,-60.0,-28.4,-53.2
20,-38.18636379874418,-60.0,-28.4,-52.39999999999999
21,-38.30739484364738,-60.0,-28.799999999999997,-53.2
22,-38.93679537769162,-60.0,-29.199999999999996,-52.8
23,-38.99135783194314,-60.0,-28.4,-53.2
24,-38.578477282563384,-60.0,-28.799999999999997,-52.8
25,-38.208119646148454,-60.0,-28.799999999999997,-52.8
26,-38.608939590546754,-60.0,-28.799999999999997,-53.39539645663693
27,-38.77906376617795,-60.0,-28.4,-52.8
28,-38.68880459756657,-60.0,-28.799999999999997,-53.2
29,-38.84208993438559,-60.0,-28.799999999999997,-52.59539645663693
30,-38.98444871625961,-60.0,-28.799999999999997,-58.39999999999999
31,-59.71729476553233,-60.0,-56.39999999999999,-60.0
32,-59.401187565893856,-60.0,-55.999999999999986,-60.0
33,-59.45784240768438,-60.0,-57.19999999999999,-60.0
34,-59.90536018527451,-60.0,-57.599999999999994,-60.0
35,-59.788541243781886,-60.0,-57.19999999999999,-60.0
36,-59.75943679347763,-60.0,-57.19999999999999,-60.0
37,-59.90058209677975,-60.0,-58.0,-60.0
38,-59.706103460078815,-60.0,-53.2,-60.0
39,-59.737777438539865,-60.0,-57.19999999999999,-60.0
40,-59.71738114486391,-60.0,-57.19999999999999,-60.0
41,-59.8655604619476,-60.0,-57.599999999999994,-60.0
42,-59.66287401688855,-60.0,-56.39999999999999,-60.0
43,-59.192401840569666,-60.0,-55.599999999999994,-60.0
44,-58.83738337893887,-60.0,-54.8,-60.0
45,-59.35121128116659,-60.0,-55.599999999999994,-60.0
46,-59.34125663522147,-60.0,-56.8,-60.0
47,-59.39515969905773,-60.0,-56.39999999999999,-60.0
48,-59.77192544849775,-60.0,-57.19999999999999,-60.0
49,-59.54996164773068,-60.0,-56.8,-60.0
50,-59.458969116090366,-60.0,-56.8,-60.0
51,-59.71433336313623,-60.0,-56.39999999999999,-60.0
52,-59.7072719211595,-60.0,-56.39999999999999,-60.0
53,-59.583349765461115,-60.0,-56.8,-60.0
54,-59.75517736527935,-60.0,-57.19999999999999,-60.0
55,-59.537801894265534,-60.0,-51.599999999999994,-60.0
56,-59.450369346427514,-60.0,-55.999999999999986,-60.0
57,-59.59655248935201,-60.0,-56.8,-60.0
58,-59.72866364426311,-60.0,-56.39999999999999,-60.0
59,-59.4312788383619,-60.0,-55.999999999999986,-60.0
60,-41.5829940199759,-60.0,-28.4,-58.0
61,-38.4243741852256,-60.0,-28.799999999999997,-53.39539645663693
62,-38.06946062858663,-60.0,-28.799999999999997,-52.8
63,-39.07309853123105,-60.0,-28.799999999999997,-53.2
64,-38.75510850775656,-60.0,-28.799999999999997,-52.8
65,-38.47267187912528,-60.0,-28.799999999999997,-52.0
66,-38.24364540800967,-60.0,-28.799999999999997,-53.2
67,-38.513511959217865,-60.0,-28.799999999999997,-52.8
68,-38.96709845528459,-60.0,-28.799999999999997,-52.8
69,-38.974067538449205,-60.0,-28.799999999999997,-52.8
70,-38.39753638142143,-60.0,-28.799999999999997,-52.8
71,-38.26341337030882,-60.0,-28.799999999999997,-52.8
72,-38.5852957659315,-60.0,-28.799999999999997,-52.39999999999999
73,-38.80136870459515,-60.0,-28.799999999999997,-52.39999999999999
74,-38.779405715979834,-60.0,-28.799999999999997,-52.8
75,-38.13150058678501,-60.0,-28.799999999999997,-52.8
76,-38.88169460717936,-60.0,-28.799999999999997,-52.59539645663693
77,-42.15151361630487,-60.0,-29.599999999999994,-57.599999999999994
78,-47.921225660023346,-60.0,-28.799999999999997,-60.0
79,-48.6152020143626,-60.0,-30.4,-59.599999999999994
80,-52.25351755651148,-60.0,-35.199999999999996,-59.599999999999994
81,-49.11438276058112,-60.0,-32.4,-60.0
82,-52.01468756016985,-60.0,-34.4,-60.0
83,-49.10486785609302,-60.0,-29.199999999999996,-60.0
84,-47.85639265989577,-60.0,-28.799999999999997,-59.599999999999994
85,-48.97089433596544,-60.0,-29.199999999999996,-60.0
86,-49.86119035516929,-60.0,-30.0,-59.599999999999994
87,-49.79228051300175,-60.0,-31.6,-59.19999999999999
88,-49.80707983396421,-60.0,-30.799999999999997,-60.0
89,-50.56347405361932,-60.0,-30.799999999999997,-60.0
90,-50.40224819838173,-60.0,-31.199999999999996,-60.0
91,-59.705981564625866,-60.0,-55.19999999999999,-60.0
92,-59.63312638246001,-60.0,-54.8,-60.0
93,-59.2066172991883,-60.0,-55.19999999999999,-60.0
94,-59.48616900114761,-60.0,-54.8,-60.0
95,-59.973448976146564,-60.0,-58.0,-60.0
96,-59.39420745482433,-60.0,-55.999999999999986,-60.0
97,-59.31483136778171,-60.0,-56.39999999999999,-60.0
98,-59.77471616151015,-60.0,-56.8,-60.0
99,-59.6670449593018,-60.0,-56.39999999999999,-60.0
100,-59.163554368008555,-60.0,-55.999999999999986,-60.0
101,-59.13949198640027,-60.0,-55.999999999999986,-60.0
102,-59.359438531780825,-60.0,-55.599999999999994,-60.0
103,-59.49347712439501,-60.0,-55.999999999999986,-60.0
104,-59.669847426501065,-60.0,-55.999999999999986,-60.0
105,-59.74403854849026,-60.0,-56.39999999999999,-60.0
106,-59.60623331689037,-60.0,-54.0,-60.0
107,-59.683262713112235,-60.0,-57.19999999999999,-60.0
108,-59.81630032478772,-60.0,-57.599999999999994,-60.0
109,-59.57959310941376,-60.0,-55.999999999999986,-60.0
110,-59.523981596386704,-60.0,-56.39999999999999,-60.0
111,-59.65564010242821,-60.0,-57.19999999999999,-60.0
112,-59.71806039778734,-60.0,-56.39999999999999,-60.0
113,-59.68249685810331,-60.0,-56.8,-60.0
114,-59.5629802918749,-60.0,-56.8,-60.0
115,-59.67253874151025,-60.0,-57.19999999999999,-60.0
116,-59.454867286684305,-60.0,-55.599999999999994,-60.0
117,-59.315451550525616,-60.0,-53.2,-60.0
118,-59.74358364986168,-60.0,-55.999999999999986,-60.0
119,-59.60053838677503,-60.0,-53.2,-60.0
120,-56.34779919337898,-60.0,-41.6,-60.0
121,-49.91109570201306,-60.0,-30.799999999999997,-58.39999999999999
122,-50.20963421489726,-60.0,-32.8,-59.19999999999999
123,-51.17125173791143,-60.0,-34.0,-59.79539645663692
