Second,Average,Min,Max,Median
0,-44.68906167961247,-60.0,-26.799999999999997,-60.0
1,-35.540862113478966,-60.0,-26.39999999999999,-49.19999999999999
2,-35.90557872080579,-60.0,-26.39999999999999,-47.599999999999994
3,-35.80467195500902,-60.0,-26.39999999999999,-48.8
4,-35.37047014512168,-60.0,-26.39999999999999,-51.395396456636924
5,-36.12859288105134,-60.0,-26.39999999999999,-51.2
6,-36.07264653017124,-60.0,-26.799999999999997,-51.599999999999994
7,-35.40298226075517,-60.0,-26.799999999999997,-51.599999999999994
8,-36.25970587442352,-60.0,-26.39999999999999,-51.599999999999994
9,-35.75336641252206,-60.0,-26.799999999999997,-51.395396456636924
10,-35.712210953816864,-60.0,-26.799999999999997,-53.2
11,-36.05484596145786,-60.0,-26.39999999999999,-52.59539645663693
12,-35.80957010212749,-60.0,-26.39999999999999,-53.599999999999994
13,-35.45386688234455,-60.0,-26.799999999999997,-53.599999999999994
14,-36.33695459904927,-60.0,-26.799999999999997,-52.39999999999999
15,-35.75001498675538,-60.0,-26.799999999999997,-52.8
16,-35.79323533066777,-60.0,-26.799999999999997,-52.8
17,-36.21552091421707,-60.0,-26.799999999999997,-51.395396456636924
18,-35.64684866676434,-60.0,-26.799999999999997,-52.78160530437833
19,-35.82456040486016,-60.0,-26.799999999999997,-52.8
20,-36.218473857246,-60.0,-26.799999999999997,-52.39999999999999
21,-35.66987603391512,-60.0,-26.799999999999997,-53.39539645663693
22,-35.655600958932,-60.0,-26.799999999999997,-52.0
23,-36.231135237713495,-60.0,-26.799999999999997,-52.0
24,-35.7916426189973,-60.0,-26.799999999999997,-52.39999999999999
25,-35.72544878660252,-60.0,-26.799999999999997,-52.0
26,-36.341707680855315,-60.0,-26.799999999999997,-52.8
27,-35.61579793080843,-60.0,-26.799999999999997,-52.8
28,-36.12601756771534,-60.0,-26.799999999999997,-52.0
29,-36.23827226491227,-60.0,-26.799999999999997,-51.2
30,-35.55077958324424,-60.0,-26.799999999999997,-49.599999999999994
31,-35.92896314596993,-60.0,-26.799999999999997,-49.599999999999994
32,-35.92241521917216,-60.0,-26.799999999999997,-52.39999999999999
33,-35.62073539041759,-60.0,-26.799999999999997,-50.59539645663692
34,-36.17327448641581,-60.0,-26.799999999999997,-50.39999999999999
35,-35.97239469779453,-60.0,-26.799999999999997,-49.599999999999994
36,-39.53261440835465,-60.0,-26.799999999999997,-55.999999999999986
37,-45.2516953666947,-60.0,-26.799999999999997,-59.19999999999999
38,-47.00486987910225,-60.0,-30.0,-60.0
39,-46.064873333594804,-60.0,-27.199999999999996,-59.19999999999999
40,-47.712959161083,-60.0,-30.4,-59.19999999999999
41,-45.28763584954973,-60.0,-27.199999999999996,-59.19999999999999
42,-45.844801004097604,-60.0,-27.999999999999993,-60.0
43,-48.04883327751763,-60.0,-31.199999999999996,-58.8
44,-45.69777157581963,-60.0,-29.199999999999996,-59.599999999999994
45,-45.97928247840025,-60.0,-30.4,-60.0
46,-45.34229536771956,-60.0,-27.999999999999993,-58.99539645663693
47,-45.987127695517984,-60.0,-26.799999999999997,-60.0
48,-47.596722512876674,-60.0,-30.799999999999997,-60.0
49,-47.13638796037355,-60.0,-30.799999999999997,-58.39999999999999
50,-44.36417222505271,-60.0,-26.799999999999997,-60.0
51,-45.85040991738609,-60.0,-30.4,-59.19999999999999
