Second,Average,Min,Max,Median
0,-47.59528563272359,-60.0,-30.799999999999997,-60.0
1,-45.1630674040769,-60.0,-29.599999999999994,-60.0
2,-46.31578680874693,-60.0,-30.0,-60.0
3,-44.47501828844457,-60.0,-30.4,-60.0
4,-43.71290335035933,-60.0,-30.799999999999997,-60.0
5,-43.67289272911823,-60.0,-27.199999999999996,-60.0
6,-45.40913786375489,-60.0,-30.799999999999997,-60.0
7,-43.81639766206866,-60.0,-26.799999999999997,-60.0
8,-45.596536166658254,-60.0,-29.199999999999996,-60.0
9,-48.04955007114121,-60.0,-30.799999999999997,-60.0
10,-45.488451928126224,-60.0,-27.999999999999993,-60.0
11,-45.745028764804864,-60.0,-26.799999999999997,-60.0
12,-46.26420838233712,-60.0,-31.199999999999996,-60.0
13,-45.905279284735585,-60.0,-30.799999999999997,-60.0
14,-44.83643756522004,-60.0,-27.599999999999994,-60.0
15,-44.97451873716397,-60.0,-27.599999999999994,-60.0
16,-46.539736321369496,-60.0,-31.199999999999996,-60.0
17,-43.58246931644216,-60.0,-26.799999999999997,-60.0
18,-48.231963313415434,-60.0,-31.199999999999996,-60.0
19,-44.87194905915217,-60.0,-28.799999999999997,-60.0
20,-43.92120476754948,-60.0,-26.799999999999997,-60.0
21,-46.46654505421239,-60.0,-28.4,-60.0
22,-46.724890306311444,-60.0,-30.4,-60.0
23,-46.05363959255346,-60.0,-26.799999999999997,-60.0
24,-44.16420651603686,-60.0,-26.799999999999997,-60.0
25,-46.64937392912583,-60.0,-31.199999999999996,-60.0
26,-45.18977939921229,-60.0,-28.799999999999997,-60.0
27,-47.990964131573534,-60.0,-30.799999999999997,-60.0
28,-44.641791439385685,-60.0,-28.4,-60.0
29,-44.52878393749564,-60.0,-26.799999999999997,-60.0
30,-46.26777391367778,-60.0,-26.39999999999999,-60.0
31,-45.20581218816975,-60.0,-27.999999999999993,-60.0
32,-45.62544430998831,-60.0,-30.0,-60.0
33,-46.35183841999549,-60.0,-28.4,-60.0
34,-48.39735258786405,-60.0,-31.199999999999996,-60.0
35,-45.69337786237776,-60.0,-27.999999999999993,-60.0
36,-46.28964578845079,-60.0,-26.799999999999997,-60.0
37,-44.52130903698587,-60.0,-27.999999999999993,-60.0
38,-44.4321928574105,-60.0,-26.799999999999997,-60.0
39,-45.62616416466188,-60.0,-27.599999999999994,-60.0
