Second,Average,Min,Max,Median
0,-46.06545022119876,-60.0,-28.799999999999997,-60.0
1,-48.911962716350345,-60.0,-31.199999999999996,-60.0
2,-46.43034606663554,-60.0,-28.4,-60.0
3,-47.814288287476366,-60.0,-29.199999999999996,-60.0
4,-46.56339236437438,-60.0,-26.799999999999997,-60.0
5,-47.88869928976888,-60.0,-30.4,-60.0
6,-47.90314940187248,-60.0,-30.4,-60.0
7,-44.92311327981939,-60.0,-26.799999999999997,-60.0
8,-44.36759083822921,-60.0,-26.799999999999997,-60.0
9,-48.197887138530724,-60.0,-28.799999999999997,-60.0
10,-49.66065174066163,-60.0,-31.199999999999996,-60.0
11,-47.26560419595369,-60.0,-28.4,-60.0
12,-46.430771656556935,-60.0,-27.599999999999994,-60.0
13,-47.090767277169796,-60.0,-27.999999999999993,-60.0
14,-49.252504760681894,-60.0,-28.799999999999997,-60.0
15,-47.117264025617615,-60.0,-27.199999999999996,-60.0
16,-45.93102893761852,-60.0,-28.799999999999997,-60.0
17,-44.98692463108671,-60.0,-26.799999999999997,-60.0
18,-45.75268163021299,-60.0,-26.799999999999997,-60.0
19,-47.24773945919229,-60.0,-30.4,-60.0
20,-47.91110883188355,-60.0,-27.999999999999993,-60.0
21,-44.555542570093046,-60.0,-26.799999999999997,-60.0
22,-47.08027716131078,-60.0,-30.4,-60.0
23,-50.35810706589722,-60.0,-31.199999999999996,-60.0
24,-46.62144342469999,-60.0,-27.599999999999994,-60.0
25,-44.63516271783415,-60.0,-27.599999999999994,-60.0
26,-49.65708597668049,-60.0,-30.799999999999997,-60.0
27,-43.34396188332647,-60.0,-26.39999999999999,-60.0
28,-41.9283071391223,-60.0,-26.799999999999997,-60.0
29,-41.86868412919622,-60.0,-26.799999999999997,-60.0
30,-43.71851148710137,-60.0,-26.799999999999997,-60.0
31,-42.93251276823402,-60.0,-26.39999999999999,-60.0
32,-44.77232107332257,-60.0,-27.199999999999996,-60.0
33,-40.24284533379469,-60.0,-27.599999999999994,-60.0
34,-41.350606672309,-60.0,-26.799999999999997,-60.0
35,-44.30081106995995,-60.0,-26.799999999999997,-60.0
36,-46.88946492569154,-60.0,-28.799999999999997,-60.0
37,-47.80014726385489,-60.0,-27.199999999999996,-60.0
38,-45.31371024480749,-60.0,-26.799999999999997,-60.0
39,-44.41814888340232,-60.0,-26.799999999999997,-60.0
