Second,Average,Min,Max,Median
0,-41.21124246919337,-60.0,-24.0,-60.0
1,-40.313908666213855,-60.0,-23.6,-60.0
2,-40.06630942769304,-60.0,-23.6,-60.0
3,-40.43568194747918,-60.0,-23.6,-60.0
4,-39.46369095787998,-60.0,-23.6,-60.0
5,-42.93580650524831,-60.0,-23.6,-60.0
6,-41.86521893199006,-60.0,-23.6,-60.0
7,-40.855805997611185,-60.0,-23.6,-60.0
8,-38.92474443822805,-60.0,-23.6,-60.0
9,-40.22258646795655,-60.0,-23.6,-60.0
10,-40.74493138520337,-60.0,-23.6,-60.0
11,-41.23804236646323,-60.0,-23.6,-60.0
12,-42.779226343025144,-60.0,-23.6,-60.0
13,-40.13223008000989,-60.0,-23.6,-60.0
14,-41.40185975390918,-60.0,-23.6,-60.0
15,-41.79025135409952,-60.0,-23.6,-60.0
16,-40.65852917271117,-60.0,-23.6,-60.0
17,-39.60316243208673,-60.0,-23.6,-60.0
18,-39.60856563658078,-60.0,-23.6,-60.0
19,-39.6857937972343,-60.0,-23.6,-60.0
20,-40.760944337209665,-60.0,-23.6,-60.0
21,-41.36874080707942,-60.0,-23.6,-60.0
22,-42.421167058703595,-60.0,-24.0,-60.0
23,-40.10040733794153,-60.0,-23.6,-60.0
24,-42.76470788131873,-60.0,-23.6,-60.0
25,-39.58736453113259,-60.0,-23.6,-60.0
26,-43.399875268710986,-60.0,-24.0,-60.0
27,-42.775077545001906,-60.0,-23.6,-60.0
28,-39.277855691108066,-60.0,-23.6,-60.0
29,-40.51285490587158,-60.0,-23.6,-60.0
30,-40.299169965907424,-60.0,-23.6,-60.0
31,-40.47814436335703,-60.0,-23.6,-60.0
32,-42.522934828456,-60.0,-23.6,-60.0
33,-42.184647521278535,-60.0,-23.6,-60.0
34,-40.813652966110574,-60.0,-23.6,-60.0
35,-40.81984905523305,-60.0,-23.6,-60.0
36,-40.55990595356413,-60.0,-23.6,-60.0
37,-41.57083745977577,-60.0,-23.6,-60.0
38,-39.20516487768028,-60.0,-23.6,-60.0
39,-40.462939449703974,-60.0,-23.6,-60.0
40,-40.16244121500946,-60.0,-23.6,-60.0
41,-41.3417624729737,-60.0,-23.6,-60.0
42,-40.38505599854802,-60.0,-23.6,-60.0
43,-43.036798375276675,-60.0,-23.6,-60.0
44,-40.47956663658421,-60.0,-23.6,-60.0
45,-41.066135084134494,-60.0,-24.0,-60.0
46,-40.59547148213578,-60.0,-23.6,-60.0
47,-41.1837053492812,-60.0,-23.6,-60.0
48,-40.19413085171785,-60.0,-23.6,-60.0
49,-40.61153514478275,-60.0,-23.6,-60.0
50,-41.62764482675934,-60.0,-23.6,-60.0
51,-39.665548291978,-60.0,-23.6,-60.0
52,-40.68525033316342,-60.0,-24.0,-60.0
53,-41.75131483797646,-60.0,-24.0,-60.0
54,-40.563995516672435,-60.0,-23.6,-60.0
55,-39.29818529413745,-60.0,-23.6,-60.0
56,-40.0065745990569,-60.0,-23.6,-60.0
57,-41.15807375960489,-60.0,-23.6,-59.599999999999994
58,-40.64344931780839,-60.0,-23.6,-57.79539645663693
59,-42.42593691080203,-60.0,-24.0,-59.19999999999999
60,-39.99141966688001,-60.0,-23.6,-60.0
61,-41.59087598034883,-60.0,-23.6,-60.0
62,-41.37424673909579,-60.0,-23.6,-60.0
63,-41.21064233994194,-60.0,-23.6,-60.0
64,-39.41397502114788,-60.0,-23.6,-60.0
65,-42.67273429900698,-60.0,-23.6,-60.0
66,-40.5820831270757,-60.0,-23.6,-60.0
67,-41.42897728654457,-60.0,-23.6,-60.0
68,-40.64281774390264,-60.0,-23.6,-60.0
69,-41.770130909682166,-60.0,-23.6,-60.0
70,-40.643830086179534,-60.0,-23.6,-60.0
71,-40.40031823464215,-60.0,-23.6,-60.0
72,-40.04069135168492,-60.0,-23.6,-60.0
73,-40.76395918068328,-60.0,-23.6,-60.0
74,-42.099397812411496,-60.0,-23.6,-60.0
75,-41.08367599047851,-60.0,-23.6,-60.0
76,-41.00628895854182,-60.0,-23.6,-60.0
77,-41.623466974298395,-60.0,-23.6,-60.0
78,-38.74090952507312,-60.0,-23.6,-60.0
79,-40.907468766267094,-60.0,-23.6,-60.0
80,-39.88256520061334,-60.0,-23.6,-60.0
81,-39.18293979191698,-60.0,-23.6,-60.0
82,-40.975228428225854,-60.0,-23.6,-60.0
83,-41.39963754001087,-60.0,-23.6,-60.0
84,-39.744437190746275,-60.0,-23.6,-60.0
85,-41.343210481482075,-60.0,-23.6,-60.0
86,-39.903978754435805,-60.0,-23.6,-60.0
87,-41.23271317437912,-60.0,-23.6,-60.0
88,-39.1575437679361,-60.0,-23.6,-60.0
89,-42.50432673058651,-60.0,-23.6,-60.0
90,-40.26232117125106,-60.0,-23.6,-60.0
91,-43.029017703282506,-60.0,-23.6,-60.0
92,-40.78508832901291,-60.0,-23.6,-60.0
93,-41.77797927973859,-60.0,-23.6,-60.0
94,-40.60305018129256,-60.0,-23.6,-60.0
95,-40.41199645954536,-60.0,-23.6,-60.0
96,-40.06728822142682,-60.0,-23.6,-60.0
97,-42.744849447794095,-60.0,-23.6,-60.0
98,-41.14237813607221,-60.0,-23.6,-60.0
99,-39.60277860366364,-60.0,-23.6,-60.0
100,-42.5145014923536,-60.0,-23.6,-60.0
101,-40.534839159236704,-60.0,-23.6,-60.0
102,-40.75863308660377,-60.0,-23.6,-60.0
103,-40.42804088010111,-60.0,-23.6,-60.0
104,-40.133425913245915,-60.0,-23.6,-60.0
105,-40.524294198482735,-60.0,-23.6,-60.0
106,-42.65225083359178,-60.0,-23.6,-60.0
