Second,Average,Min,Max,Median
0,-43.2463107617615,-60.0,-24.800000000000004,-60.0
1,-42.29579666216129,-60.0,-25.199999999999996,-60.0
2,-44.75798126923279,-60.0,-24.800000000000004,-60.0
3,-43.68078671915125,-60.0,-25.199999999999996,-60.0
4,-43.11110956239133,-60.0,-25.199999999999996,-60.0
5,-42.01647154404556,-60.0,-24.800000000000004,-60.0
6,-43.331661839059194,-60.0,-25.199999999999996,-60.0
7,-42.10653492323458,-60.0,-25.199999999999996,-60.0
8,-42.22463916916162,-60.0,-25.199999999999996,-60.0
9,-42.39848557000407,-60.0,-25.199999999999996,-60.0
10,-42.58954464504708,-60.0,-25.199999999999996,-60.0
11,-43.354119998899264,-60.0,-25.199999999999996,-60.0
12,-43.99583258731805,-60.0,-25.199999999999996,-60.0
13,-42.081500414107886,-60.0,-25.199999999999996,-60.0
14,-42.224921712411174,-60.0,-25.199999999999996,-60.0
15,-42.10060871119329,-60.0,-25.199999999999996,-60.0
16,-42.209978261275005,-60.0,-25.199999999999996,-60.0
17,-43.600628696249004,-60.0,-25.199999999999996,-60.0
18,-42.06386499784966,-60.0,-25.199999999999996,-60.0
19,-43.59538786563795,-60.0,-25.199999999999996,-60.0
20,-43.32913177778298,-60.0,-25.199999999999996,-60.0
21,-43.21315286294667,-60.0,-25.199999999999996,-60.0
22,-46.037497017313115,-60.0,-25.199999999999996,-60.0
23,-42.4424043587959,-60.0,-25.199999999999996,-60.0
24,-45.02370486478553,-60.0,-25.199999999999996,-60.0
25,-44.21915130682337,-60.0,-25.199999999999996,-60.0
26,-42.296808418607235,-60.0,-25.199999999999996,-60.0
27,-43.69638392559214,-60.0,-25.199999999999996,-60.0
28,-41.41991602088817,-60.0,-25.199999999999996,-60.0
29,-42.55014744265782,-60.0,-25.199999999999996,-60.0
30,-43.99146252550178,-60.0,-25.199999999999996,-60.0
31,-40.328301487164026,-60.0,-25.199999999999996,-60.0
32,-42.15564114469298,-60.0,-25.199999999999996,-60.0
33,-40.580346188808925,-60.0,-25.199999999999996,-60.0
34,-41.104263518098456,-60.0,-25.199999999999996,-60.0
35,-40.29891972122609,-60.0,-25.199999999999996,-60.0
36,-42.30261829851862,-60.0,-25.199999999999996,-60.0
37,-39.73527174740554,-60.0,-25.199999999999996,-60.0
38,-39.935657583959006,-60.0,-25.199999999999996,-60.0
39,-40.38293160438588,-60.0,-25.199999999999996,-60.0
40,-39.50774363213527,-60.0,-25.199999999999996,-60.0
41,-43.250906546526735,-60.0,-25.199999999999996,-60.0
42,-40.96261889256873,-60.0,-25.199999999999996,-60.0
43,-39.85480528482949,-60.0,-25.199999999999996,-60.0
44,-41.33875623909414,-60.0,-25.199999999999996,-58.0
45,-39.16665351157366,-60.0,-25.199999999999996,-60.0
46,-42.209022540283094,-60.0,-25.199999999999996,-60.0
47,-41.42351452268108,-60.0,-25.199999999999996,-60.0
48,-39.96204594592927,-60.0,-25.199999999999996,-60.0
49,-40.674531053409986,-60.0,-25.199999999999996,-60.0
