Second,Average,Min,Max,Median
0,-42.11821919093403,-60.0,-25.199999999999996,-60.0
1,-43.471565104204714,-60.0,-25.199999999999996,-60.0
2,-43.48510226655833,-60.0,-25.199999999999996,-60.0
3,-45.31250654983179,-60.0,-25.199999999999996,-60.0
4,-44.996373083647576,-60.0,-25.199999999999996,-60.0
5,-43.3300055777061,-60.0,-25.199999999999996,-60.0
6,-43.31002141814156,-60.0,-25.199999999999996,-60.0
7,-41.38453806210586,-60.0,-25.199999999999996,-60.0
8,-42.40214194668587,-60.0,-25.199999999999996,-60.0
9,-43.27833790562377,-60.0,-25.199999999999996,-60.0
10,-42.63310016446526,-60.0,-25.199999999999996,-60.0
11,-42.930304616865385,-60.0,-25.199999999999996,-60.0
12,-42.11933605564227,-60.0,-25.199999999999996,-60.0
13,-43.48339464702371,-60.0,-25.199999999999996,-60.0
14,-43.724964250475004,-60.0,-24.800000000000004,-60.0
15,-43.836742021285914,-60.0,-25.199999999999996,-60.0
16,-43.20271984875761,-60.0,-25.199999999999996,-60.0
17,-41.92656857431046,-60.0,-24.800000000000004,-60.0
18,-44.203121513166074,-60.0,-25.199999999999996,-60.0
19,-41.02918862501931,-60.0,-25.199999999999996,-60.0
20,-41.566158853007565,-60.0,-25.199999999999996,-60.0
