Second,Average,Min,Max,Median
0,-21.745443545049184,-60.0,-16.0,-60.0
1,-21.75906023912922,-60.0,-16.0,-60.0
2,-22.630149108183705,-60.0,-16.0,-60.0
3,-21.672208576627902,-60.0,-16.0,-60.0
4,-21.734236321460724,-60.0,-16.0,-60.0
5,-22.191262274616015,-60.0,-16.0,-60.0
6,-21.830354906529358,-60.0,-16.0,-60.0
7,-22.62082360565417,-60.0,-16.0,-60.0
8,-21.804612437971066,-60.0,-16.0,-60.0
9,-21.750427418101673,-60.0,-16.0,-60.0
10,-22.13150873171918,-60.0,-16.0,-60.0
11,-22.463732536011275,-60.0,-16.0,-60.0
12,-21.64577643782019,-60.0,-16.0,-60.0
13,-22.127766036509662,-60.0,-16.0,-60.0
14,-22.40769601890714,-60.0,-16.0,-60.0
15,-21.24229102696788,-60.0,-16.0,-60.0
16,-22.8127965547716,-60.0,-16.0,-60.0
17,-22.184404048793915,-60.0,-16.0,-60.0
18,-21.317943730228937,-60.0,-16.0,-60.0
19,-22.804521139388825,-60.0,-16.0,-60.0
20,-21.998672511002646,-60.0,-16.0,-60.0
21,-22.12187389025943,-60.0,-16.0,-60.0
22,-21.927387079339407,-60.0,-16.0,-60.0
23,-22.001449149334128,-60.0,-16.0,-60.0
24,-21.6132759345204,-60.0,-16.0,-60.0
25,-22.80062261211239,-60.0,-16.0,-60.0
26,-21.97110381223259,-60.0,-16.0,-60.0
27,-21.244963601687008,-60.0,-16.0,-60.0
28,-22.179786893238962,-60.0,-16.0,-60.0
29,-22.13546953808695,-60.0,-16.0,-60.0
