Second,Average,Min,Max,Median
0,-19.968854033052448,-60.0,-13.599999999999994,-60.0
1,-19.7298914920636,-60.0,-13.599999999999994,-60.0
2,-20.015048360747763,-60.0,-13.599999999999994,-60.0
3,-19.956904909986342,-60.0,-13.599999999999994,-60.0
4,-19.548824925373896,-60.0,-13.599999999999994,-60.0
5,-20.352974964471553,-60.0,-13.599999999999994,-60.0
6,-20.075419599423384,-60.0,-13.599999999999994,-60.0
7,-19.74615920042295,-60.0,-13.599999999999994,-60.0
8,-19.746544484083916,-60.0,-13.599999999999994,-60.0
9,-20.101417470755592,-60.0,-13.599999999999994,-60.0
10,-19.807223640916565,-60.0,-13.599999999999994,-60.0
11,-20.269379206309118,-60.0,-13.599999999999994,-60.0
12,-19.81507033293778,-60.0,-13.599999999999994,-60.0
13,-19.787001501407254,-60.0,-13.599999999999994,-60.0
14,-20.15758316006544,-60.0,-13.599999999999994,-60.0
15,-20.779830628237605,-60.0,-13.599999999999994,-60.0
16,-19.169838419629027,-60.0,-13.599999999999994,-60.0
17,-20.125119357437153,-60.0,-13.599999999999994,-60.0
18,-20.081569153014126,-60.0,-13.599999999999994,-60.0
19,-19.627796943512855,-60.0,-13.599999999999994,-60.0
20,-20.220103791333507,-60.0,-13.599999999999994,-60.0
21,-20.620092991596827,-60.0,-13.599999999999994,-60.0
22,-19.388429792170612,-60.0,-13.599999999999994,-60.0
23,-19.998470370762078,-60.0,-13.599999999999994,-60.0
24,-20.680784056547488,-60.0,-13.599999999999994,-60.0
25,-19.244035934173322,-60.0,-13.599999999999994,-60.0
26,-19.920328550989815,-60.0,-13.599999999999994,-60.0
27,-19.894936699850476,-60.0,-13.599999999999994,-60.0
28,-19.300745922633165,-60.0,-13.599999999999994,-60.0
29,-20.28951073995088,-60.0,-13.599999999999994,-60.0
