Second,Average,Min,Max,Median
0,-31.00186132399745,-60.0,-25.199999999999996,-60.0
1,-31.68104959058191,-60.0,-24.800000000000004,-60.0
2,-31.216824988510684,-60.0,-25.199999999999996,-60.0
3,-31.43759149070785,-60.0,-25.199999999999996,-60.0
4,-31.140826860659743,-60.0,-25.199999999999996,-60.0
5,-30.589939830789685,-60.0,-24.800000000000004,-60.0
6,-31.7120229381663,-60.0,-25.199999999999996,-60.0
7,-31.590205858797013,-60.0,-24.800000000000004,-60.0
8,-30.107018962502636,-60.0,-24.800000000000004,-60.0
9,-31.73836354477162,-60.0,-25.199999999999996,-60.0
10,-30.766643936905275,-60.0,-24.800000000000004,-60.0
11,-31.2066467939052,-60.0,-25.199999999999996,-60.0
12,-31.476057413431082,-60.0,-25.199999999999996,-60.0
13,-31.396715926423102,-60.0,-25.199999999999996,-60.0
14,-30.965255122003313,-60.0,-25.199999999999996,-60.0
15,-31.402957200535234,-60.0,-25.199999999999996,-60.0
16,-31.61133837512814,-60.0,-25.199999999999996,-60.0
17,-30.82207057955634,-60.0,-25.199999999999996,-60.0
18,-32.06016644514916,-60.0,-25.199999999999996,-60.0
19,-31.412385064667525,-60.0,-25.199999999999996,-60.0
20,-30.420063297606493,-60.0,-25.199999999999996,-60.0
21,-32.16587864596205,-60.0,-24.800000000000004,-60.0
22,-31.067082394766096,-60.0,-25.199999999999996,-60.0
23,-30.501838030022014,-60.0,-25.199999999999996,-60.0
24,-31.70431351497114,-60.0,-25.199999999999996,-60.0
25,-31.283562856691844,-60.0,-25.199999999999996,-60.0
26,-30.685267428199403,-60.0,-25.199999999999996,-60.0
27,-31.90734084412287,-60.0,-25.199999999999996,-60.0
28,-30.772725500909,-60.0,-25.199999999999996,-60.0
29,-31.316450326373726,-60.0,-25.199999999999996,-60.0
